代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11571849.280749999000
真實報酬,1571849.280749999000

夏普值報酬,0.148484928075
夏普值風險,0.055877168817
夏普值,2.657345230956

預期報酬,8255.926162551185
風險,160856.474098394220
起點值,0.051324798761
找到最佳解世代,3019
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,7
1216(2),2354(20),2412(24),2884(33),4904(45),6505(48),9904(49),
Stock#,1216(2),2354(20),2412(24),2884(33),4904(45),6505(48),9904(49),
張數,31,19,17,102,25,22,47,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,23822.081249999999,58050.787750000003,63057.912750000003,13857.902500000000,2541.800000000000,50950.684500000003,6207.015500000000,
FS( 1 ),1426572.081250000000,1426620.787749999900,1426627.912749999900,1426557.902500000100,1426541.800000000000,1426610.684500000000,1426547.015500000000,9986081.184249999000
FS( 2 ),1415118.232250000100,1420564.865499999800,1420594.115499999800,1412182.813000000100,1420240.600000000100,1400811.004000000200,1392654.716249999800,9882169.346500001800
FS( 3 ),1385181.292000000100,1422267.298750000100,1419240.133500000000,1420306.705000000100,1437414.268750000000,1402782.242499999900,1399205.599749999800,9886400.540249999600
FS( 4 ),1423142.566750000200,1392190.977999999900,1420594.115499999800,1416244.759000000300,1441894.356250000000,1390954.811500000100,1413711.127499999900,9898735.714500000700
FS( 5 ),1409562.923749999800,1419051.591500000100,1416193.673999999900,1423353.164500000000,1428951.881250000100,1392926.049999999800,1411839.446499999800,9901881.731499999800
FS( 6 ),1425920.221000000100,1427374.598499999800,1423640.575000000000,1430461.569999999800,1435423.118750000100,1426437.104499999900,1434767.538750000100,10004027.726500001000
