代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12266726.899000000000
真實報酬,2266726.899000000200

夏普值報酬,0.217972689900
夏普值風險,0.064759474405
夏普值,3.365881083835

預期報酬,9911.273799933806
風險,97538.494280351239
起點值,0.101613971725
找到最佳解世代,4280
找到最佳解實驗#,2
找到最佳解次數,32

投資組合檔數,14
1102(1),2227(11),2408(23),2801(28),2882(31),2884(33),2885(34),2886(35),2891(38),2892(39),2912(40),3008(41),3481(43),5880(46),
Stock#,1102(1),2227(11),2408(23),2801(28),2882(31),2884(33),2885(34),2886(35),2891(38),2892(39),2912(40),3008(41),3481(43),5880(46),
張數,26,3,18,47,18,44,62,35,43,47,3,0,64,55,
分配資金,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,
剩餘資金,21699.470000000001,158764.509750000000,1190.286000000000,4985.686750000000,8220.289499999883,9281.799999999999,8340.460500000118,669.545000000000,13678.055750000000,1690.998500000000,27147.222000000002,714285.000000000000,10563.624000000000,7629.448750000000,
FS( 1 ),713299.469999999970,713494.509749999970,713270.285999999960,713275.686749999990,713280.289499999960,713281.800000000050,713280.460500000040,713269.545000000040,713288.055750000060,713270.998499999990,713307.221999999950,714285.000000000000,713283.623999999950,713279.448749999980,9987176.396500000700
FS( 2 ),702732.504499999920,704170.361999999960,694528.627499999940,707801.902249999930,700662.613499999740,706224.123000000020,703988.536000000200,708374.033749999830,708479.892499999840,710122.256999999980,711734.459249999960,714285.000000000000,713359.927999999960,710156.947500000010,9896631.186749998500
FS( 3 ),697555.514500000050,700018.814249999940,697933.493999999950,705930.221250000060,692956.862999999900,704033.857999999890,686088.097500000150,724751.242500000170,702058.433749999850,708250.575999999880,713168.087249999870,714285.000000000000,703802.407999999940,707419.116250000080,9858261.726250000300
FS( 4 ),697555.514500000050,697271.027250000160,697037.476499999870,707801.902249999930,703350.665999999850,700091.381000000050,700902.253500000110,721615.181250000260,702058.433749999850,712461.858249999930,711734.459249999960,714285.000000000000,716545.767999999920,702491.019999999900,9885211.941499996900
FS( 5 ),700144.009499999930,701422.574999999840,697933.493999999950,712481.104749999940,708547.567499999770,704033.857999999890,707074.818500000170,723357.437500000120,702058.433749999850,712461.858249999930,708837.335999999890,714285.000000000000,719731.608000000010,705228.851249999950,9917607.951999999600
FS( 6 ),706356.397499999850,704170.361999999960,700621.546499999940,714352.785749999920,709264.381499999900,710166.600000000090,707074.818500000170,742870.707500000020,710192.281500000040,719012.741749999930,717528.705749999960,714285.000000000000,722917.447999999860,712894.778750000170,9991718.555000001600
FS( 7 ),691343.126500000010,693149.346749999910,670156.951499999850,707801.902249999930,680950.228499999850,696148.903999999980,683001.815000000180,724751.242500000170,693924.585999999890,708250.575999999880,724756.580250000000,714285.000000000000,687873.207999999980,700300.755000000000,9776704.222249999600
FS( 8 ),705062.150000000020,698644.920750000050,701517.563999999900,712481.104749999940,721450.219499999890,704033.857999999890,707074.818500000170,754369.598750000000,708479.892499999840,716673.140499999980,739242.196499999960,714285.000000000000,710174.087999999870,705228.851249999950,9998727.402999999000
FS( 9 ),690048.878999999960,694523.240249999920,684851.638499999880,705930.221250000060,760874.989499999790,700091.381000000050,694729.688500000050,754369.598750000000,698205.558500000040,708250.575999999880,721859.456999999940,714285.000000000000,703802.407999999940,700300.755000000000,9932133.391250001300
FS( 10 ),688754.631499999900,693149.346749999910,684134.824499999990,705930.221250000060,798866.131499999900,706224.123000000020,700902.253500000110,766216.941249999920,702058.433749999850,710122.256999999980,707403.707999999980,714285.000000000000,691059.047999999950,697562.923749999960,9966679.843750000000
FS( 11 ),687719.233499999970,695897.133749999920,676249.870500000080,707801.902249999930,780766.577999999860,715861.288999999870,694729.688500000050,766216.941249999920,710192.281500000040,708250.575999999880,720425.829000000030,714285.000000000000,694244.887999999920,700300.755000000000,9972951.966250000500
FS( 12 ),686424.985999999920,695897.133749999920,678758.719500000010,710141.503499999990,790264.363499999740,723746.243000000020,694729.688500000050,759596.367500000170,708479.892499999840,710122.256999999980,721859.456999999940,714285.000000000000,694244.887999999920,700300.755000000000,9988861.254750000300
FS( 13 ),673741.360500000070,700018.814249999940,680550.754499999810,712481.104749999940,779870.560499999910,723746.243000000020,697815.971000000140,757854.111250000190,718326.129250000230,716673.140499999980,726190.208250000140,714285.000000000000,703802.407999999940,702491.019999999900,10007856.825749999000
FS( 14 ),673741.360500000070,700018.814249999940,695424.645000000020,705930.221250000060,782379.409499999830,721555.978000000120,689174.380000000240,748097.476250000070,710192.281500000040,712461.858249999930,713168.087249999870,714285.000000000000,703802.407999999940,702491.019999999900,9972732.939749999000
FS( 15 ),681247.996000000040,698644.920750000050,699725.528999999860,710141.503499999990,793669.229999999750,723746.243000000020,697815.971000000140,760990.172500000100,712332.767749999880,714801.459500000000,708837.335999999890,714285.000000000000,716545.767999999920,707419.116250000080,10040213.013250001000
FS( 16 ),690048.878999999960,702796.468499999960,705818.447999999970,714352.785749999920,790264.363499999740,725498.455000000190,703988.536000000200,766216.941249999920,714473.254000000190,720884.422749999910,726190.208250000140,714285.000000000000,706988.247999999910,702491.019999999900,10084307.030000001000
FS( 17 ),692637.374000000070,701422.574999999840,724993.222499999920,720903.669249999920,800478.962999999870,725498.455000000190,703988.536000000200,752975.793750000070,716613.740250000030,723224.023999999980,733447.949999999840,714285.000000000000,706988.247999999910,707419.116250000080,10124886.667000001000
FS( 18 ),695225.868999999950,701422.574999999840,785026.395000000020,720903.669249999920,809080.730999999800,723746.243000000020,712630.127000000090,764474.685000000060,720466.615500000070,725563.625249999920,724756.580250000000,714285.000000000000,700616.567999999970,707419.116250000080,10205627.799500000000
FS( 19 ),681247.996000000040,702796.468499999960,756353.834999999960,723243.270499999870,841874.971499999870,723746.243000000020,703988.536000000200,759596.367500000170,720466.615500000070,725563.625249999920,729087.331499999970,714285.000000000000,694244.887999999920,710156.947500000010,10186662.095749998000
FS( 20 ),701438.256999999980,702796.468499999960,776424.626999999980,734005.436249999910,841874.971499999870,733383.409000000100,710161.101000000140,764474.685000000060,726459.976999999960,727435.306249999910,721859.456999999940,714285.000000000000,694244.887999999920,720560.706249999930,10269414.289750002000
FS( 21 ),697555.514500000050,704170.361999999960,776424.626999999980,729794.153999999980,821983.382999999680,725498.455000000190,703988.536000000200,757854.111250000190,716613.740250000030,723224.023999999980,721859.456999999940,714285.000000000000,703802.407999999940,715085.043749999950,10212148.815749999000
FS( 22 ),723958.163499999910,709665.935999999750,776424.626999999980,747107.203250000020,815173.649999999790,733383.409000000100,697815.971000000140,749491.281250000120,726459.976999999960,727435.306249999910,720425.829000000030,714285.000000000000,706988.247999999910,720560.706249999930,10269185.307499999000
FS( 23 ),721369.668500000030,706918.148999999980,789506.482500000040,740556.319750000020,839186.918999999880,729440.932000000150,700902.253500000110,754369.598750000000,728600.463250000030,727435.306249999910,724756.580250000000,714285.000000000000,703802.407999999940,717822.874999999880,10298962.955750000000
FS( 24 ),719040.023000000040,701422.574999999840,780725.510999999940,736345.037500000090,833990.017499999730,725498.455000000190,697815.971000000140,759596.367500000170,730740.949500000100,732114.508749999920,717528.705749999960,714285.000000000000,694244.887999999920,717822.874999999880,10261180.884500001000
FS( 25 ),706356.397499999850,698644.920750000050,778037.458500000070,729794.153999999980,839186.918999999880,718051.554000000000,692260.662500000210,751233.537500000090,728600.463250000030,732114.508749999920,708837.335999999890,714285.000000000000,706988.247999999910,712894.778750000170,10217295.938500002000
FS( 26 ),713863.033000000050,700018.814249999940,772840.557000000030,736345.037500000090,851193.553499999810,719803.766000000060,697815.971000000140,766216.941249999920,730740.949500000100,736325.791000000080,711734.459249999960,714285.000000000000,706988.247999999910,717822.874999999880,10276004.996250000000
