代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12648674.975250000000
真實報酬,2648674.975250000100

夏普值報酬,0.256167497525
夏普值風險,0.082588468612
夏普值,3.101734441017

預期報酬,12086.784366149965
風險,312302.318883995410
起點值,0.038702192188
找到最佳解世代,3990
找到最佳解實驗#,3
找到最佳解次數,11

投資組合檔數,2
2347(18),4904(45),
Stock#,2347(18),4904(45),
張數,109,154,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,32341.159250000001,27964.932000000001,
FS( 1 ),4992931.159249999600,4992924.932000000000,9985856.091249998700
FS( 2 ),4921062.417999999600,5003151.879499999800,9924214.297499999400
FS( 3 ),4884166.408499999900,5024616.476500000800,9908782.885000001600
FS( 4 ),5014387.618499998900,5003151.879499999800,10017539.498000000000
FS( 5 ),4899358.883000000400,5013884.178000000300,9913243.061000000700
FS( 6 ),4935169.715749999500,5009284.621500000400,9944454.337249999900
FS( 7 ),4956873.250749999700,4883563.410500000200,9840436.661249999000
FS( 8 ),4819055.803499999500,4928025.790000000000,9747081.593499999500
FS( 9 ),4848355.575749999800,4938758.088499999600,9787113.664249999400
FS( 10 ),4891762.645750000100,5013884.178000000300,9905646.823750000400
FS( 11 ),4834248.277999999900,4949490.387000001000,9783738.665000001000
FS( 12 ),4797352.268499999300,4917293.491500000500,9714645.759999999800
FS( 13 ),4797352.268499999300,4868231.555499999800,9665583.823999999100
FS( 14 ),4812544.742999999800,4883563.410500000200,9696108.153500000000
FS( 15 ),4819055.803499999500,4857499.257000000200,9676555.060499999700
FS( 16 ),4783244.970750000300,4862098.813499999200,9645343.784249998600
FS( 17 ),4884166.408499999900,4932625.346500000000,9816791.754999999000
FS( 18 ),4855951.812999999200,4949490.387000001000,9805442.199999999300
FS( 19 ),4891762.645750000100,4943357.645000001400,9835120.290750000600
FS( 20 ),4978576.785749999800,4949490.387000001000,9928067.172749999900
FS( 21 ),5079498.223500000300,5003151.879499999800,10082650.103000000000
FS( 22 ),5087094.460749999600,5161069.985999999600,10248164.446750000000
FS( 23 ),5101201.758499999500,5161069.985999999600,10262271.744500000000
FS( 24 ),5116394.233000000000,5133472.647000000800,10249866.880000001000
FS( 25 ),5065390.925749999500,5133472.647000000800,10198863.572750000000
FS( 26 ),4986173.022999999100,5220864.220499999800,10207037.243499998000
FS( 27 ),5043687.390749999300,5259193.858000000000,10302881.248749999000
FS( 28 ),5094690.697999998900,5253061.116000000400,10347751.813999999000
FS( 29 ),5029580.093000000300,5188667.324999999300,10218247.418000000000
FS( 30 ),5043687.390749999300,5286791.197000000600,10330478.587749999000
FS( 31 ),5167397.540249999600,5280658.455000000100,10448055.995250000000
FS( 32 ),5210804.610249999000,5329720.390999999800,10540525.001249999000
FS( 33 ),5246615.443000000000,5323587.648999999300,10570203.092000000000
FS( 34 ),5210804.610249999000,5352718.173499999600,10563522.783749998000
FS( 35 ),5290022.512999999300,5444709.303500000400,10734731.816500001000
FS( 36 ),5487524.681499999900,5421711.520999999700,10909236.202500001000
FS( 37 ),5465821.146499999800,5404846.480500000500,10870667.627000000000
FS( 38 ),5435436.197499999800,5283724.825999999400,10719161.023499999000
FS( 39 ),5413732.662499999600,5312855.350500000600,10726588.013000000000
FS( 40 ),5443032.434750000000,5312855.350500000600,10755887.785250001000
FS( 41 ),5696963.794249999300,5536700.433500000300,11233664.227750000000
FS( 42 ),5562401.877249999900,5484572.126500001200,11046974.003750000000
FS( 43 ),5719752.505999999100,5467707.085999999200,11187459.591999998000
FS( 44 ),5794629.701750000000,5472306.642500000100,11266936.344250001000
FS( 45 ),5802225.938999999300,5438576.561499999800,11240802.500499999000
FS( 46 ),5600383.063499999200,5524434.949500001000,11124818.013000000000
FS( 47 ),5225997.084749999500,5237729.260999999000,10463726.345749998000
