代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12765331.417750001000
真實報酬,2765331.417750001000

夏普值報酬,0.267833141775
夏普值風險,0.073738208545
夏普值,3.632216554474

預期報酬,11438.927549633994
風險,148797.059166277900
起點值,0.076876032455
找到最佳解世代,4446
找到最佳解實驗#,2
找到最佳解次數,24

投資組合檔數,7
2325(18),2412(26),2474(28),2882(33),2891(38),2912(40),3008(41),
Stock#,2325(18),2412(26),2474(28),2882(33),2891(38),2912(40),3008(41),
張數,57,19,12,50,126,9,1,
FS( 8 ),1476491.740750000600,1423568.072000000200,1379197.656999999900,1511947.575000000000,1455358.284999999700,1444424.421250000400,1354748.350750000200,10045739.101750001000
FS( 9 ),1491813.640000000400,1425081.346000000100,1368923.323000000100,1526881.200000000000,1460375.982999999800,1432686.592000000200,1352906.537000000000,10058671.621000001000
FS( 10 ),1489543.729000000100,1420541.524000000000,1379197.656999999900,1515432.087499999900,1447831.737999999700,1413243.012250000100,1357526.004999999900,10023318.752750002000
FS( 11 ),1489543.729000000100,1429432.008749999800,1379197.656999999900,1488053.774999999900,1427760.945999999500,1382061.603250000200,1388976.219250000100,9985028.938249997800
FS( 12 ),1481031.562750000000,1419028.249999999800,1353511.822000000200,1449724.137500000000,1423997.672499999600,1362528.421750000000,1370478.435750000200,9860303.302249999700
FS( 13 ),1472519.396500000500,1419028.249999999800,1353511.822000000200,1491538.287499999900,1415216.700999999700,1382061.603250000200,1363081.313500000200,9896960.373749999300
FS( 14 ),1422581.354499999900,1414677.587249999900,1363786.156000000200,1530365.712499999900,1423997.672499999600,1370323.774000000000,1363081.313500000200,9888816.570249998900
FS( 15 ),1426553.698750000000,1414677.587249999900,1343237.488000000100,1509956.424999999800,1423997.672499999600,1378119.126250000000,1363081.313500000200,9859626.311249999300
FS( 16 ),1444145.509000000500,1414677.587249999900,1348374.655000000000,1504480.762500000000,1415216.700999999700,1382061.603250000200,1362155.428750000000,9871115.246750000900
FS( 17 ),1457197.497250000200,1416190.861249999800,1353511.822000000200,1532356.862499999800,1431524.219499999700,1413243.012250000100,1357526.004999999900,9961553.279750000700
FS( 18 ),1454927.586249999900,1417704.135250000100,1363786.156000000200,1532356.862499999800,1423997.672499999600,1432686.592000000200,1379727.327500000100,10005189.332000000000
FS( 19 ),1487273.818000000000,1416190.861249999800,1384454.293000000100,1550775.000000000000,1440305.190999999900,1424891.239750000200,1391753.873500000000,10095647.276500000000
FS( 20 ),1489543.729000000100,1417704.135250000100,1410140.128000000300,1530365.712499999900,1431524.219499999700,1417095.887500000200,1389902.104000000100,10086278.915749999000
FS( 21 ),1489543.729000000100,1426405.460749999900,1430688.796000000100,1526881.200000000000,1427760.945999999500,1432686.592000000200,1392679.758250000000,10126649.481999999000
FS( 22 ),1489543.729000000100,1429432.008749999800,1471786.132000000000,1497511.737499999800,1427760.945999999500,1440481.944250000200,1382504.981750000000,10139024.479249999000
FS( 23 ),1487273.818000000000,1430945.282750000200,1476923.298999999900,1484569.262500000000,1431524.219499999700,1448277.296500000400,1374181.974750000100,10133698.153000001000
FS( 24 ),1489543.729000000100,1430945.282750000200,1512883.468000000100,1497511.737499999800,1476683.501499999800,1459925.524000000000,1388050.334500000100,10255546.577250000000
FS( 25 ),1461737.319250000200,1419028.249999999800,1533432.136000000400,1453208.649999999900,1464139.256499999700,1440481.944250000200,1376949.673250000000,10148980.229250003000
FS( 26 ),1426553.698750000000,1419028.249999999800,1502609.134000000100,1447732.987499999800,1451595.011500000000,1440481.944250000200,1381579.097000000100,10069583.123000000000
FS( 27 ),1411799.277250000500,1419028.249999999800,1518020.635000000000,1458684.312500000000,1455358.284999999700,1459925.524000000000,1388050.334500000100,10110869.618249999000
FS( 28 ),1420311.443500000100,1427918.734749999800,1543825.939000000000,1451217.500000000000,1467902.529999999300,1495049.410000000100,1400076.880500000000,10206305.437750001000
FS( 29 ),1418041.532500000400,1432458.556750000000,1502609.134000000100,1440266.174999999800,1460375.982999999800,1561265.103250000200,1382504.981750000000,10197524.466250001000
FS( 30 ),1435633.342750000100,1433971.830750000000,1512883.468000000100,1420354.674999999800,1435287.492999999800,1573002.932500000100,1376023.788500000000,10187160.530499998000
FS( 31 ),1413501.710500000300,1438322.493499999900,1548963.106000000100,1423839.187500000000,1444068.464499999800,1580798.284750000300,1366774.896750000100,10216271.143500000000
FS( 32 ),1391937.556000000100,1438322.493499999900,1543825.939000000000,1399945.387500000000,1407690.153999999900,1580798.284750000300,1358451.889750000100,10120974.704500001000
FS( 33 ),1378885.567750000200,1432458.556750000000,1564374.607000000100,1390985.212499999900,1403926.880499999700,1549616.875750000100,1336250.567250000100,10056501.267500000000
FS( 34 ),1446415.420000000400,1438322.493499999900,1569511.774000000000,1436781.662499999900,1420234.399000000000,1541821.523500000100,1330695.258750000000,10183785.531250000000
FS( 35 ),1485571.384750000200,1441349.041500000100,1538569.303000000100,1449724.137500000000,1423997.672499999600,1534026.171250000400,1323298.136500000000,10196538.846999999000
FS( 36 ),1481031.562750000000,1442673.156249999800,1502609.134000000100,1438275.024999999900,1427760.945999999500,1541821.523500000100,1312197.475250000100,10146371.822750000000
FS( 37 ),1509405.450250000000,1441349.041500000100,1523157.802000000100,1445741.837499999900,1435287.492999999800,1580798.284750000300,1321446.367000000100,10257189.276000001000
FS( 38 ),1498623.373000000400,1441349.041500000100,1538569.303000000100,1438275.024999999900,1423997.672499999600,1580798.284750000300,1304800.353000000100,10226416.052749999000
