代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,13353851.322749998000
真實報酬,3353851.322749998400

夏普值報酬,0.326685132275
夏普值風險,0.075144796512
夏普值,4.347408569062

預期報酬,12521.176600303364
風險,142903.070057433330
起點值,0.087620067191
找到最佳解世代,4104
找到最佳解實驗#,4
找到最佳解次數,5

投資組合檔數,12
1301(3),1303(4),1326(5),2227(11),2317(16),2357(20),2408(23),2474(27),2801(28),2882(31),2885(34),2892(39),
Stock#,1301(3),1303(4),1326(5),2227(11),2317(16),2357(20),2408(23),2474(27),2801(28),2882(31),2885(34),2892(39),
張數,11,15,11,4,12,3,23,3,57,24,85,58,
FS( 19 ),866400.671999999900,875132.127499999940,888467.769249999900,867394.709000000030,891329.191999999920,866356.127000000090,863655.343250000030,789170.933000000190,842731.601750000030,858475.790000000040,930043.407499999860,862033.226999999960,10401194.899250001000
FS( 20 ),854901.780749999920,862587.882499999950,874012.020250000060,858713.294999999930,880338.043999999760,853065.200749999840,865945.165749999930,782211.863750000020,850108.812500000120,847006.766000000180,921581.019999999900,867230.128499999990,10317705.979749998000
FS( 21 ),859063.284249999910,879462.878749999920,877078.391249999990,860465.506999999980,889298.218999999810,870328.471249999940,870295.828500000060,790544.826500000080,850108.812500000120,852741.278000000050,925812.213750000000,869539.862500000050,10394743.573249999000
FS( 22 ),847673.906250000000,880806.904999999910,882225.513999999970,869107.098000000000,886311.493999999830,865012.100749999980,859304.680500000020,790544.826500000080,850108.812500000120,848201.456000000240,934274.601249999950,867230.128499999990,10380805.523250001000
FS( 23 ),852821.028999999980,863931.908749999940,882225.513999999970,863930.108000000010,876276.098000000000,865012.100749999980,848084.550249999970,787767.172250000060,845568.990500000070,845812.076000000000,921581.019999999900,862033.226999999960,10315047.794500001000
FS( 24 ),850740.277249999810,868113.323749999980,883320.646499999920,870819.486999999960,881293.795999999970,866356.127000000090,850374.372749999980,775282.661750000090,845568.990500000070,852741.278000000050,918196.064999999940,859723.493000000130,10322534.518500000000
FS( 25 ),863224.787749999900,879462.878749999920,879159.143000000160,881213.290000000040,885355.741999999970,873374.930750000060,863655.343250000030,772505.007500000070,850108.812500000120,861820.922000000140,925812.213750000000,879356.232000000080,10415053.303250000000
FS( 26 ),863224.787749999900,882300.267499999840,883320.646499999920,891607.092999999880,901245.118999999830,874778.691499999960,846939.639000000080,778060.316000000110,857486.023249999970,879024.458000000220,942736.988749999900,895524.370000000110,10496252.400249999000
FS( 27 ),865305.539500000070,882300.267499999840,887372.636750000060,889894.703999999910,900289.366999999970,876182.452250000090,836864.420000000040,769727.353250000040,862593.322999999970,891688.172000000140,950353.137499999840,895524.370000000110,10508099.742750000000
FS( 28 ),873628.546499999820,890663.097499999920,886387.017499999960,888142.492000000090,901245.118999999830,870567.409249999790,853580.124249999990,758616.736250000070,884724.955250000000,896227.994000000060,974894.061249999800,903608.439000000130,10582289.991749998000
