代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11741933.070249999000
真實報酬,1741933.070249998900

夏普值報酬,0.165493307025
夏普值風險,0.050058029180
夏普值,3.306029217191

預期報酬,6919.422868434154
風險,154386.190840696100
起點值,0.044818923446
找到最佳解世代,5568
找到最佳解實驗#,1
找到最佳解次數,48

投資組合檔數,4
2325(16),3008(41),3045(42),6505(47),
Stock#,2325(16),3008(41),3045(42),6505(47),
張數,64,0,27,34,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,33129.712000000000,2500000.000000000000,18679.149249999999,42382.878999999535,
FS( 1 ),2496489.711999999800,2500000.000000000000,2496469.149249999800,2496502.879000000200,9989461.740249998900
FS( 2 ),2497058.367999999800,2500000.000000000000,2497601.164750000000,2540818.164499999500,10035477.697249999000
FS( 3 ),2568421.183999999400,2500000.000000000000,2497601.164750000000,2580760.633499999500,10146782.982249998000
FS( 4 ),2556952.159999999700,2500000.000000000000,2497601.164750000000,2531678.785999999800,10086232.110750001000
FS( 5 ),2545483.135999999900,2500000.000000000000,2509966.206249999800,2494782.776499999700,10050232.118749999000
FS( 6 ),2562686.671999999800,2500000.000000000000,2497601.164750000000,2445700.928999999500,10005988.765750000000
FS( 7 ),2516810.575999999900,2500000.000000000000,2461312.456000000200,2396619.081499999900,9874742.113499999000
FS( 8 ),2483040.671999999800,2500000.000000000000,2461312.456000000200,2350583.693500000100,9794936.821499999600
FS( 9 ),2539748.623999999800,2500000.000000000000,2461312.456000000200,2374955.369500000000,9876016.449500000100
FS( 10 ),2516810.575999999900,2500000.000000000000,2449216.219749999700,2359723.071999999700,9825749.867750000200
FS( 11 ),2493872.527999999900,2500000.000000000000,2449216.219749999700,2371908.909999999200,9814997.657749999300
FS( 12 ),2553766.319999999800,2500000.000000000000,2461312.456000000200,2384433.243499999900,9899512.019500000400
FS( 13 ),2570969.856000000100,2500000.000000000000,2485504.928499999500,2368862.450499999800,9925337.234999999400
FS( 14 ),2588173.391999999500,2500000.000000000000,2473408.692249999800,2396619.081499999900,9958201.165749998800
FS( 15 ),2559500.831999999900,2500000.000000000000,2473408.692249999800,2420990.757499999800,9953900.281750001000
FS( 16 ),2574155.696000000000,2500000.000000000000,2461312.456000000200,2424037.216999999700,9959505.369000000900
FS( 17 ),2593907.903999999600,2500000.000000000000,2473408.692249999800,2402712.000499999600,9970028.596749998600
FS( 18 ),2596456.575999999900,2500000.000000000000,2432012.683749999400,2414897.838499999600,9943367.098249997900
FS( 19 ),2639146.831999999900,2500000.000000000000,2429593.436499999800,2427422.171999999800,9996162.440500000500
FS( 20 ),2570969.856000000100,2500000.000000000000,2449216.219749999700,2405758.459999999000,9925944.535749999800
FS( 21 ),2483040.671999999800,2500000.000000000000,2415077.952999999700,2411851.378999999700,9809970.004000000700
FS( 22 ),2596456.575999999900,2500000.000000000000,2449216.219749999700,2362769.531499999600,9908442.327250000100
FS( 23 ),2596456.575999999900,2500000.000000000000,2432012.683749999400,2393572.622000000000,9922041.881749998800
FS( 24 ),2596456.575999999900,2500000.000000000000,2424754.941999999800,2390526.162499999600,9911737.680499998900
FS( 25 ),2596456.575999999900,2500000.000000000000,2419916.447499999800,2359723.071999999700,9876096.095499999800
FS( 26 ),2630863.648000000000,2500000.000000000000,2417497.200249999800,2350583.693500000100,9898944.541749998900
FS( 27 ),2625129.135999999900,2500000.000000000000,2400562.469499999700,2316734.143499999800,9842425.748999999800
FS( 28 ),2574155.696000000000,2500000.000000000000,2400562.469499999700,2316734.143499999800,9791452.309000000400
FS( 29 ),2636598.159999999700,2500000.000000000000,2388466.233249999600,2313687.683999999000,9838752.077249998200
FS( 30 ),2625129.135999999900,2500000.000000000000,2400562.469499999700,2298455.386500000500,9824146.992000000600
FS( 31 ),2627677.807999999700,2500000.000000000000,2383358.933499999800,2319780.602999999700,9830817.344499999700
FS( 32 ),2887005.183999999400,2500000.000000000000,2376101.191749999800,2338397.855499999600,10101504.231249999000
FS( 33 ),2824562.719999999700,2500000.000000000000,2378520.439000000200,2405758.459999999000,10108841.618999999000
FS( 34 ),2872987.487999999900,2500000.000000000000,2415077.952999999700,2427422.171999999800,10215487.613000000000
FS( 35 ),2864704.304000000000,2500000.000000000000,2393304.727750000100,2420990.757499999800,10178999.789249999000
FS( 36 ),2938615.791999999400,2500000.000000000000,2419916.447499999800,2417944.298000000400,10276476.537500000000
FS( 37 ),2887005.183999999400,2500000.000000000000,2402981.716749999700,2427422.171999999800,10217409.072749998000
FS( 38 ),3012527.279999999800,2500000.000000000000,2400562.469499999700,2436561.550499999900,10349651.299999999000
FS( 39 ),3012527.279999999800,2500000.000000000000,2412658.705749999700,2494782.776499999700,10419968.762249999000
FS( 40 ),3018261.791999999400,2500000.000000000000,2417497.200249999800,2494782.776499999700,10430541.768749999000
FS( 41 ),3001058.256000000100,2500000.000000000000,2427174.189249999800,2457886.766999999500,10386119.212250000000
FS( 42 ),2983854.719999999700,2500000.000000000000,2407820.211249999700,2448747.388499999400,10340422.319750000000
FS( 43 ),2983854.719999999700,2500000.000000000000,2400562.469499999700,2424037.216999999700,10308454.406499999000
FS( 44 ),3012527.279999999800,2500000.000000000000,2449216.219749999700,2460933.226499999900,10422676.726250000000
FS( 45 ),2972385.696000000000,2500000.000000000000,2400562.469499999700,2402712.000499999600,10275660.165999999000
FS( 46 ),2983854.719999999700,2500000.000000000000,2410239.458500000200,2384433.243499999900,10278527.422000000000
FS( 47 ),2995323.743999999900,2500000.000000000000,2388466.233249999600,2405758.459999999000,10289548.437249999000
FS( 48 ),3006792.767999999700,2500000.000000000000,2388466.233249999600,2381386.783999999100,10276645.785249997000
FS( 49 ),2961553.839999999900,2500000.000000000000,2388466.233249999600,2374955.369500000000,10224975.442749999000
FS( 50 ),2961553.839999999900,2500000.000000000000,2407820.211249999700,2374955.369500000000,10244329.420750000000
FS( 51 ),3012527.279999999800,2500000.000000000000,2436851.178249999400,2402712.000499999600,10352090.458749998000
FS( 52 ),3023996.304000000000,2500000.000000000000,2436851.178249999400,2463979.685999999800,10424827.168249998000
FS( 53 ),3018261.791999999400,2500000.000000000000,2434431.930999999900,2467026.145500000100,10419719.868500000000
FS( 54 ),3035465.327999999700,2500000.000000000000,2400562.469499999700,2460933.226499999900,10396961.024000000000
FS( 55 ),3006792.767999999700,2500000.000000000000,2400562.469499999700,2467026.145500000100,10374381.382999999000
FS( 56 ),3006792.767999999700,2500000.000000000000,2400562.469499999700,2445700.928999999500,10353056.166499998000
FS( 57 ),3018261.791999999400,2500000.000000000000,2376101.191749999800,2463979.685999999800,10358342.669749998000
FS( 58 ),2995323.743999999900,2500000.000000000000,2376101.191749999800,2463979.685999999800,10335404.621750001000
FS( 59 ),2966651.183999999400,2500000.000000000000,2432012.683749999400,2491736.316999999300,10390400.184749998000
FS( 60 ),2955819.327999999700,2500000.000000000000,2446796.972499999700,2528632.326500000000,10431248.627000000000
FS( 61 ),2995323.743999999900,2500000.000000000000,2407820.211249999700,2528632.326500000000,10431776.281749999000
FS( 62 ),2989589.231999999800,2500000.000000000000,2429593.436499999800,2503922.154999999800,10423104.823500000000
FS( 63 ),2938615.791999999400,2500000.000000000000,2439270.425499999900,2497829.235999999600,10375715.453499999000
FS( 64 ),2961553.839999999900,2500000.000000000000,2449216.219749999700,2559096.921499999200,10469866.981249999000
FS( 65 ),2955819.327999999700,2500000.000000000000,2446796.972499999700,2556050.461999999800,10458666.762499999000
FS( 66 ),2989589.231999999800,2500000.000000000000,2446796.972499999700,2574667.714499999800,10511053.919000000000
FS( 67 ),2978120.207999999600,2500000.000000000000,2439270.425499999900,2571621.254999999900,10489011.888499999000
FS( 68 ),2989589.231999999800,2500000.000000000000,2439270.425499999900,2510015.074000000500,10438874.731500000000
FS( 69 ),2989589.231999999800,2500000.000000000000,2427174.189249999800,2516107.992999999800,10432871.414249999000
FS( 70 ),2961553.839999999900,2500000.000000000000,2449216.219749999700,2513061.533499999900,10423831.593249999000
FS( 71 ),2983854.719999999700,2500000.000000000000,2485504.928499999500,2528632.326500000000,10497991.975000000000
FS( 72 ),2989589.231999999800,2500000.000000000000,2497601.164750000000,2589900.011999999600,10577090.408749999000
FS( 73 ),3012527.279999999800,2500000.000000000000,2473408.692249999800,2589900.011999999600,10575835.984250000000
FS( 74 ),2978120.207999999600,2500000.000000000000,2473408.692249999800,2565528.335999999700,10517057.236249998000
FS( 75 ),2978120.207999999600,2500000.000000000000,2497601.164750000000,2574667.714499999800,10550389.087249998000
FS( 76 ),2801624.671999999800,2500000.000000000000,2449216.219749999700,2605132.309500000000,10355973.201250000000
FS( 77 ),2961553.839999999900,2500000.000000000000,2497601.164750000000,2632888.940499999600,10592043.945250001000
