代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12733949.973250002000
真實報酬,2733949.973250001700

夏普值報酬,0.264694997325
夏普值風險,0.056576952798
夏普值,4.678495115700

預期報酬,7688.683541129809
風險,267724.566575023690
起點值,0.028718632883
找到最佳解世代,3208
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
1216(2),2454(26),4904(45),
Stock#,1216(2),2454(26),4904(45),
張數,111,16,93,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,20819.385000000002,91279.648000000001,28991.012999999999,
FS( 1 ),3328619.384999999800,3328719.648000000000,3328631.012999999800,9985971.046000000100
FS( 2 ),3269778.839999998900,3358517.860000000300,3316807.760249999800,9945105.460249999500
FS( 3 ),3197948.103749999800,3270110.800000000300,3296438.295749999600,9764498.199500000100
FS( 4 ),3101805.425999999500,3093137.387999999800,3348287.841749999700,9543231.655749999000
FS( 5 ),2947093.071000000000,2922535.656000000000,3175147.393499999800,9044777.120500000200
FS( 6 ),2974720.277249999800,3010942.716000000000,3054782.375999999700,9040446.369249999500
FS( 7 ),3080808.749249999900,3213243.555999999900,3027005.833499999700,9321059.138749999900
FS( 8 ),3265358.486999999700,3326978.043999999800,3089040.111749999200,9681377.642749998700
FS( 9 ),3231100.751249999700,3428128.464000000200,3106631.921999999800,9765862.137250000600
FS( 10 ),3178056.515249999700,3339562.111999999700,3134408.464499999800,9652028.091749999700
FS( 11 ),3343819.752749999500,3459668.279999999800,3196442.742749999700,9999931.775499999500
FS( 12 ),3404599.606499999800,3409172.716000000000,3189035.664750000000,10002808.987250000000
FS( 13 ),3404599.606499999800,3326978.043999999800,3154777.928999999500,9886356.579499999100
FS( 14 ),3313982.369999999600,3301650.615999999900,3154777.928999999500,9770411.914999999100
FS( 15 ),3163690.367999999800,3276482.480000000000,3130704.925499999900,9570878.773499999200
FS( 16 ),3065337.513749999900,3491208.095999999900,3120520.193249999500,9677066.802999999400
FS( 17 ),3238836.368999999900,3529278.884000000100,3109409.576249999900,9877525.829250000400
FS( 18 ),3140483.514750000100,3630270.012000000100,3137186.118749999900,9907940.645500000600
FS( 19 ),3062022.248999999800,3643013.372000000000,3254773.482000000300,9959810.103000000100
FS( 20 ),3107330.867249999700,3788287.676000000400,3230700.478500000200,10126320.021749999000
FS( 21 ),3223365.133500000000,3744004.500000000000,3230700.478500000200,10198071.112000000000
FS( 22 ),3215629.515749999800,3756747.860000000300,3189035.664750000000,10161414.040500000000
FS( 23 ),3234416.015999999400,3775703.608000000000,3238107.556499999000,10248228.180499999000
FS( 24 ),3268673.751749999800,3756747.860000000300,3244588.749750000000,10270011.361500001000
FS( 25 ),3223365.133500000000,3800871.743999999900,3210331.014000000000,10234568.891500000000
FS( 26 ),3110646.131999999800,3693508.935999999800,3182554.471500000000,9986710.539500000000
FS( 27 ),3080808.749249999900,3554447.020000000000,3140889.657749999800,9776146.426999999200
FS( 28 ),3096279.984749999400,3661969.119999999600,3314030.105999999700,10072280.210749999000
FS( 29 ),3137168.249999999500,3674553.188000000100,3286253.563499999700,10097976.001499999000
FS( 30 ),3178056.515249999700,3661969.119999999600,3300141.834749999900,10140168.469999999000
FS( 31 ),3077493.484499999800,3674553.188000000100,3175147.393499999800,9927195.065999999600
FS( 32 ),3021133.983749999200,3624057.624000000300,3224219.285249999700,9869411.892999999200
FS( 33 ),3008978.012999999800,3838942.532000000100,3302919.489000000100,10150841.034000000000
FS( 34 ),3058706.984249999700,4022128.331999999900,3302919.489000000100,10383755.805250000000
FS( 35 ),3091859.631750000200,4003172.584000000300,3206627.475000000100,10301660.690750001000
FS( 36 ),3099595.249499999900,4218057.491999999600,3199220.396999999900,10516874.138499999000
FS( 37 ),3099595.249499999900,4376075.156000000400,3199220.396999999900,10674891.802500000000
FS( 38 ),3016713.630750000000,4489809.643999999400,3161259.122250000000,10667783.397000000000
FS( 39 ),2839899.510749999900,4186517.676000000000,3134408.464499999800,10160826.651250001000
FS( 40 ),2839899.510749999900,3958889.408000000300,3272365.292249999500,10071155.210999999000
FS( 41 ),3021133.983749999200,4224429.172000000300,3272365.292249999500,10517929.447999999000
FS( 42 ),2971405.012499999700,4300252.163999999900,3276068.831249999800,10547727.007750001000
FS( 43 ),3005662.748249999700,4243384.919999999900,3220515.746249999900,10469564.414500000000
FS( 44 ),3021133.983749999200,4357119.407999999800,3175147.393499999800,10553401.785249999000
FS( 45 ),2863106.364000000100,4199101.743999999900,3244588.749750000000,10306797.857750000000
FS( 46 ),2783540.009999999800,4224429.172000000300,3316807.760249999800,10324777.942250000000
FS( 47 ),2791275.627749999500,4243384.919999999900,3286253.563499999700,10320915.111250000000
FS( 48 ),2896259.011499999600,4262340.668000000500,3230700.478500000200,10389301.158000000000
FS( 49 ),2952618.512249999700,4015756.652000000200,3251069.942999999000,10219446.107249998000
FS( 50 ),2986876.247999999700,4135862.819999999800,3230700.478500000200,10353440.546500001000
FS( 51 ),2986876.247999999700,4249597.308000000200,3210331.014000000000,10446805.570000000000
FS( 52 ),3008978.012999999800,4338163.660000000100,3178850.932499999600,10525993.605500000000
FS( 53 ),2915045.511749999600,4344376.048000000400,3213108.668249999600,10472531.228000000000
FS( 54 ),3024449.248499999800,4338163.660000000100,3230700.478500000200,10593314.387000000000
FS( 55 ),3021133.983749999200,4376075.156000000400,3262180.559999999600,10659390.699749999000
FS( 56 ),3035500.130999999600,4237013.240000000200,3314030.105999999700,10586544.476999998000
FS( 57 ),2979140.630249999500,4218057.491999999600,3276068.831249999800,10473267.953499999000
FS( 58 ),2986876.247999999700,4287508.804000000500,3355694.919749999400,10630080.971749999000
FS( 59 ),3073073.131499999700,4439314.080000000100,3376064.384249999700,10888452.595750000000
FS( 60 ),3096279.984749999400,4376075.156000000400,3382545.577500000100,10854901.718250001000
FS( 61 ),3137168.249999999500,4363331.796000000100,3414025.659000000000,10914526.705000000000
FS( 62 ),3167005.632749999900,4224429.172000000300,3414025.659000000000,10805461.463750001000
FS( 63 ),3193527.750749999700,4186517.676000000000,3393656.194500000200,10773702.621250000000
FS( 64 ),3163690.367999999800,4110694.684000000400,3448283.394749999500,10722669.446750000000
FS( 65 ),3133852.985250000400,4129650.432000000000,3541797.754499999300,10805302.171750000000
FS( 66 ),3102910.514249999500,4211685.811999999900,3625127.382000000200,10939724.708250001000
FS( 67 ),3099595.249499999900,4022128.331999999900,3749195.938499999700,10870920.520000000000
FS( 68 ),3148219.132499999800,4148606.180000000200,3742714.745249999700,11039541.057750000000
FS( 69 ),3133852.985250000400,4104323.003999999700,3839006.759249999700,11077183.748500001000
FS( 70 ),3102910.514249999500,4097951.324000000000,3956594.122499999600,11157456.960749999000
FS( 71 ),3107330.867249999700,4110694.684000000400,3846413.837249999900,11064440.388499999000
FS( 72 ),3008978.012999999800,4003172.584000000300,3818637.294749999400,10830788.891750000000
FS( 73 ),3024449.248499999800,4041084.080000000100,3728826.473999999900,10794360.802500000000
FS( 74 ),3050971.366500000500,4148606.180000000200,3784379.558999999900,10983958.105500001000
FS( 75 ),3043235.748750000300,4072623.895999999700,3852895.030499998900,10968755.675249999000
FS( 76 ),2960354.130000000400,3958889.408000000300,3928817.579999999600,10848062.118000001000
FS( 77 ),2957038.865249999800,3990588.516000000300,4088069.757000000200,11035698.138250001000
FS( 78 ),2941567.629749999800,3984216.835999999700,3964001.200499999800,10889786.666250000000
FS( 79 ),2915045.511749999600,3895809.776000000100,3832525.566000000100,10643381.853750000000
FS( 80 ),2957038.865249999800,3744004.500000000000,3901966.922249999800,10603011.287500000000
FS( 81 ),2903994.629249999800,3680924.868000000200,3901966.922249999800,10486887.419500001000
FS( 82 ),2941567.629749999800,3548234.632000000200,4026035.478749999800,10515838.740499999000
FS( 83 ),2990191.512749999800,3548234.632000000200,4012147.207499999600,10550574.352249999000
FS( 84 ),3099595.249499999900,3643013.372000000000,4109365.106250000200,10851974.727750000000
FS( 85 ),3099595.249499999900,3661969.119999999600,4053812.021249999800,10815377.390750000000
FS( 86 ),3118381.749749999500,3624057.624000000300,3970482.393749999800,10712922.767499998000
FS( 87 ),3246571.986749999700,3725048.752000000300,4053812.021249999800,11025433.760000000000
FS( 88 ),3201263.368499999400,3744004.500000000000,4123253.377499999900,11068522.245999999000
FS( 89 ),3185792.132999999400,3636641.692000000300,4123253.377499999900,10945688.202499999000
FS( 90 ),3201263.368499999400,3402801.035999999800,4039923.750000000000,10643989.154500000000
FS( 91 ),3359290.988249999500,3421756.784000000000,4101958.028250000000,10883006.800500000000
FS( 92 ),3367026.605999999700,3339562.111999999700,4143622.842000000200,10850212.559999999000
