代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,13002593.386500001000
真實報酬,3002593.386500001000

夏普值報酬,0.291559338650
夏普值風險,0.081069149421
夏普值,3.596427750063

預期報酬,12961.497765563106
風險,154597.527431050980
起點值,0.083840265630
找到最佳解世代,3700
找到最佳解實驗#,1
找到最佳解次數,17

投資組合檔數,9
1101(0),1301(3),2317(16),2330(18),2408(23),2474(27),2882(31),2892(39),3481(43),
Stock#,1101(0),1301(3),2317(16),2330(18),2408(23),2474(27),2882(31),2892(39),3481(43),
張數,40,15,16,7,31,4,32,79,114,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,5537.800000000000,33477.557500000003,33417.472000000002,73214.101499999888,1281.743750000000,175980.334999999990,6178.712000000000,10655.081749999999,310.361500000000,
FS( 1 ),1109537.800000000000,1109577.557500000100,1109577.472000000100,1109634.101500000100,1109531.743749999900,1109780.335000000000,1109538.712000000100,1109545.081749999900,1109530.361500000100,9986254.165000001000
FS( 2 ),1108236.670000000200,1103471.788750000100,1087452.636000000200,1105047.943000000000,1114195.213250000000,1083387.213000000000,1104656.344000000000,1101536.476499999900,1079653.041999999900,9887638.326499998600
FS( 3 ),1134121.620000000100,1104815.815000000200,1096850.864000000100,1114804.578000000000,1090739.466250000100,1096369.511000000200,1103063.424000000100,1104682.493499999900,1075113.220000000400,9920561.991750001900
FS( 4 ),1130537.550000000000,1102127.762500000200,1099399.536000000100,1111598.826500000000,1093517.120500000000,1092665.972000000100,1096054.576000000100,1101536.476499999900,1071708.353500000000,9899147.173499999600
FS( 5 ),1106643.750000000000,1097946.347499999900,1099399.536000000100,1118080.019750000000,1083641.016499999900,1074148.277000000000,1093187.320000000100,1101536.476499999900,1080787.997500000100,9855371.740750001700
FS( 6 ),1156024.270000000000,1117061.387500000200,1111346.436000000200,1124561.212999999800,1104627.737499999800,1090834.114000000100,1103063.424000000100,1118053.065749999800,1080787.997500000100,10006360.645250000000
FS( 7 ),1167174.710000000400,1136027.091250000100,1114054.399999999900,1147280.234500000000,1101850.083249999700,1090834.114000000100,1096054.576000000100,1127491.116750000000,1072843.309000000100,10053610.634750001000
FS( 8 ),1163590.639999999700,1104815.815000000200,1078213.700000000000,1124561.212999999800,1002780.415000000000,1090834.114000000100,1093187.320000000100,1107828.510500000100,1037659.688500000000,9803472.416000001100
FS( 9 ),1156024.270000000000,1099439.709999999700,1095417.236000000300,1124561.212999999800,1002780.415000000000,1107480.128000000000,1100196.168000000100,1114907.048749999600,1046739.332500000100,9847546.521249998400
FS( 10 ),1189077.360000000100,1100783.736250000300,1099399.536000000100,1131042.406249999800,1012347.890750000000,1092665.972000000100,1104656.344000000000,1114907.048749999600,1033119.866499999900,9878001.160500001200
FS( 11 ),1132130.470000000000,1077636.617499999900,1080762.372000000000,1114804.578000000000,1005558.069250000100,1055630.581999999900,1069930.688000000100,1104682.493499999900,1025175.177999999800,9666312.048249997200
FS( 12 ),1178325.150000000100,1073604.538750000100,1087452.636000000200,1131042.406249999800,1033334.611749999800,1061165.979000000100,1084266.968000000100,1114907.048749999600,1028580.044500000100,9792680.383000001300
FS( 13 ),1189077.360000000100,1084506.084999999700,1103381.836000000100,1131042.406249999800,1054321.332750000100,1079683.673999999900,1093187.320000000100,1114907.048749999600,1054684.021000000200,9904792.083749998400
FS( 14 ),1200227.800000000000,1093914.268750000000,1106089.800000000000,1147280.234500000000,1076542.566750000000,1079683.673999999900,1101789.088000000200,1127491.116750000000,1056953.932000000300,9989973.480750002000
FS( 15 ),1209387.089999999900,1096602.321250000000,1116762.364000000100,1150485.986000000300,1066975.090999999800,1092665.972000000100,1101789.088000000200,1127491.116750000000,1062628.709500000100,10024788.738500001000
FS( 16 ),1179918.070000000100,1078980.643750000000,1135399.528000000200,1137523.599499999800,1062654.295499999800,1092665.972000000100,1094461.656000000000,1124345.099750000100,1059223.843000000300,9965173.707500001400
FS( 17 ),1163590.639999999700,1060014.939999999900,1116762.364000000100,1105047.943000000000,1068209.603999999800,1061165.979000000100,1058461.664000000100,1098390.459499999900,1037659.688500000000,9769304.281999999700
FS( 18 ),1163590.639999999700,1066884.407500000000,1123452.628000000300,1121912.983499999900,1072530.399499999800,1044519.965000000000,1062921.840000000100,1104682.493499999900,1052414.110000000100,9812910.466999998300
FS( 19 ),1176334.000000000000,1064047.018750000300,1129983.600000000100,1132087.759999999800,1075308.053750000000,1048223.504000000000,1055275.824000000000,1104682.493499999900,1063763.664999999800,9849706.918999999800
FS( 20 ),1163590.639999999700,1076292.591250000100,1129983.600000000100,1145537.978250000200,1091973.979250000100,1063037.659999999900,1058461.664000000100,1118053.065749999800,1162504.793500000400,10009436.971999999000
FS( 21 ),1183900.370000000100,1088538.163750000100,1129983.600000000100,1169162.973000000000,1100306.942000000000,1055630.581999999900,1076620.952000000000,1121199.082750000100,1195418.502999999800,10120762.168500001000
FS( 22 ),1205803.020000000000,1102127.762500000200,1132691.564000000000,1192787.967750000100,1082097.875250000000,1061165.979000000100,1078213.872000000200,1121199.082750000100,1189743.725500000200,10165831.848750001000
FS( 23 ),1242440.179999999900,1102127.762500000200,1140656.164000000100,1192787.967750000100,1087961.811999999900,1061165.979000000100,1081399.712000000100,1121199.082750000100,1212442.835500000000,10242182.495500000000
FS( 24 ),1253590.620000000100,1102127.762500000200,1136673.864000000100,1179268.059249999900,1087961.811999999900,1033409.348000000000,1076620.952000000000,1124345.099750000100,1218117.613000000100,10212116.130500002000
FS( 25 ),1222130.450000000000,1084506.084999999700,1116762.364000000100,1162403.018749999800,1069752.745249999900,994502.277000000000,1049222.728000000100,1114907.048749999600,1185203.903500000000,9999391.620249997800
FS( 26 ),1259165.839999999900,1092570.242500000200,1124726.964000000200,1182613.191249999900,1069752.745249999900,988966.879999999890,1049222.728000000100,1110974.527500000100,1206768.058000000400,10084762.176500000000
FS( 27 ),1295803.000000000000,1110191.920000000200,1129983.600000000100,1219758.094499999900,1086418.670749999800,990798.738000000010,1050815.648000000000,1127491.116750000000,1195418.502999999800,10206680.290999999000
FS( 28 ),1284652.560000000100,1126469.571250000000,1140656.164000000100,1226448.358499999900,1090739.466250000100,1014891.652999999900,1058461.664000000100,1127491.116750000000,1189743.725500000200,10259555.279250002000
FS( 29 ),1292218.930000000200,1140656.515000000100,1143364.128000000300,1209583.318000000000,1111417.558999999900,1026002.269999999900,1079806.792000000100,1137715.672000000000,1195418.502999999800,10336184.687000001000
FS( 30 ),1293811.850000000100,1139312.488750000000,1143364.128000000300,1212998.140250000200,1116972.867499999700,1026002.269999999900,1096691.743999999900,1137715.672000000000,1206768.058000000400,10373638.218499999000
FS( 31 ),1301378.220000000000,1146331.292500000200,1156585.364000000100,1216343.272249999900,1124071.317249999800,1064869.517999999900,1122497.048000000000,1147153.723000000000,1206768.058000000400,10485998.812999999000
FS( 32 ),1310537.510000000500,1157680.847499999900,1176496.864000000100,1216343.272249999900,1114195.213250000000,1079683.673999999900,1136196.159999999900,1157378.278250000000,1229467.168000000300,10577979.987250000000
FS( 33 ),1314121.580000000100,1166193.013750000200,1179204.828000000200,1223103.226499999900,1121293.662999999900,1074148.277000000000,1147028.016000000100,1160524.295250000000,1297564.498000000100,10683182.397499999000
FS( 34 ),1303369.370000000300,1167686.376250000200,1176496.864000000100,1219758.094499999900,1114195.213250000000,1061165.979000000100,1133328.904000000100,1160524.295250000000,1269190.610500000000,10605716.706750002000
FS( 35 ),1310537.510000000500,1166193.013750000200,1195134.028000000200,1233208.312749999600,1165427.502750000000,1064869.517999999900,1137789.080000000100,1160524.295250000000,1324803.429999999900,10758487.690500000000
FS( 36 ),1286643.710000000400,1169030.402500000300,1197841.992000000100,1226448.358499999900,1157711.796499999900,1059334.121000000000,1128550.144000000100,1157378.278250000000,1341827.762500000200,10724767.565250002000
FS( 37 ),1308944.589999999600,1169030.402500000300,1197841.992000000100,1229863.180749999800,1159254.937750000000,1046351.823000000000,1119629.792000000100,1160524.295250000000,1307779.097499999900,10699221.110750001000
FS( 38 ),1295404.770000000000,1167686.376250000200,1200390.664000000100,1239968.266999999500,1189191.877999999800,1029705.808999999900,1118036.872000000200,1160524.295250000000,1319128.652499999900,10720038.583999999000
FS( 39 ),1306953.439999999900,1154843.458750000200,1216479.156000000200,1253418.485249999700,1171291.439499999900,1035241.206000000000,1111983.776000000100,1160524.295250000000,1336152.985000000100,10746889.241750000000
FS( 40 ),1308944.589999999600,1153499.432500000100,1216479.156000000200,1263593.261749999800,1129317.997500000100,1007484.575000000000,1118036.872000000200,1166816.329250000000,1353177.317499999900,10717350.531500001000
FS( 41 ),1300979.990000000000,1137819.126250000200,1201824.292000000100,1236623.134999999800,1132404.279999999800,998205.815999999990,1102744.840000000100,1173894.867499999700,1330478.207500000300,10614975.554249998000
FS( 42 ),1300979.990000000000,1143493.903750000100,1213771.192000000000,1266938.393749999800,1138268.216750000100,1009316.433000000000,1110390.855999999900,1177040.884499999900,1330478.207500000300,10690679.077249998000
FS( 43 ),1320095.029999999800,1127962.933750000300,1209788.892000000000,1260178.439499999900,1123454.060749999900,1009316.433000000000,1104337.760000000000,1173894.867499999700,1336152.985000000100,10665182.401500000000
FS( 44 ),1339210.070000000300,1134981.737500000000,1196408.364000000100,1236623.134999999800,1108331.276499999900,1005612.894000000000,1101151.919999999900,1166816.329250000000,1319128.652499999900,10608265.378750000000
FS( 45 ),1324077.330000000100,1132144.348750000100,1203098.628000000300,1250073.353250000200,1111417.558999999900,988966.879999999890,1110390.855999999900,1163670.312250000000,1336152.985000000100,10619993.252249999000
FS( 46 ),1339210.070000000300,1149168.681249999900,1208514.556000000100,1266938.393749999800,1129317.997500000100,985263.340999999900,1122497.048000000000,1190411.456749999900,1347502.539999999800,10738825.084249999000
FS( 47 ),1343192.370000000300,1149168.681249999900,1229700.392000000000,1273698.348000000000,1106788.135249999800,992670.418999999990,1145435.096000000100,1212433.575749999800,1370201.650000000100,10823289.667250000000
FS( 48 ),1343192.370000000300,1152006.070000000100,1228426.056000000100,1277043.479999999700,1093208.492249999900,981559.802000000030,1162320.048000000000,1212433.575749999800,1353177.317499999900,10803368.211500000000
FS( 49 ),1345183.520000000000,1163355.625000000000,1229700.392000000000,1283803.434249999900,1115738.354499999900,966745.645999999950,1168373.144000000100,1223444.635249999800,1330478.207500000300,10826823.958499998000
FS( 50 ),1343192.370000000300,1169030.402500000300,1223010.128000000300,1263593.261749999800,1099381.057250000100,951931.489999999990,1156266.952000000000,1216366.096999999800,1302104.320000000300,10724877.078500001000
FS( 51 ),1343192.370000000300,1169030.402500000300,1179204.828000000200,1270283.525750000000,1099381.057250000100,964873.964999999970,1167098.808000000000,1212433.575749999800,1291889.720500000300,10697389.252750002000
