代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12519412.255500000000
真實報酬,2519412.255500000000

夏普值報酬,0.243241225550
夏普值風險,0.067073108671
夏普值,3.626508900048

預期報酬,10716.617115566256
風險,134260.562058296990
起點值,0.079819546047
找到最佳解世代,3393
找到最佳解實驗#,3
找到最佳解次數,29

投資組合檔數,10
1301(3),2227(11),2357(20),2474(27),2801(28),2881(30),2882(31),2885(34),2892(39),6505(47),
Stock#,1301(3),2227(11),2357(20),2474(27),2801(28),2881(30),2882(31),2885(34),2892(39),6505(47),
張數,13,5,3,4,67,26,28,91,67,11,
分配資金,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,
剩餘資金,32333.036749999999,94411.372499999881,241060.049499999990,161767.217999999990,11012.698500000000,1479.132500000000,28137.066000000115,8509.136000000000,4974.105750000000,44610.507249999886,
FS( 1 ),998623.036749999970,998711.372500000060,998920.049499999960,998807.217999999990,998592.698500000060,998579.132499999950,998617.065999999990,998589.136000000060,998584.105749999990,998640.507250000020,9986664.322750000300
FS( 2 ),980887.029500000060,1005511.833750000000,990250.148499999890,995103.315999999990,994222.657000000120,989248.824499999870,989026.233000000120,1003267.764500000200,991519.240499999960,984015.165749999930,9923052.213000001400
FS( 3 ),986969.992750000090,999040.596249999940,990250.148499999890,991399.777000000000,988886.375000000000,985366.081999999940,986238.623000000020,989678.165750000040,985515.923249999990,979853.662250000050,9883199.345750000300
FS( 4 ),984510.922499999870,1007652.320000000100,991594.174750000010,974753.762999999920,988886.375000000000,987954.577000000050,994322.692000000040,986054.272749999890,982847.782249999930,979853.662250000050,9878430.541499998400
FS( 5 ),999265.343999999920,1020644.573749999700,998612.978499999970,971050.223999999930,994222.657000000120,1005297.493500000000,1004915.610000000100,994208.032000000120,1005526.980750000000,987191.049999999810,9980934.943500001000
FS( 6 ),999265.343999999920,1033636.827500000100,1000016.739250000000,978457.302000000030,1002894.115250000000,1035065.186000000000,1024986.402000000100,1012327.497000000100,1024203.967750000000,991352.553499999920,10102205.934250001000
FS( 7 ),1001724.414250000000,1031496.341249999800,1001420.500000000000,967346.685000000060,1008897.432500000100,1035065.186000000000,1039760.735000000100,1020481.256250000000,1024203.967750000000,1028696.571749999900,10159093.089749999000
FS( 8 ),1011560.695249999900,1029306.076249999900,995805.456999999820,952532.528999999980,1034911.807250000100,1043866.068999999900,1045057.194000000000,1046754.480500000200,1033542.461250000100,1063083.732249999900,10256420.501750000000
FS( 9 ),1016478.835750000100,1027165.589999999900,985979.131750000060,937718.373000000020,1025573.313750000100,1032476.690999999900,1034464.276000000200,1038600.721249999900,1027539.144000000000,1051584.840999999800,10177580.917500000000
FS( 10 ),1016478.835750000100,1031496.341249999800,978960.328000000100,950660.848000000000,1022238.137500000100,1036359.433500000000,1043942.150000000000,1055814.213000000000,1024203.967750000000,1080715.365499999800,10240869.620250000000
FS( 11 ),1016478.835750000100,1033636.827500000100,985979.131750000060,972882.081999999940,1022238.137500000100,1031441.292999999900,1041154.540000000200,1051284.346750000000,1012197.333249999900,1066150.103249999700,10233442.630750000000
FS( 12 ),1014019.765500000000,1031496.341249999800,981767.849500000010,971050.223999999930,1019569.996500000000,1033770.938500000000,1039760.735000000100,1046754.480500000200,1018200.650500000000,1061002.980500000100,10217393.961750001000
FS( 13 ),1010395.872499999800,1031496.341249999800,985979.131750000060,969178.542999999950,1031576.631000000200,1036359.433500000000,1049238.609000000200,1038600.721249999900,1021535.826750000000,1077539.481249999700,10251900.591249999000
FS( 14 ),1015314.012999999900,1033636.827500000100,994401.696249999920,995103.315999999990,1028908.490000000000,1039983.326499999900,1046450.999000000100,1046754.480500000200,1018200.650500000000,1057827.096249999700,10276580.895499999000
FS( 15 ),993182.380749999890,1033636.827500000100,1000016.739250000000,983992.699000000020,1012899.644000000000,1023934.657500000000,1031676.666000000100,1012327.497000000100,1008862.156999999900,1032858.075249999900,10133387.343250001000
FS( 16 ),993182.380749999890,1027165.589999999900,995805.456999999820,985864.380000000000,1003561.150500000100,1011509.881500000000,1018296.138000000200,1025011.122500000200,999523.663499999910,1025630.200749999800,10085549.964500003000
FS( 17 ),1007936.802249999900,1027165.589999999900,1001420.500000000000,987696.237999999900,1022238.137500000100,1038689.078999999900,1039760.735000000100,1025011.122500000200,1005526.980750000000,1030777.323499999900,10186222.508500000000
FS( 18 ),1001724.414250000000,1040157.843750000000,995805.456999999820,1004382.075000000100,1016234.820250000100,1032476.690999999900,1039760.735000000100,1012327.497000000100,999523.663499999910,1021468.697250000000,10163861.893999999000
FS( 19 ),1004183.484500000000,1040157.843750000000,1009813.197250000000,1011789.152999999900,1028908.490000000000,1043866.068999999900,1065127.986000000300,1034070.855000000200,1014865.474250000000,1030777.323499999900,10283559.876250001000
FS( 20 ),1006642.554749999900,1047027.311249999800,1012620.718750000000,998806.854999999980,1025573.313750000100,1043866.068999999900,1082689.929000000200,1034070.855000000200,1014865.474250000000,1037019.578750000000,10303182.659499999000
FS( 21 ),1011560.695249999900,1035528.419999999900,1002824.260750000100,1009917.472000000000,1012899.644000000000,1068456.771500000300,1087986.388000000500,1007797.630750000000,1012197.333249999900,1017307.193749999900,10266475.809250001000
FS( 22 ),1007936.802249999900,1037818.242499999900,1007005.675749999800,1017324.550000000000,1016234.820250000100,1107025.347000000100,1116141.249000000300,1015951.390000000000,1014865.474250000000,1006903.434999999900,10347206.986000000000
FS( 23 ),995641.451000000120,1035528.419999999900,994401.696249999920,1006213.933000000000,1000893.009500000000,1115826.230000000200,1101366.916000000200,994208.032000000120,1008862.156999999900,1008984.186750000000,10261926.031500001000
FS( 24 ),979592.781999999890,1028658.952500000100,998612.978499999970,998806.854999999980,1012899.644000000000,1097189.066000000100,1081296.124000000300,981524.406500000040,1002858.839750000000,1000661.179749999900,10182100.828000000000
FS( 25 ),991888.133249999960,1021789.484999999900,1002824.260750000100,989567.918999999990,1010231.503000000100,1107025.347000000100,1084083.734000000200,981524.406500000040,1018200.650500000000,1001756.312250000100,10208891.751249999000
FS( 26 ),1000559.591500000000,1024079.307499999900,1007005.675749999800,1009917.472000000000,1019569.996500000000,1118155.875500000100,1098579.306000000100,1003267.764500000200,1018200.650500000000,1015226.441999999900,10314562.081750000000
FS( 27 ),1012854.942750000000,1026369.129999999900,1016832.000999999900,1019196.231000000000,1025573.313750000100,1143005.427500000200,1110844.790000000000,1007797.630750000000,1027539.144000000000,1023549.448999999900,10413562.059749998000
