代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,15202641.009500001000
真實報酬,5202641.009500000600

夏普值報酬,0.511564100950
夏普值風險,0.129681931825
夏普值,3.944760027483

預期報酬,19902.431601439992
風險,370505.344368593010
起點值,0.053716989252
找到最佳解世代,4409
找到最佳解實驗#,14
找到最佳解次數,3

投資組合檔數,2
2382(22),4904(45),
Stock#,2382(22),4904(45),
張數,119,143,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,28245.330999999998,26532.894250000933,
FS( 1 ),4992925.331000000200,4992922.894249999900,9985848.225250000100
FS( 2 ),4961478.747999999700,4918270.745250000600,9879749.493250001200
FS( 3 ),4705576.149999999400,4875560.577750000200,9581136.727749999600
FS( 4 ),4654632.577250001000,4811495.326500000400,9466127.903750002400
FS( 5 ),4757704.457000000400,5077722.037250000100,9835426.494249999500
FS( 6 ),4859591.602500000000,5035011.869750001500,9894603.472250001500
FS( 7 ),4893948.895750000100,5056366.953500000800,9950315.849250000000
FS( 8 ),4843005.322999999900,4864171.199749999700,9707176.522749999500
FS( 9 ),4790877.015999999800,4939625.828999999900,9730502.844999998800
FS( 10 ),4893948.895750000100,5060637.970250000200,9954586.866000000400
FS( 11 ),4893948.895750000100,5060637.970250000200,9954586.866000000400
FS( 12 ),4867884.742250001100,4912576.056250000400,9780460.798500001400
FS( 13 ),4893948.895750000100,4901186.678250001700,9795135.574000001000
FS( 14 ),4765997.596750000500,4901186.678250001700,9667184.275000002200
FS( 15 ),4441380.412250000100,4842816.116000000400,9284196.528250001400
FS( 16 ),4134534.241499999500,4801529.620750000700,8936063.862250000200
FS( 17 ),4296842.833750000200,5013656.786000000300,9310499.619750000500
FS( 18 ),4595395.864750000600,5013656.786000000300,9609052.650750000000
FS( 19 ),4808648.029750000700,5019351.475000000600,9827999.504750002200
FS( 20 ),4833527.449000000000,4933931.140000000600,9767458.589000001500
FS( 21 ),5107201.060750000200,4864171.199749999700,9971372.260499998900
FS( 22 ),4928306.189000000200,4970946.618499999900,9899252.807500001000
FS( 23 ),5047964.348250000700,5081993.053999999500,10129957.402249999000
FS( 24 ),5021900.194749999800,5035011.869750001500,10056912.064500000000
FS( 25 ),5123787.340250000400,4949591.534750000600,10073378.875000000000
FS( 26 ),5115494.200500000300,4980912.324250000500,10096406.524750002000
FS( 27 ),5466175.538499999800,4949591.534750000600,10415767.073249999000
FS( 28 ),5363103.658750000400,4918270.745250000600,10281374.404000001000
FS( 29 ),5338224.239500000100,4869865.888750001800,10208090.128250003000
FS( 30 ),5380874.672500000300,4922541.762000001000,10303416.434500001000
FS( 31 ),5312160.086000001100,4949591.534750000600,10261751.620750003000
FS( 32 ),5149851.493749999400,4997996.391250001300,10147847.885000002000
FS( 33 ),5192501.926750000600,5077722.037250000100,10270223.964000002000
FS( 34 ),5107201.060750000200,5019351.475000000600,10126552.535750002000
FS( 35 ),5072843.767500000100,5141787.288500000700,10214631.056000002000
FS( 36 ),5158144.633500000500,5173108.078000001600,10331252.711500002000
FS( 37 ),5158144.633500000500,5183073.783750001300,10341218.417250002000
FS( 38 ),5149851.493749999400,5231478.640250000200,10381330.134000000000
FS( 39 ),5064550.627750000000,5231478.640250000200,10296029.267999999000
FS( 40 ),5115494.200500000300,5200157.850750001100,10315652.051250001000
FS( 41 ),5141558.354000000300,5284154.513500001300,10425712.867500002000
FS( 42 ),5354810.519000000300,5427945.410750000700,10782755.929750001000
FS( 43 ),5397460.951999999600,5556075.913250001100,10953536.865250001000
FS( 44 ),5423525.105499999600,5746847.994750001500,11170373.100250002000
FS( 45 ),5363103.658750000400,5736882.289000000800,11099985.947750002000
FS( 46 ),5312160.086000001100,5884944.203000001600,11197104.289000003000
FS( 47 ),5235152.359749999800,6065750.578750001300,11300902.938500002000
FS( 48 ),5320453.225750001100,5896333.581000000200,11216786.806750001000
FS( 49 ),5158144.633500000500,5853623.413500000700,11011768.047000002000
FS( 50 ),5243445.499500000800,5715527.205250000600,10958972.704750001000
FS( 51 ),5431818.245250000600,5800947.540250000500,11232765.785500001000
FS( 52 ),5389167.812250000400,5906299.286750000900,11295467.099000001000
FS( 53 ),5346517.379250000200,6023040.411250000800,11369557.790500000000
FS( 54 ),5320453.225750001100,6267912.038250001100,11588365.264000002000
FS( 55 ),5269509.653000000900,6077139.956750000800,11346649.609750003000
FS( 56 ),5192501.926750000600,5874978.497250000900,11067480.424000002000
FS( 57 ),5038486.474250000000,5981753.916000000200,11020240.390250001000
FS( 58 ),4790877.015999999800,5981753.916000000200,10772630.932000000000
FS( 59 ),4628568.423750000100,6172525.997500001500,10801094.421250001000
FS( 60 ),4705576.149999999400,6151170.913750001200,10856747.063750001000
FS( 61 ),4918828.315000000400,6300656.500000000900,11219484.815000001000
FS( 62 ),5038486.474250000000,6215236.165000001000,11253722.639250001000
FS( 63 ),5064550.627750000000,6087105.662500000600,11151656.290250000000
FS( 64 ),5286095.932500000100,6215236.165000001000,11501332.097500000000
FS( 65 ),5286095.932500000100,6322011.583750001200,11608107.516250001000
FS( 66 ),5303866.946250000000,6322011.583750001200,11625878.530000001000
FS( 67 ),5277802.792750000000,6193881.081250000700,11471683.874000002000
FS( 68 ),5269509.653000000900,6289267.122000001400,11558776.775000002000
FS( 69 ),5294389.072250000200,6353332.373250001100,11647721.445500001000
FS( 70 ),5141558.354000000300,6353332.373250001100,11494890.727250002000
FS( 71 ),5149851.493749999400,6279301.416250000700,11429152.910000000000
