代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12598787.959500000000
真實報酬,2598787.959499999900

夏普值報酬,0.251178795950
夏普值風險,0.067075117939
夏普值,3.744738789428

預期報酬,10134.877702449876
風險,158192.252779859380
起點值,0.064066839712
找到最佳解世代,3129
找到最佳解實驗#,1
找到最佳解次數,36

投資組合檔數,8
2002(7),2207(10),2354(20),2881(30),2892(39),3008(41),3045(42),9904(49),
Stock#,2002(7),2207(10),2354(20),2881(30),2892(39),3008(41),3045(42),9904(49),
張數,57,3,21,34,99,0,15,42,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,16474.727749999998,309271.369249999990,39096.918500000000,24596.284500000002,2805.276500000000,1250000.000000000000,43783.587500000001,3766.644500000000,
FS( 1 ),1248244.727750000100,1248661.369250000000,1248276.918499999900,1248256.284500000100,1248225.276499999900,1250000.000000000000,1248283.587499999900,1248226.644499999900,9988174.808499999300
FS( 2 ),1232579.546000000100,1236589.747250000000,1241044.660249999700,1235733.183500000000,1239757.435249999900,1250000.000000000000,1239220.268749999800,1226412.390500000000,9901337.231499999800
FS( 3 ),1235416.934750000200,1245818.727500000000,1258397.532500000000,1242841.589000000200,1236800.577499999900,1250000.000000000000,1227273.368749999900,1277425.653500000000,9973974.383499998600
FS( 4 ),1237686.845749999900,1241846.383250000000,1253170.763749999900,1240133.624999999800,1236800.577499999900,1250000.000000000000,1225929.342499999800,1282861.492999999800,9968429.030749999000
FS( 5 ),1232579.546000000100,1245818.727500000000,1249825.631749999900,1235733.183500000000,1236800.577499999900,1250000.000000000000,1230857.438750000000,1271989.813999999800,9953604.918999999800
FS( 6 ),1237686.845749999900,1256361.866750000000,1258397.532500000000,1249949.994500000500,1249613.627750000200,1250000.000000000000,1239220.268749999800,1269899.106500000000,10011129.242500000000
FS( 7 ),1237686.845749999900,1264276.688000000100,1249825.631749999900,1248596.012499999700,1246656.769999999800,1250000.000000000000,1238025.578750000100,1251919.021999999900,9986986.548749998200
