代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11886319.048250001000
真實報酬,1886319.048250000900

夏普值報酬,0.179931904825
夏普值風險,0.049404917892
夏普值,3.641983683083

預期報酬,7629.340419877309
風險,287226.520187967810
起點值,0.026562103022
找到最佳解世代,3754
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,2
1216(2),2412(24),
Stock#,1216(2),2412(24),
張數,113,58,
FS( 83 ),5930465.871250000800,5075963.992000000600,11006429.863250002000
FS( 84 ),6109340.831500000300,5218012.633000000400,11327353.464500001000
FS( 85 ),5857340.887500000200,5144678.578500000800,11002019.466000002000
FS( 86 ),5951840.866500000500,5123313.539000000800,11075154.405500002000
FS( 87 ),6057590.843000000300,5139481.677000000100,11197072.520000000000
FS( 88 ),5910215.875750000600,5149875.480000000400,11060091.355750002000
FS( 89 ),5741465.913250001100,5149875.480000000400,10891341.393250002000
FS( 90 ),5741465.913250001100,5097329.031500001400,10838794.944750004000
FS( 91 ),5930465.871250000800,5149875.480000000400,11080341.351250000000
FS( 92 ),6026090.849999999600,5149875.480000000400,11175966.330000000000
FS( 93 ),6057590.843000000300,5175859.987500001700,11233450.830500003000
FS( 94 ),5961965.864250000600,5175859.987500001700,11137825.851750001000
FS( 95 ),5941715.868750000400,5197225.026999999800,11138940.895750001000
FS( 96 ),5951840.866500000500,5197225.026999999800,11149065.893500000000
FS( 97 ),6067715.840750000400,5202421.928500001300,11270137.769250002000
FS( 98 ),5983340.859500000300,5202421.928500001300,11185762.788000003000
FS( 99 ),5910215.875750000600,5149875.480000000400,11060091.355750002000
FS( 100 ),6014840.852500000000,5192028.125500001000,11206868.978000000000
FS( 101 ),5794340.901500000600,5160269.283000000800,10954610.184500001000
FS( 102 ),5794340.901500000600,5181634.322500000700,10975975.224000001000
FS( 103 ),5825840.894500001300,5175859.987500001700,11001700.882000003000
FS( 104 ),6004715.854749999900,5218012.633000000400,11222728.487750001000
FS( 105 ),6057590.843000000300,5212815.731500001600,11270406.574500002000
FS( 106 ),6057590.843000000300,5228983.869500000000,11286574.712500000000
FS( 107 ),6109340.831500000300,5207618.830000001000,11316959.661500001000
FS( 108 ),6152090.822000000600,5207618.830000001000,11359709.652000003000
FS( 109 ),6172340.817499999900,5202421.928500001300,11374762.746000001000
FS( 110 ),6099215.833750000200,5202421.928500001300,11301637.762250002000
FS( 111 ),6077840.838500000500,5228983.869500000000,11306824.708000001000
FS( 112 ),6057590.843000000300,5223786.968000001300,11281377.811000001000
FS( 113 ),5973215.861750000200,5223786.968000001300,11197002.829750001000
FS( 114 ),5994590.857000000800,5244574.574000000000,11239165.431000002000
FS( 115 ),5994590.857000000800,5212815.731500001600,11207406.588500002000
FS( 116 ),5983340.859500000300,5271136.515000000600,11254477.374500001000
FS( 117 ),6014840.852500000000,5281530.318000000900,11296371.170500001000
FS( 118 ),5973215.861750000200,5271136.515000000600,11244352.376750000000
FS( 119 ),5994590.857000000800,5276333.416500000300,11270924.273500001000
FS( 120 ),5994590.857000000800,5281530.318000000900,11276121.175000001000
FS( 121 ),5941715.868750000400,5307514.825500001200,11249230.694250003000
FS( 122 ),5857340.887500000200,5307514.825500001200,11164855.713000001000
FS( 123 ),5835965.892250000500,5307514.825500001200,11143480.717750002000
FS( 124 ),5815715.896749999400,5307514.825500001200,11123230.722250000000
FS( 125 ),5794340.901500000600,5265362.180000000600,11059703.081500001000
FS( 126 ),5741465.913250001100,5307514.825500001200,11048980.738750003000
FS( 127 ),5835965.892250000500,5281530.318000000900,11117496.210250001000
FS( 128 ),5920340.873500000700,5281530.318000000900,11201871.191500001000
FS( 129 ),5847215.889750001000,5281530.318000000900,11128746.207750002000
FS( 130 ),5751590.911000000300,5228983.869500000000,10980574.780500000000
FS( 131 ),5794340.901500000600,5239377.672500000300,11033718.574000001000
FS( 132 ),5668340.929500001500,5202421.928500001300,10870762.858000003000
FS( 133 ),5741465.913250001100,5202421.928500001300,10943887.841750003000
FS( 134 ),5731340.915500000100,5228983.869500000000,10960324.785000000000
FS( 135 ),5646965.934249999900,5181634.322500000700,10828600.256750001000
FS( 136 ),5709965.920250000400,5139481.677000000100,10849447.597250000000
FS( 137 ),5784215.903750000500,5254968.377000000300,11039184.280750001000
FS( 138 ),5625590.939000001200,5218012.633000000400,10843603.572000001000
FS( 139 ),5784215.903750000500,5281530.318000000900,11065746.221750002000
FS( 140 ),5784215.903750000500,5244574.574000000000,11028790.477750000000
FS( 141 ),5772965.906250000000,5249771.475500001600,11022737.381750003000
FS( 142 ),5720090.918000000500,5228983.869500000000,10949074.787500001000
FS( 143 ),5709965.920250000400,5228983.869500000000,10938949.789750000000
FS( 144 ),5784215.903750000500,5244574.574000000000,11028790.477750000000
FS( 145 ),5731340.915500000100,5228983.869500000000,10960324.785000000000
FS( 146 ),5668340.929500001500,5271136.515000000600,10939477.444500003000
FS( 147 ),5699840.922500000300,5276333.416500000300,10976174.339000002000
FS( 148 ),5668340.929500001500,5234180.771000000600,10902521.700500002000
FS( 149 ),5688590.924999999800,5212815.731500001600,10901406.656500001000
FS( 150 ),5646965.934249999900,5228983.869500000000,10875949.803750001000
FS( 151 ),5709965.920250000400,5228983.869500000000,10938949.789750000000
FS( 152 ),5657090.932000001000,5207618.830000001000,10864709.762000002000
FS( 153 ),5583965.948250001300,5197225.026999999800,10781190.975250002000
FS( 154 ),5646965.934249999900,5202421.928500001300,10849387.862750001000
FS( 155 ),5668340.929500001500,5175859.987500001700,10844200.917000003000
FS( 156 ),5572715.950750000800,5165466.184500000400,10738182.135250002000
FS( 157 ),5625590.939000001200,5175859.987500001700,10801450.926500004000
FS( 158 ),5794340.901500000600,5175859.987500001700,10970200.889000002000
FS( 159 ),5815715.896749999400,5197225.026999999800,11012940.923749998000
FS( 160 ),5751590.911000000300,5202421.928500001300,10954012.839500003000
FS( 161 ),5646965.934249999900,5186831.224000000400,10833797.158250000000
FS( 162 ),5741465.913250001100,5249771.475500001600,10991237.388750002000
FS( 163 ),5794340.901500000600,5249771.475500001600,11044112.377000002000
FS( 164 ),5815715.896749999400,5249771.475500001600,11065487.372250002000
FS( 165 ),5867465.885250000300,5254968.377000000300,11122434.262250001000
FS( 166 ),5857340.887500000200,5254968.377000000300,11112309.264500000000
FS( 167 ),5709965.920250000400,5228983.869500000000,10938949.789750000000
FS( 168 ),5741465.913250001100,5234180.771000000600,10975646.684250001000
FS( 169 ),5784215.903750000500,5234180.771000000600,11018396.674750000000
FS( 170 ),5678465.927250000600,5186831.224000000400,10865297.151250001000
FS( 171 ),5699840.922500000300,5218012.633000000400,10917853.555500001000
FS( 172 ),5699840.922500000300,5212815.731500001600,10912656.654000003000
FS( 173 ),5668340.929500001500,5239377.672500000300,10907718.602000002000
FS( 174 ),5583965.948250001300,5249771.475500001600,10833737.423750002000
FS( 175 ),5468090.974000000400,5281530.318000000900,10749621.292000001000
FS( 176 ),5373590.994999999200,5334076.766499999900,10707667.761499999000
FS( 177 ),5509715.964750001200,5360638.707499999600,10870354.672250001000
FS( 178 ),5583965.948250001300,5413185.156000000400,10997151.104250003000
FS( 179 ),5572715.950750000800,5334076.766499999900,10906792.717250001000
FS( 180 ),5489465.969250000100,5281530.318000000900,10770996.287250001000
FS( 181 ),5531090.960000000900,5360638.707499999600,10891729.667500000000
FS( 182 ),5583965.948250001300,5360638.707499999600,10944604.655750001000
FS( 183 ),5509715.964750001200,5307514.825500001200,10817230.790250003000
FS( 184 ),5509715.964750001200,5307514.825500001200,10817230.790250003000
FS( 185 ),5615465.941250001100,5386623.215000000800,11002089.156250002000
FS( 186 ),5583965.948250001300,5386623.215000000800,10970589.163250003000
FS( 187 ),5688590.924999999800,5386623.215000000800,11075214.140000001000
FS( 188 ),5825840.894500001300,5413185.156000000400,11239026.050500002000
FS( 189 ),5847215.889750001000,5439747.097000000100,11286962.986750001000
FS( 190 ),5815715.896749999400,5413185.156000000400,11228901.052749999000
FS( 191 ),5857340.887500000200,5439747.097000000100,11297087.984500000000
FS( 192 ),5930465.871250000800,5439747.097000000100,11370212.968250001000
FS( 193 ),5772965.906250000000,5439747.097000000100,11212713.003249999000
FS( 194 ),5930465.871250000800,5518278.053000000300,11448743.924250001000
FS( 195 ),5951840.866500000500,5544839.994000001800,11496680.860500002000
FS( 196 ),5910215.875750000600,5571401.935000000500,11481617.810750000000
FS( 197 ),6004715.854749999900,5518278.053000000300,11522993.907749999000
FS( 198 ),6004715.854749999900,5544839.994000001800,11549555.848750003000
FS( 199 ),5983340.859500000300,5492293.545500000000,11475634.405000001000
FS( 200 ),5961965.864250000600,5492293.545500000000,11454259.409750000000
FS( 201 ),5815715.896749999400,5439747.097000000100,11255462.993749999000
FS( 202 ),5941715.868750000400,5518278.053000000300,11459993.921750002000
FS( 203 ),6036215.847750000700,5518278.053000000300,11554493.900750000000
FS( 204 ),6026090.849999999600,5571401.935000000500,11597492.785000000000
FS( 205 ),5951840.866500000500,5571401.935000000500,11523242.801500000000
FS( 206 ),5994590.857000000800,5597386.442500000800,11591977.299500002000
FS( 207 ),5973215.861750000200,5597386.442500000800,11570602.304250002000
FS( 208 ),6046340.845500000800,5597386.442500000800,11643727.288000003000
FS( 209 ),6057590.843000000300,5544839.994000001800,11602430.837000001000
FS( 210 ),6004715.854749999900,5571401.935000000500,11576117.789750000000
FS( 211 ),6057590.843000000300,5597386.442500000800,11654977.285500001000
FS( 212 ),6026090.849999999600,5597386.442500000800,11623477.292500000000
FS( 213 ),5983340.859500000300,5597386.442500000800,11580727.302000001000
FS( 214 ),6057590.843000000300,5649932.891000000800,11707523.734000001000
FS( 215 ),6004715.854749999900,5676494.831999999500,11681210.686749998000
FS( 216 ),6120590.828999999900,5703056.773000001000,11823647.602000002000
FS( 217 ),6162215.819750000700,5729041.280500001300,11891257.100250002000
FS( 218 ),6089090.836000000100,5703056.773000001000,11792147.609000001000
FS( 219 ),6109340.831500000300,5755603.221500000000,11864944.052999999000
FS( 220 ),6162215.819750000700,5755603.221500000000,11917819.041250002000
FS( 221 ),6067715.840750000400,5808149.669999999000,11875865.510749999000
FS( 222 ),5994590.857000000800,5834711.611000001400,11829302.468000002000
FS( 223 ),6077840.838500000500,5782165.162500001500,11860006.001000002000
FS( 224 ),5951840.866500000500,5755603.221500000000,11707444.088000000000
FS( 225 ),5930465.871250000800,5834711.611000001400,11765177.482250001000
FS( 226 ),5951840.866500000500,5782165.162500001500,11734006.029000003000
FS( 227 ),5878715.882750000800,5782165.162500001500,11660881.045250002000
FS( 228 ),5857340.887500000200,5649932.891000000800,11507273.778500002000
FS( 229 ),5815715.896749999400,5703056.773000001000,11518772.669750001000
FS( 230 ),5857340.887500000200,5729041.280500001300,11586382.168000001000
FS( 231 ),5994590.857000000800,5782165.162500001500,11776756.019500002000
FS( 232 ),6014840.852500000000,5782165.162500001500,11797006.015000001000
FS( 233 ),6130715.826750000900,5808149.669999999000,11938865.496750001000
FS( 234 ),6099215.833750000200,5782165.162500001500,11881380.996250002000
FS( 235 ),6215090.808000000200,5834711.611000001400,12049802.419000002000
FS( 236 ),6225215.805750001200,5860696.118499999900,12085911.924250001000
FS( 237 ),6140840.824500001000,5782165.162500001500,11923005.987000003000
FS( 238 ),6130715.826750000900,5755603.221500000000,11886319.048250001000
FS( 239 ),6120590.828999999900,5808149.669999999000,11928740.498999998000
FS( 240 ),6162215.819750000700,5834711.611000001400,11996927.430750001000
FS( 241 ),6193715.812750000500,5887258.059500000400,12080973.872250002000
FS( 242 ),6172340.817499999900,5808149.669999999000,11980490.487499999000
FS( 243 ),6215090.808000000200,5808149.669999999000,12023240.478000000000
FS( 244 ),6225215.805750001200,5755603.221500000000,11980819.027250001000
FS( 245 ),6130715.826750000900,5755603.221500000000,11886319.048250001000
