代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11941038.552500000000
真實報酬,1941038.552500000200

夏普值報酬,0.185403855250
夏普值風險,0.050201837641
夏普值,3.693168695888

預期報酬,7979.180693627194
風險,116687.139137442910
起點值,0.068380977995
找到最佳解世代,4232
找到最佳解實驗#,3
找到最佳解次數,13

投資組合檔數,8
2002(7),2354(20),2412(24),2881(30),2884(33),2912(40),3008(41),3045(42),
Stock#,2002(7),2354(20),2412(24),2881(30),2884(33),2912(40),3008(41),3045(42),
張數,56,22,16,35,104,7,0,17,
FS( 17 ),1239962.602000000200,1302773.885999999900,1269192.044000000000,1215299.958750000000,1186830.296000000100,1454208.331250000000,1250000.000000000000,1289345.934750000000,10207613.052750001000
FS( 18 ),1232714.815999999900,1295546.011500000000,1257245.144000000100,1218087.568749999900,1186830.296000000100,1435601.034499999800,1250000.000000000000,1286637.970750000100,10162662.841499999000
FS( 19 ),1247210.388000000000,1293574.772999999800,1263935.407999999800,1218087.568749999900,1213750.644000000100,1429398.602250000000,1250000.000000000000,1312702.124250000100,10228659.508250000000
FS( 20 ),1247210.388000000000,1301021.673999999900,1265209.744000000200,1224011.240000000000,1209609.051999999900,1404588.873250000200,1250000.000000000000,1318118.052249999700,10219769.023500001000
FS( 21 ),1244980.300000000000,1317229.635000000000,1269192.044000000000,1224011.240000000000,1209609.051999999900,1429398.602250000000,1250000.000000000000,1323533.980250000000,10267954.853500001000
FS( 22 ),1247210.388000000000,1315477.423000000000,1269192.044000000000,1226798.849999999900,1200290.470000000000,1423196.169999999900,1250000.000000000000,1323533.980250000000,10255699.325250000000
FS( 23 ),1252228.086000000100,1320953.085499999800,1269192.044000000000,1238646.192499999900,1200290.470000000000,1410791.305500000000,1250000.000000000000,1308470.930500000000,10250572.114000000000
FS( 24 ),1252228.086000000100,1319200.873500000000,1265209.744000000200,1232722.521250000000,1200290.470000000000,1423196.169999999900,1250000.000000000000,1308470.930500000000,10251318.795250000000
FS( 25 ),1252228.086000000100,1329933.172000000000,1266484.080000000100,1229934.911249999900,1200290.470000000000,1426262.540999999700,1250000.000000000000,1308470.930500000000,10263604.190750001000
FS( 26 ),1247210.388000000000,1357311.484500000000,1262501.780000000000,1221223.629999999900,1206502.858000000000,1435601.034499999800,1250000.000000000000,1316764.070250000100,10297115.245250002000
FS( 27 ),1252228.086000000100,1368262.809500000000,1265209.744000000200,1224011.240000000000,1239635.594000000000,1460410.763499999900,1250000.000000000000,1323533.980250000000,10383292.217250001000
FS( 28 ),1256688.261999999900,1362787.147000000100,1269192.044000000000,1238646.192499999900,1248954.176000000000,1472815.627999999800,1250000.000000000000,1331827.120000000100,10430910.569499999000
FS( 29 ),1252228.086000000100,1357311.484500000000,1269192.044000000000,1240039.997499999800,1242741.787999999900,1441803.466749999900,1250000.000000000000,1345536.187750000000,10398853.054499999000
FS( 30 ),1249440.476000000000,1377461.922500000100,1269192.044000000000,1234116.326249999900,1242741.787999999900,1448005.899000000000,1250000.000000000000,1337243.048000000000,10408201.503750000000
FS( 31 ),1261705.960000000200,1388194.220999999900,1273174.344000000000,1231328.716249999800,1248954.176000000000,1479018.060250000100,1250000.000000000000,1352306.097750000000,10484681.575250000000
FS( 32 ),1249440.476000000000,1388194.220999999900,1273174.344000000000,1232722.521250000000,1252060.369999999900,1472815.627999999800,1250000.000000000000,1350952.115750000100,10469359.675999999000
FS( 33 ),1249440.476000000000,1395641.122000000000,1276997.352000000000,1232722.521250000000,1252060.369999999900,1491422.924750000200,1250000.000000000000,1348244.151749999700,10496528.917750001000
FS( 34 ),1252228.086000000100,1391917.671500000200,1279705.315999999900,1231328.716249999800,1268626.738000000100,1475881.999000000100,1250000.000000000000,1350952.115750000100,10500640.642499998000
FS( 35 ),1242750.212000000100,1384689.797000000000,1278430.980000000000,1218087.568749999900,1262414.350000000100,1485220.492499999900,1250000.000000000000,1339951.011999999900,10461544.412249999000
FS( 36 ),1239962.602000000200,1397393.334000000300,1278430.980000000000,1224011.240000000000,1255166.563999999800,1472815.627999999800,1250000.000000000000,1331827.120000000100,10449607.468000002000
FS( 37 ),1242750.212000000100,1401116.784500000100,1279705.315999999900,1207982.482499999900,1258272.757999999900,1463477.134499999900,1250000.000000000000,1331827.120000000100,10435131.807500001000
FS( 38 ),1249440.476000000000,1402868.996500000400,1279705.315999999900,1205194.872499999800,1248954.176000000000,1472815.627999999800,1250000.000000000000,1331827.120000000100,10440806.585000001000
FS( 39 ),1230484.728000000100,1366510.597500000100,1269192.044000000000,1178712.577499999700,1238600.196000000000,1466613.195750000000,1250000.000000000000,1320826.016250000100,10320939.354999999000
FS( 40 ),1223236.942000000000,1359063.696500000300,1273174.344000000000,1161290.014999999700,1244812.584000000000,1460410.763499999900,1250000.000000000000,1341304.994000000200,10313293.339000002000
FS( 41 ),1221006.853999999800,1391917.671500000200,1274448.679999999900,1161290.014999999700,1255166.563999999800,1479018.060250000100,1250000.000000000000,1348244.151749999700,10381091.996499998000
FS( 42 ),1230484.728000000100,1375490.684000000400,1275723.015999999800,1157108.599999999900,1231352.409999999900,1488286.863500000000,1250000.000000000000,1350952.115750000100,10359398.417250000000
FS( 43 ),1232714.815999999900,1384689.797000000000,1278430.980000000000,1174531.162499999900,1248954.176000000000,1500691.727999999900,1250000.000000000000,1346890.169749999900,10416902.829249999000
FS( 44 ),1225467.030000000000,1382718.558500000000,1273174.344000000000,1161290.014999999700,1248954.176000000000,1485220.492499999900,1250000.000000000000,1338597.030000000000,10365421.646000000000
FS( 45 ),1230484.728000000100,1370015.021500000300,1273174.344000000000,1190559.919999999900,1255166.563999999800,1472815.627999999800,1250000.000000000000,1331827.120000000100,10374043.325500000000
FS( 46 ),1223236.942000000000,1366510.597500000100,1273174.344000000000,1177318.772500000000,1241706.389999999900,1472815.627999999800,1250000.000000000000,1320826.016250000100,10325588.690249998000
FS( 47 ),1223236.942000000000,1370015.021500000300,1274448.679999999900,1186030.053750000000,1252060.369999999900,1488286.863500000000,1250000.000000000000,1349598.133750000300,10393676.064500002000
FS( 48 ),1232714.815999999900,1366510.597500000100,1283687.615999999900,1186030.053750000000,1252060.369999999900,1488286.863500000000,1250000.000000000000,1338597.030000000000,10397887.346749999000
FS( 49 ),1230484.728000000100,1344607.947500000000,1273174.344000000000,1181848.638749999900,1244812.584000000000,1494489.295750000000,1250000.000000000000,1322179.998249999900,10341597.536250001000
FS( 50 ),1237732.514000000200,1342855.735500000000,1278430.980000000000,1170001.296249999700,1241706.389999999900,1482084.431250000100,1250000.000000000000,1326241.944249999900,10329053.291250000000
FS( 51 ),1232714.815999999900,1359063.696500000300,1283687.615999999900,1187772.309999999800,1255166.563999999800,1494489.295750000000,1250000.000000000000,1327765.174000000100,10390659.472250000000
FS( 52 ),1225467.030000000000,1299050.435499999900,1280979.652000000000,1181848.638749999900,1271732.932000000000,1494489.295750000000,1250000.000000000000,1345536.187750000000,10349104.171750000000
FS( 53 ),1221006.853999999800,1282623.447999999900,1284961.952000000000,1191953.724999999900,1285193.105999999900,1494489.295750000000,1250000.000000000000,1345536.187750000000,10355764.568499999000
FS( 54 ),1218219.244000000200,1264444.248500000000,1286236.287999999900,1215299.958750000000,1292440.892000000000,1497625.357000000100,1250000.000000000000,1346890.169749999900,10371156.158000000000
FS( 55 ),1208741.369999999900,1280871.235999999800,1287510.624000000100,1209376.287499999900,1292440.892000000000,1497625.357000000100,1250000.000000000000,1357722.025750000000,10384287.792250000000
FS( 56 ),1208741.369999999900,1266415.487000000000,1291492.924000000100,1191953.724999999900,1268626.738000000100,1522435.085999999900,1250000.000000000000,1371431.093500000000,10371096.423500000000
FS( 57 ),1221006.853999999800,1275395.573499999900,1299457.524000000200,1210770.092499999800,1282086.912000000000,1531773.579500000000,1250000.000000000000,1386494.143250000000,10456984.678750001000
FS( 58 ),1225467.030000000000,1280871.235999999800,1305988.496000000000,1229934.911249999900,1288299.300000000000,1568988.173000000000,1250000.000000000000,1385140.161249999900,10534689.307500001000
FS( 59 ),1215989.156000000000,1284594.686499999800,1309970.795999999900,1244221.412499999900,1288299.300000000000,1584459.408500000100,1250000.000000000000,1370077.111500000100,10547611.870999999000
FS( 60 ),1213759.068000000000,1288099.110500000000,1302006.196000000000,1247357.473749999900,1288299.300000000000,1584459.408500000100,1250000.000000000000,1375662.287250000100,10549642.844000001000
FS( 61 ),1221006.853999999800,1291822.561000000000,1308696.460000000000,1266173.841249999800,1312113.453999999700,1593797.902000000000,1250000.000000000000,1374308.305250000200,10617919.377499999000
