代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,13030638.118749999000
真實報酬,3030638.118749998500

夏普值報酬,0.294363811875
夏普值風險,0.078213907657
夏普值,3.763573777259

預期報酬,12487.677100804744
風險,144870.500806260100
起點值,0.086198895091
找到最佳解世代,3504
找到最佳解實驗#,1
找到最佳解次數,43

投資組合檔數,10
1326(5),2317(16),2354(19),2408(23),2474(27),2882(31),2886(35),2892(39),3008(41),3481(43),
Stock#,1326(5),2317(16),2354(19),2408(23),2474(27),2882(31),2886(35),2892(39),3008(41),3481(43),
張數,13,15,16,29,4,30,48,73,0,104,
分配資金,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,
剩餘資金,51600.453750000001,52451.665000000117,17642.132000000001,18403.215000000117,180393.723000000000,11893.952499999999,11713.696000000116,7247.340500000000,1000000.000000000000,4343.208000000000,
FS( 1 ),998650.453749999990,998651.665000000040,998602.131999999980,998603.214999999970,998833.723000000000,998593.952500000010,998593.696000000000,998587.340500000050,1000000.000000000000,998583.207999999980,9987699.385749999400
FS( 2 ),979317.061750000110,995808.756250000210,994261.383999999960,990512.512250000150,972990.891999999990,984670.284999999920,992315.248000000140,991293.582000000050,1000000.000000000000,964157.153999999860,9865326.875250000500
FS( 3 ),976987.416250000010,992075.350000000210,960650.772000000000,996864.280750000150,928548.424000000000,984670.284999999920,981801.976000000260,984752.654249999910,1000000.000000000000,971404.940000000060,9777756.098249999800
FS( 4 ),989800.466499999860,972064.292500000100,935801.219999999970,1007546.800500000100,972990.891999999990,979294.180000000050,981801.976000000260,978938.496249999970,1000000.000000000000,962086.358000000010,9780324.681749999500
FS( 5 ),988635.643750000050,957130.667500000100,957783.516000000060,1012743.702000000000,969287.353000000000,973918.075000000070,986102.860000000100,972397.568499999940,1000000.000000000000,968298.746000000040,9786298.131749998800
FS( 6 ),988635.643750000050,984608.537500000210,966544.576000000000,1010145.251250000200,980397.969999999970,968541.970000000200,992315.248000000140,976031.417250000060,1000000.000000000000,976581.930000000050,9843802.543749999300
FS( 7 ),1023580.326249999900,974603.008750000150,976739.264000000080,998307.864500000030,958176.736000000030,964360.555000000050,983713.479999999980,969490.489500000030,1000000.000000000000,963121.755999999940,9812093.479999998600
