代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,13519813.903499998000
真實報酬,3519813.903499998200

夏普值報酬,0.343281390350
夏普值風險,0.094789956569
夏普值,3.621495385973

預期報酬,15961.020730746593
風險,123600.543572277340
起點值,0.129133904022
找到最佳解世代,3562
找到最佳解實驗#,7
找到最佳解次數,18

投資組合檔數,9
1101(0),2308(14),2317(16),2347(20),2382(24),2454(27),2474(28),2498(29),2882(33),
Stock#,1101(0),2308(14),2317(16),2347(20),2382(24),2454(27),2474(28),2498(29),2882(33),
張數,36,8,24,38,21,3,9,7,34,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,15511.993000000000,122824.696000000000,12027.034000000000,5637.942500000000,15241.608249999999,192583.961500000000,56159.833749999998,76999.487999999881,13388.972000000000,
FS( 1 ),1109551.993000000000,1109704.696000000000,1109547.034000000000,1109537.942499999900,1109551.608250000000,1109803.961500000000,1109609.833750000000,1109639.487999999900,1109548.972000000100,9986496.528999999200
FS( 2 ),1110445.378000000000,1115771.378000000000,1108991.392000000000,1107301.414500000000,1104709.286500000200,1108254.112000000000,1101095.442250000100,1066949.489249999900,1130424.122000000000,9953943.014499999600
FS( 3 ),1103277.238000000100,1112346.600000000100,1138858.642000000000,1182965.114499999900,1092792.253749999900,1096904.556999999800,1128065.568999999900,1136221.597750000000,1131778.104000000100,10123210.676000001000
FS( 4 ),1086790.515999999800,1091479.348000000000,1126194.928000000100,1187504.936499999800,1087774.555750000100,1077998.587749999900,1166594.321500000100,1105070.055999999900,1106052.446000000000,10035460.695500001000
FS( 5 ),1101843.609999999900,1081045.722000000100,1111858.648000000000,1149673.086499999700,1059131.863000000100,1075489.738750000000,1143477.069999999800,1115453.903249999700,1085742.716000000000,9923717.357499999900
FS( 6 ),1104710.865999999900,1060258.115999999900,1110425.019999999800,1181830.159000000000,1052441.598999999900,1085555.002000000100,1158888.570999999800,1115453.903249999700,1085742.716000000000,9955306.952250000100
FS( 7 ),1091449.807000000000,1060258.115999999900,1100389.623999999600,1182965.114499999900,1045751.335000000000,1077998.587749999900,1158888.570999999800,1177756.986749999700,1066448.472500000100,9961907.614499999200
FS( 8 ),1144494.043000000100,1067187.318000000000,1117593.160000000100,1223823.512500000200,1057459.297000000000,1081791.728500000200,1174300.072000000200,1170857.652000000000,1079311.301499999800,10116819.084500002000
FS( 9 ),1160622.358000000000,1094983.771999999900,1140292.269999999800,1231011.564000000000,1087774.555750000100,1115840.393500000000,1189801.174750000000,1181241.499249999600,1077957.319500000200,10279525.906750001000
FS( 10 ),1151662.183000000000,1087974.924000000100,1140292.269999999800,1215122.186999999900,1089447.121750000200,1108254.112000000000,1193654.050000000000,1156989.292249999700,1083034.752000000100,10226431.891999999000
FS( 11 ),1154529.439000000000,1067187.318000000000,1131690.501999999900,1234038.111999999700,1055786.731000000100,1100697.697750000300,1182005.822500000200,1170857.652000000000,1071525.905000000300,10168320.179250002000
FS( 12 ),1162055.985999999800,1081045.722000000100,1140292.269999999800,1319916.411499999900,1059131.863000000100,1100697.697750000300,1185858.697750000100,1143120.932499999900,1075587.851000000000,10267708.431499999000
FS( 13 ),1157755.102000000000,1046320.066000000000,1144593.153999999900,1373637.638499999900,1067703.763750000200,1138539.503500000100,1189801.174750000000,1136221.597750000000,1067802.454500000000,10322375.454750001000
FS( 14 ),1143060.415000000000,1011594.409999999900,1154628.550000000000,1362288.083499999900,1062476.994999999900,1125935.524000000000,1162741.446250000000,1111969.390749999800,1066448.472500000100,10201144.287000000000
FS( 15 ),1163489.614000000100,987302.380000000000,1163230.318000000000,1408821.258999999800,1069376.329750000000,1120887.958750000200,1182005.822500000200,1111969.390749999800,1047492.724500000000,10254576.797250001000
FS( 16 ),1155963.067000000000,1015098.834000000000,1160363.061999999900,1388392.059999999600,1076066.593750000000,1118349.242499999900,1174300.072000000200,1150089.957499999800,1053924.139000000000,10292548.027750000000
FS( 17 ),1162055.985999999800,1018603.257999999900,1171832.086000000100,1362288.083499999900,1067703.763750000200,1119633.534250000000,1158888.570999999800,1132737.085249999800,1049862.193000000000,10243605.560750000000
FS( 18 ),1135533.868000000000,1025532.460000000000,1153194.922000000000,1354721.713499999800,1067703.763750000200,1119633.534250000000,1147329.945249999900,1115453.903249999700,1043430.778499999900,10162535.888499999000
FS( 19 ),1147361.298999999900,1035966.086000000000,1143159.526000000100,1350560.209999999700,1067703.763750000200,1115840.393500000000,1162741.446250000000,1101585.543499999900,1060017.058000000000,10184936.325999999000
FS( 20 ),1157755.102000000000,1084550.145999999900,1150327.666000000200,1349046.935999999800,1067703.763750000200,1109538.403750000100,1190965.997500000300,1101585.543499999900,1077957.319500000200,10289431.878000002000
FS( 21 ),1178184.301000000000,1063682.893999999900,1170398.457999999900,1378177.460500000000,1077739.159750000100,1118349.242499999900,1202972.631999999800,1160473.804749999900,1095897.581000000000,10445876.533499999000
FS( 22 ),1176750.672999999700,1060258.115999999900,1176132.970000000000,1402768.162999999900,1091119.687750000000,1095650.132500000100,1198940.553250000100,1098170.721249999900,1088112.184500000000,10387904.201249998000
FS( 23 ),1169224.125999999900,1084550.145999999900,1181628.544000000200,1381204.008499999800,1094464.819750000000,1109538.403750000100,1251267.975249999900,1098170.721249999900,1098605.544999999900,10468655.289500000000
FS( 24 ),1178184.301000000000,1074116.520000000000,1181628.544000000200,1389905.333999999800,1118089.814500000100,1113301.677249999900,1239261.340750000000,1028898.612749999900,1097251.563000000100,10420638.707249999000
FS( 25 ),1183918.813000000300,1091479.348000000000,1184495.800000000000,1472757.085500000000,1148405.073249999900,1119633.534250000000,1251267.975249999900,983878.711249999930,1106052.446000000000,10541889.786500001000
FS( 26 ),1185710.847999999800,1070612.095999999900,1194531.196000000000,1440600.012999999800,1158440.469249999800,1124651.232250000100,1235229.262000000100,983878.711249999930,1108760.410000000100,10502415.237749999000
FS( 27 ),1185710.847999999800,1081045.722000000100,1242557.733999999900,1402768.162999999900,1140042.243250000100,1125935.524000000000,1231197.183249999800,949312.347249999990,1111129.878499999900,10469700.643250000000
FS( 28 ),1192878.988000000100,1070612.095999999900,1242557.733999999900,1416009.310499999900,1143387.375250000000,1123396.807749999900,1239261.340750000000,994262.558499999930,1107406.428000000100,10529773.638749998000
FS( 29 ),1192878.988000000100,1074116.520000000000,1226548.888000000000,1426223.909999999700,1141714.809250000200,1125935.524000000000,1243203.817749999900,1011615.430749999900,1108760.410000000100,10550999.297750000000
FS( 30 ),1213666.594000000000,1070612.095999999900,1207433.848000000000,1419035.858499999900,1135024.545250000000,1136030.654499999900,1259332.132749999900,1053150.819749999800,1117561.293000000100,10611848.841749998000
FS( 31 ),1198971.907000000100,1067187.318000000000,1210540.041999999900,1433411.961500000000,1135024.545250000000,1127189.948499999900,1243203.817749999900,1032383.125249999900,1106052.446000000000,10553966.111250000000
FS( 32 ),1175317.045000000200,1056753.692000000000,1207433.848000000000,1417522.584499999900,1135024.545250000000,1115840.393500000000,1223133.025750000000,1039282.460000000000,1090820.148500000100,10461128.742500000000
FS( 33 ),1226927.653000000200,1060258.115999999900,1226548.888000000000,1420170.814000000000,1160322.106000000100,1125935.524000000000,1247235.896500000000,1025414.100249999900,1106052.446000000000,10598866.543750003000
FS( 34 ),1216533.849999999900,1060258.115999999900,1224876.321999999900,1394066.837500000100,1143387.375250000000,1130983.089250000000,1259332.132749999900,1046181.794749999900,1103682.977500000000,10579303.495000001000
FS( 35 ),1212232.966000000000,1063682.893999999900,1224876.321999999900,1376664.186500000100,1126452.644499999900,1125935.524000000000,1303595.397250000200,1035797.947500000000,1089466.166500000100,10558705.048250001000
FS( 36 ),1248790.479999999700,1122700.580000000100,1229655.081999999900,1369476.134999999800,1084429.423750000100,1128444.372999999900,1331819.948499999900,1039282.460000000000,1103682.977500000000,10658282.459749997000
FS( 37 ),1236963.048999999900,1129709.428000000100,1240885.168000000100,1385365.511999999900,1096137.385749999900,1124651.232250000100,1351890.740500000300,1046181.794749999900,1103682.977500000000,10715468.287749998000
FS( 38 ),1243055.968000000100,1105337.751999999900,1239212.601999999700,1366449.586999999800,1096137.385749999900,1129698.797500000100,1347858.661750000000,1011615.430749999900,1106052.446000000000,10645419.630750000000
FS( 39 ),1243055.968000000100,1112346.600000000100,1223442.694000000400,1330131.010999999700,1092792.253749999900,1130983.089250000000,1315691.633499999800,1004646.405749999900,1088112.184500000000,10541202.839750001000
FS( 40 ),1281405.517000000000,1129709.428000000100,1231327.648000000000,1333157.558999999900,1091119.687750000000,1127189.948499999900,1311659.554749999900,976979.376499999780,1100975.013500000100,10583524.732999999000
FS( 41 ),1275312.597999999800,1119275.802000000100,1224876.321999999900,1353586.757999999900,1094464.819750000000,1114585.968999999800,1315691.633499999800,990847.736249999960,1088112.184500000000,10576754.822999999000
