代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11904705.919999998062849
真實報酬,1904705.919999998062849

夏普值報酬,0.181770592000000
夏普值風險,0.099397148263648
夏普值,1.828730453290866

二次趨勢線,1279.703467212932082 x^2 + -43502.769942614511820 x + 10000000.000000000000000
二次平均預期報酬,35838.845024587273656
風險,709382.297671083244495
二次平均趨勢值,0.050521200123328
一次趨勢線,15519.650947620933948 x + 10000000.000000000000000
一次預期報酬,15519.650947620933948
一次風險,893476.414616388035938
一次趨勢值,0.017369961527506
找到最佳解世代,2224
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](2),GS[8](1),
Stock#,AAPL[0](2),GS[8](1),
張數,385802,57630,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,6.080000000074506,21.199999999254942,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5212191.099999999627471,5116412.599999999627471,10328603.699999999254942
FS( 3 ),5127314.660000000149012,5112378.499999999068677,10239693.160000000149012
FS( 4 ),5015432.080000000074506,4869756.199999999254942,9885188.279999999329448
FS( 5 ),5108024.560000000521541,4922199.499999999068677,10030224.059999998658895
FS( 6 ),4992283.959999999962747,4836330.799999999813735,9828614.759999999776483
FS( 7 ),4888117.419999999925494,4476143.299999999813735,9364260.719999998807907
FS( 8 ),4834105.139999999664724,4490550.799999999813735,9324655.939999999478459
FS( 9 ),4702932.459999999962747,4362035.899999999441206,9064968.359999999403954
FS( 10 ),4594907.900000000372529,4254844.099999998696148,8849752.000000000000000
FS( 11 ),4537037.599999999627471,4209892.699999999254942,8746930.299999998882413
FS( 12 ),4309414.419999999925494,3411717.199999999254942,7721131.619999999180436
FS( 13 ),4564043.740000000223517,4028358.199999999720603,8592401.939999999478459
FS( 14 ),4868827.319999999366701,4093480.099999999161810,8962307.419999998062849
FS( 15 ),4868827.319999999366701,4317084.499999999068677,9185911.819999998435378
FS( 16 ),4942129.700000000186265,4276167.199999999254942,9218296.899999998509884
FS( 17 ),5000000.000000000000000,4510145.000000000000000,9510145.000000000000000
FS( 18 ),5192901.000000000000000,5054172.199999999254942,10247073.199999999254942
FS( 19 ),5127314.660000000149012,4767174.799999998882413,9894489.459999999031425
FS( 20 ),4969135.840000000782311,4652491.099999999627471,9621626.940000001341105
FS( 21 ),5042438.219999999739230,4816160.299999998882413,9858598.519999999552965
FS( 22 ),5123456.639999999664724,4772361.499999999068677,9895818.139999998733401
FS( 23 ),5154320.799999999813735,5069732.299999998882413,10224053.099999997764826
FS( 24 ),5316357.639999999664724,5350966.699999999254942,10667324.339999999850988
FS( 25 ),5497684.580000000074506,5565350.299999998882413,11063034.879999998956919
FS( 26 ),5648147.360000000335276,5641421.899999999441206,11289569.259999999776483
FS( 27 ),5393518.040000000037253,5209773.199999999254942,10603291.239999998360872
FS( 28 ),5335647.740000000223517,5458158.499999999068677,10793806.239999998360872
FS( 29 ),5470678.440000000409782,5508296.599999998696148,10978975.039999999105930
FS( 30 ),5466820.419999999925494,5558434.699999999254942,11025255.119999999180436
FS( 31 ),5208333.080000000074506,4939488.499999999068677,10147821.579999998211861
FS( 32 ),5200617.040000000037253,4869756.199999999254942,10070373.239999998360872
FS( 33 ),4996141.979999999515712,4956777.500000000000000,9952919.480000000447035
FS( 34 ),5027006.139999999664724,4874942.899999999441206,9901949.039999999105930
FS( 35 ),4791666.919999999925494,4614455.299999998882413,9406122.219999998807907
FS( 36 ),4972993.860000000335276,5358458.599999999627471,10331452.460000000894070
FS( 37 ),5023148.120000000111759,5182110.799999999813735,10205258.919999999925494
FS( 38 ),4915123.560000000521541,5310625.699999999254942,10225749.259999999776483
FS( 39 ),4922839.599999999627471,5248961.599999998696148,10171801.199999999254942
FS( 40 ),4845679.200000000186265,4971761.299999998882413,9817440.500000000000000
FS( 41 ),4868827.319999999366701,4747004.299999999813735,9615831.619999999180436
FS( 42 ),5023148.120000000111759,4925657.299999998882413,9948805.419999998062849
FS( 43 ),4895833.459999999962747,4709544.799999998882413,9605378.259999997913837
FS( 44 ),4702932.459999999962747,4359730.699999999254942,9062663.160000000149012
FS( 45 ),4579475.819999999366701,4261759.699999999254942,8841235.519999999552965
FS( 46 ),4884259.400000000372529,4914707.599999999627471,9798967.000000000000000
FS( 47 ),5108024.560000000521541,5324456.899999999441206,10432481.460000000894070
FS( 48 ),5308641.599999999627471,5604538.699999999254942,10913180.299999998882413
FS( 49 ),5285493.479999999515712,5693865.199999999254942,10979358.679999999701977
FS( 50 ),5258487.340000000782311,5411478.199999999254942,10669965.539999999105930
FS( 51 ),5493826.560000000521541,5704814.899999998509884,11198641.459999999031425
FS( 52 ),5594135.080000000074506,6065578.699999999254942,11659713.779999999329448
FS( 53 ),5601851.120000000111759,5722680.199999999254942,11324531.320000000298023
FS( 54 ),5597993.099999999627471,5608572.799999998882413,11206565.899999998509884
FS( 55 ),5933640.840000000782311,6450547.099999999627471,12384187.940000001341105
FS( 56 ),5868054.500000000000000,6373899.199999999254942,12241953.699999999254942
FS( 57 ),5868054.500000000000000,6509329.699999999254942,12377384.199999999254942
FS( 58 ),6057097.479999999515712,6454004.899999998509884,12511102.379999998956919
FS( 59 ),5887344.599999999627471,6228671.599999998696148,12116016.199999999254942
FS( 60 ),5760029.940000000409782,5789530.999999999068677,11549560.939999999478459
FS( 61 ),5794752.120000000111759,6109953.799999998882413,11904705.919999998062849
