代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10996427.310000000521541
真實報酬,996427.310000000521541

夏普值報酬,0.090942731000000
夏普值風險,0.030538900085526
夏普值,2.977930794668774

二次趨勢線,-91.008487151128676 x^2 + 23571.365500737054390 x + 10000000.000000000000000
二次平均預期報酬,17746.822323064814555
風險,76946.607255795490346
二次平均趨勢值,0.230638139301823
一次趨勢線,19237.355026012384769 x + 10000000.000000000000000
一次預期報酬,19237.355026012384769
一次風險,87273.084466200118186
一次趨勢值,0.220427124166361
找到最佳解世代,4495
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,3
DIS[6](3),GS[8](2),JPM[13](1),
Stock#,DIS[6](3),GS[8](2),JPM[13](1),
張數,31613,17340,55601,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,58.280000000260770,64.800000000279397,53.049999999813735,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3351036.280000000260770,3321541.800000000279397,3365025.569999999832362,10037604.650000000372529
FS( 3 ),3339339.470000000204891,3330211.800000000279397,3362245.519999999552965,10031797.789999999105930
FS( 4 ),3333016.870000000577420,3336107.399999999906868,3383373.899999999906868,10052499.169999999925494
FS( 5 ),3362416.960000000428408,3339055.200000000186265,3394494.099999999627471,10095967.259999999776483
FS( 6 ),3375378.290000000037253,3379457.399999999906868,3417846.519999999552965,10172683.209999999031425
FS( 7 ),3381068.630000000353903,3392462.399999999906868,3430634.750000000000000,10204166.780000001192093
FS( 8 ),3367158.910000000614673,3391422.000000000465661,3451207.119999999646097,10209789.030000001192093
FS( 9 ),3371900.860000000335276,3428529.600000000093132,3505140.089999999850988,10305571.550000000745058
FS( 10 ),3382017.020000000484288,3487138.800000000279397,3570193.259999999310821,10439350.080000000074506
FS( 11 ),3417423.580000000074506,3471706.200000000186265,3547952.859999999869615,10437083.640000000596046
FS( 12 ),3372849.250000000000000,3422113.800000000279397,3494019.890000000130385,10288983.940000001341105
FS( 13 ),3421217.140000000130385,3435118.800000000279397,3516260.290000000037253,10372597.230000000447035
FS( 14 ),3404146.120000000577420,3413270.400000000372529,3464551.359999999869615,10281968.880000000819564
FS( 15 ),3412365.500000000000000,3438933.600000000093132,3499579.989999999757856,10350880.089999999850988
FS( 16 ),3445875.280000000260770,3456100.200000000186265,3491795.849999999627471,10393772.330000000074506
FS( 17 ),3462630.170000000391155,3433211.400000000372529,3480675.649999999906868,10376518.220000000670552
FS( 18 ),3482546.360000000335276,3407721.600000000558794,3466219.390000000130385,10356488.350000001490116
FS( 19 ),3474959.240000000223517,3424541.400000000372529,3489571.809999999590218,10389073.449999999254942
FS( 20 ),3471481.810000000521541,3443095.200000000186265,3536276.649999999906868,10450854.660000000149012
FS( 21 ),3437023.640000000130385,3405987.600000000093132,3517372.309999999590218,10360384.550000000745058
FS( 22 ),3493927.040000000037253,3425235.000000000465661,3536832.659999999683350,10455995.700000001117587
FS( 23 ),3510049.670000000391155,3455926.800000000279397,3598549.769999999552965,10564527.240000000223517
FS( 24 ),3503094.810000000521541,3421073.400000000372529,3580757.450000000186265,10504926.660000000149012
FS( 25 ),3468636.640000000130385,3403039.800000000279397,3554068.969999999739230,10425746.410000000149012
FS( 26 ),3454094.660000000614673,3422807.399999999906868,3586317.549999999813735,10463220.609999999403954
FS( 27 ),3480965.710000000428408,3476734.800000000279397,3641362.539999999571592,10599064.050000000745058
FS( 28 ),3433230.080000000074506,3498063.000000000000000,3639138.500000000000000,10570432.580000000074506
FS( 29 ),3453462.399999999906868,3477255.000000000465661,3634134.409999999683350,10564852.810000000521541
FS( 30 ),3451881.750000000000000,3492861.000000000465661,3643030.569999999366701,10587774.320000000298023
FS( 31 ),3475275.370000000577420,3513495.600000000558794,3672499.099999999627471,10661271.070000000298023
FS( 32 ),3486972.180000000167638,3519564.600000000093132,3663046.929999999701977,10669584.710000000894070
FS( 33 ),3487920.570000000298023,3548869.200000000186265,3693071.469999999739230,10729862.240000000223517
FS( 34 ),3495191.560000000521541,3561700.800000000279397,3725876.060000000055879,10782769.420000001788139
FS( 35 ),3483810.880000000353903,3556152.000000000465661,3696407.530000000260770,10736371.410000000149012
FS( 36 ),3489817.350000000093132,3553897.800000000279397,3705859.700000000186265,10749575.850000001490116
FS( 37 ),3485707.660000000614673,3603316.800000000279397,3695851.519999999552965,10784876.980000000447035
FS( 38 ),3459785.000000000000000,3578694.000000000000000,3654706.780000000260770,10693186.780000001192093
FS( 39 ),3489185.090000000316650,3625165.200000000186265,3695851.519999999552965,10810202.810000000521541
FS( 40 ),3494243.170000000391155,3615108.000000000000000,3680839.250000000000000,10790191.419999999925494
FS( 41 ),3489185.090000000316650,3575399.400000000372529,3657486.830000000074506,10722072.320000000298023
FS( 42 ),3507836.760000000242144,3603490.200000000186265,3674167.129999999888241,10785495.089999999850988
FS( 43 ),3501198.030000000260770,3579561.000000000465661,3670831.069999999366701,10751591.100000001490116
FS( 44 ),3514475.490000000223517,3611813.400000000372529,3708639.750000000000000,10834929.640000000596046
FS( 45 ),3486972.180000000167638,3621870.600000000558794,3688067.379999999888241,10796911.160000000149012
FS( 46 ),3486972.180000000167638,3649267.800000000279397,3748672.469999999739230,10884913.449999999254942
FS( 47 ),3455043.050000000279397,3637823.400000000372529,3719203.939999999944121,10812071.390000000596046
FS( 48 ),3430701.040000000037253,3624471.600000000558794,3735328.229999999981374,10790501.870000001043081
FS( 49 ),3477488.280000000260770,3695739.000000000000000,3795377.310000000055879,10968605.589999999850988
FS( 50 ),3497088.340000000316650,3709784.400000000372529,3809833.569999999366701,11016707.309999998658895
FS( 51 ),3475907.630000000353903,3694525.200000000186265,3794821.299999999813735,10965255.129999998956919
FS( 52 ),3483178.620000000577420,3671983.200000000186265,3780365.039999999571592,10935527.859999999403954
FS( 53 ),3510998.060000000521541,3703195.200000000186265,3801493.419999999925494,11015687.679999999701977
FS( 54 ),3524591.649999999906868,3692271.000000000465661,3788705.189999999944121,11005568.839999999850988
FS( 55 ),3579282.140000000130385,3721228.800000000279397,3824289.830000000074506,11124801.769999999552965
FS( 56 ),3560314.340000000316650,3696779.400000000372529,3785369.129999999888241,11042463.870000001043081
FS( 57 ),3589082.170000000391155,3754348.200000000186265,3834298.009999999310821,11177729.380000000819564
FS( 58 ),3616901.610000000335276,3787120.800000000279397,3878222.799999999813735,11282246.210000000894070
FS( 59 ),3596669.290000000037253,3718281.000000000465661,3837634.069999999366701,11152585.359999999403954
