代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11076689.300000000745058
真實報酬,1076689.300000000745058

夏普值報酬,0.098968930000000
夏普值風險,0.052154942631342
夏普值,1.897594456187266

二次趨勢線,223.622724815714378 x^2 + 8849.305192803647515 x + 10000000.000000000000000
二次平均預期報酬,22713.914131377936428
風險,324424.549184366653208
二次平均趨勢值,0.070012932709571
一次趨勢線,19163.221598328418622 x + 10000000.000000000000000
一次預期報酬,19163.221598328418622
一次風險,338026.295504633802921
一次趨勢值,0.056691511439132
找到最佳解世代,2017
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CSCO[4](1),INTC[11](2),
Stock#,CSCO[4](1),INTC[11](2),
張數,128667,106723,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,0.379999999888241,27.450000000186265,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5039886.770000000484288,4830310.429999999701977,9870197.199999999254942
FS( 3 ),5016726.709999999962747,4741730.339999999850988,9758457.050000000745058
FS( 4 ),5086206.889999999664724,4774814.470000000670552,9861021.359999999403954
FS( 5 ),5138960.359999999403954,4774814.470000000670552,9913774.830000000074506
FS( 6 ),5106793.609999999403954,4655284.709999999962747,9762078.320000000298023
FS( 7 ),5135100.349999999627471,4535754.950000000186265,9670855.300000000745058
FS( 8 ),5159547.080000000074506,4632872.879999999888241,9792419.960000000894070
FS( 9 ),5258620.669999999925494,4614729.970000000670552,9873350.640000000596046
FS( 10 ),5216160.559999999590218,4604057.669999999925494,9820218.230000000447035
FS( 11 ),5301080.780000000260770,4737461.419999999925494,10038542.199999999254942
FS( 12 ),5313947.479999999515712,4747066.490000000223517,10061013.969999998807907
FS( 13 ),5312660.809999999590218,4783352.310000000521541,10096013.120000001043081
FS( 14 ),5360267.599999999627471,4882604.700000000186265,10242872.300000000745058
FS( 15 ),5416881.080000000074506,4915688.830000000074506,10332569.910000000149012
FS( 16 ),5425887.770000000484288,4856991.179999999701977,10282878.949999999254942
FS( 17 ),5391147.679999999701977,4834579.349999999627471,10225727.029999999329448
FS( 18 ),5476067.900000000372529,5344715.290000000037253,10820783.190000001341105
FS( 19 ),5513381.330000000074506,5334042.990000000223517,10847424.320000000298023
FS( 20 ),5436181.129999999888241,5207042.620000000111759,10643223.750000000000000
FS( 21 ),5344827.559999999590218,5137672.669999999925494,10482500.230000000447035
FS( 22 ),5365414.280000000260770,5085378.400000000372529,10450792.679999999701977
FS( 23 ),5266340.689999999478459,4925293.900000000372529,10191634.589999999850988
FS( 24 ),4989706.639999999664724,4751335.410000000149012,9741042.050000000745058
FS( 25 ),5168553.770000000484288,4792957.379999999888241,9961511.150000000372529
FS( 26 ),5190427.160000000149012,4823907.050000000745058,10014334.210000000894070
FS( 27 ),4988419.970000000670552,4562435.700000000186265,9550855.670000001788139
FS( 28 ),5086206.889999999664724,4690503.300000000745058,9776710.190000001341105
FS( 29 ),5223880.580000000074506,4784419.540000000037253,10008300.120000001043081
FS( 30 ),5304940.789999999105930,4744932.030000000260770,10049872.820000000298023
FS( 31 ),5415594.410000000149012,4843117.190000000409782,10258711.600000001490116
FS( 32 ),5671641.739999999292195,4900747.610000000335276,10572389.349999999627471
FS( 33 ),5703808.489999999292195,4862327.330000000074506,10566135.820000000298023
FS( 34 ),5669068.400000000372529,4943436.810000000521541,10612505.210000000894070
FS( 35 ),5572568.150000000372529,4902882.070000000298023,10475450.220000000670552
FS( 36 ),5524961.359999999403954,4887940.849999999627471,10412902.209999999031425
FS( 37 ),5661348.379999999888241,5093916.240000000223517,10755264.620000001043081
FS( 38 ),5836335.500000000000000,5241193.980000000447035,11077529.480000000447035
FS( 39 ),5795162.059999999590218,5326572.379999999888241,11121734.439999999478459
FS( 40 ),5761708.639999999664724,5260404.120000000111759,11022112.759999999776483
FS( 41 ),5635614.979999999515712,5105655.770000000484288,10741270.750000000000000
FS( 42 ),5669068.400000000372529,5227319.990000000223517,10896388.390000000596046
FS( 43 ),5728255.220000000670552,5309496.700000000186265,11037751.920000001788139
FS( 44 ),5698661.809999999590218,5411950.780000000260770,11110612.589999999850988
FS( 45 ),5687081.780000000260770,5477051.810000000521541,11164133.589999999850988
FS( 46 ),5705095.160000000149012,5415152.470000000670552,11120247.630000000819564
FS( 47 ),5837622.169999999925494,5569900.820000000298023,11407522.990000000223517
FS( 48 ),5860782.229999999515712,5498396.410000000149012,11359178.640000000596046
FS( 49 ),5810602.099999999627471,5526144.390000000596046,11336746.490000000223517
FS( 50 ),5826042.139999999664724,5534682.230000000447035,11360724.370000001043081
FS( 51 ),5832475.489999999292195,5430093.690000000409782,11262569.179999999701977
FS( 52 ),5791302.049999999813735,5461043.360000000335276,11252345.410000000149012
FS( 53 ),5696088.470000000670552,5424757.540000000037253,11120846.010000001639128
FS( 54 ),5708955.169999999925494,5501598.099999999627471,11210553.269999999552965
FS( 55 ),5701235.150000000372529,5502665.330000000074506,11203900.480000000447035
FS( 56 ),5541688.070000000298023,5424757.540000000037253,10966445.609999999403954
FS( 57 ),5458054.520000000484288,5267874.730000000447035,10725929.250000000000000
FS( 58 ),5669068.400000000372529,5600850.490000000223517,11269918.890000000596046
FS( 59 ),5491507.939999999478459,5463177.820000000298023,10954685.759999999776483
FS( 60 ),5360267.599999999627471,5293488.250000000000000,10653755.849999999627471
FS( 61 ),5518528.009999999776483,5558161.290000000037253,11076689.300000000745058
