代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11119759.390000000596046
真實報酬,1119759.390000000596046

夏普值報酬,0.103275939000000
夏普值風險,0.023381910090618
夏普值,4.416916265597894

二次趨勢線,-28.763960727573590 x^2 + 15784.167672202320318 x + 10000000.000000000000000
二次平均預期報酬,13914.510224910036413
風險,85162.331675209119567
二次平均趨勢值,0.163388084276238
一次趨勢線,14392.794688170855807 x + 10000000.000000000000000
一次預期報酬,14392.794688170855807
一次風險,86214.430425020720577
一次趨勢值,0.166941828847179
找到最佳解世代,1951
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
PFE[20](3),VZ[26](7),XOM[29](1),
Stock#,PFE[20](3),VZ[26](7),XOM[29](1),
張數,110963,61716,40180,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,4.479999999981374,51.840000000316650,0.200000000186265,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3408787.839999999850988,3358636.560000000521541,3341369.000000000000000,10108794.400000000372529
FS( 3 ),3479804.160000000149012,3338270.280000000726432,3303198.000000000000000,10121273.440000001341105
FS( 4 ),3654016.069999999832362,3303092.160000000614673,3347396.000000000465661,10304505.230000000447035
FS( 5 ),3635152.359999999869615,3209283.840000000316650,3309626.800000000279397,10154064.000000000000000
FS( 6 ),3606301.979999999981374,3220392.720000000204891,3343378.000000000000000,10170073.699999999254942
FS( 7 ),3538614.549999999813735,3185214.600000000093132,3347797.799999999813735,10071627.949999999254942
FS( 8 ),3546381.959999999962747,3206198.040000000502914,3389183.200000000186265,10141764.199999999254942
FS( 9 ),3610740.500000000000000,3165465.480000000447035,3408469.600000000093132,10184676.580000000074506
FS( 10 ),3622946.429999999701977,3169785.600000000093132,3432577.600000000558794,10225310.629999998956919
FS( 11 ),3606301.979999999981374,3169168.440000000409782,3414094.800000000279397,10189566.220000000670552
FS( 12 ),3618507.910000000149012,3192620.520000000018626,3446640.600000000093132,10257770.029999999329448
FS( 13 ),3649577.549999999813735,3214221.120000000111759,3463918.000000000000000,10327717.669999999925494
FS( 14 ),3687304.969999999739230,3193854.840000000316650,3487624.200000000186265,10368785.010000001639128
FS( 15 ),3688414.600000000093132,3087703.320000000298023,3487222.400000000372529,10263341.320000000298023
FS( 16 ),3691743.490000000223517,3119795.640000000130385,3516955.600000000093132,10328495.730000000447035
FS( 17 ),3685085.709999999962747,3132756.000000000000000,3508919.600000000093132,10326762.310000000521541
FS( 18 ),3667331.629999999888241,3113006.880000000353903,3520973.600000000093132,10301313.109999999403954
