代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11428460.039999999105930
真實報酬,1428460.039999999105930

夏普值報酬,0.134146004000000
夏普值風險,0.039064398437480
夏普值,3.433970811420324

二次趨勢線,-377.283944036722403 x^2 + 46685.392178448957566 x + 10000000.000000000000000
二次平均預期報酬,22161.935816062003141
風險,115093.187037643554504
二次平均趨勢值,0.192556452614467
一次趨勢線,28435.378141323788441 x + 10000000.000000000000000
一次預期報酬,28435.378141323788441
一次風險,210396.920916597940959
一次趨勢值,0.135151113511759
找到最佳解世代,1721
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](4),JNJ[12](2),MCD[15](1),
Stock#,HD[9](4),JNJ[12](2),MCD[15](1),
張數,28482,35776,33745,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,84.540000000037253,83.080000000074506,1.899999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3355548.959999999962747,3360522.760000000242144,3367415.450000000186265,10083488.170000001788139
FS( 3 ),3395138.939999999944121,3390216.840000000316650,3413983.549999999813735,10199340.330000000074506
FS( 4 ),3380328.300000000279397,3342277.000000000000000,3438617.399999999906868,10161223.700000001117587
FS( 5 ),3407955.840000000316650,3398087.560000000055879,3434230.549999999813735,10240274.949999999254942
FS( 6 ),3448115.459999999962747,3401665.160000000149012,3474049.649999999906868,10323831.269999999552965
FS( 7 ),3455805.600000000093132,3412040.200000000186265,3467638.100000000093132,10335484.900000000372529
FS( 8 ),3472040.340000000316650,3434221.319999999832362,3483835.699999999720603,10390098.359999999403954
FS( 9 ),3463780.560000000055879,3414902.280000000260770,3488559.999999999534339,10367243.839999999850988
FS( 10 ),3425614.679999999701977,3381988.360000000335276,3469662.799999999813735,10277266.839999999850988
FS( 11 ),3469476.959999999962747,3475721.480000000447035,3498008.599999999627471,10443208.039999999105930
FS( 12 ),3495965.219999999739230,3514717.319999999832362,3537152.799999999813735,10547836.339999999850988
FS( 13 ),3506218.739999999757856,3503984.520000000018626,3526016.949999999720603,10536221.209999999031425
FS( 14 ),3499098.239999999757856,3491462.920000000391155,3504082.700000000186265,10494644.859999999403954
FS( 15 ),3511915.140000000130385,3492893.959999999962747,3460214.200000000186265,10465024.300000000745058
FS( 16 ),3542106.060000000055879,3560868.360000000335276,3741310.050000000279397,10844285.470000000670552
FS( 17 ),3549226.560000000055879,3588773.640000000130385,3799351.450000000186265,10937352.650000000372529
FS( 18 ),3560619.360000000335276,3575536.520000000018626,3785516.000000000000000,10921672.880000000819564
FS( 19 ),3545239.080000000074506,3584480.520000000018626,3767293.699999999720603,10897014.299999998882413
FS( 20 ),3526725.779999999795109,3594855.560000000055879,3811162.199999999720603,10932744.539999999105930
FS( 21 ),3521314.199999999720603,3626696.200000000186265,3800363.800000000279397,10948375.200000001117587
FS( 22 ),3521599.020000000018626,3614532.360000000335276,3787878.149999999906868,10924010.530000001192093
FS( 23 ),3543530.160000000149012,3655317.000000000000000,3783153.850000000093132,10982002.009999999776483
FS( 24 ),3579132.660000000149012,3647804.040000000037253,3782141.500000000000000,11009079.199999999254942
FS( 25 ),3571157.699999999720603,3647088.520000000018626,3792939.899999999906868,11011187.119999999180436
FS( 26 ),3580841.580000000074506,3661041.160000000149012,3808125.149999999906868,11050008.890000000596046
FS( 27 ),3588246.900000000372529,3646373.000000000000000,3823647.850000000093132,11058268.750000000000000
FS( 28 ),3546093.540000000037253,3607734.920000000391155,3810824.750000000000000,10964654.210000000894070
FS( 29 ),3567739.860000000335276,3629558.280000000260770,3820610.799999999813735,11017909.940000001341105
FS( 30 ),3552074.759999999776483,3644226.439999999944121,3841870.149999999906868,11038172.349999999627471
FS( 31 ),3526440.959999999962747,3587342.600000000093132,3783153.850000000093132,10896938.410000000149012
FS( 32 ),3417924.540000000037253,3573389.959999999962747,3710939.549999999813735,10702255.050000000745058
FS( 33 ),3441849.419999999925494,3621329.799999999813735,3747721.600000000093132,10810901.820000000298023
FS( 34 ),3593943.300000000279397,3631347.080000000074506,3743672.199999999720603,10968963.580000000074506
FS( 35 ),3604196.820000000298023,3673205.000000000000000,3797326.750000000000000,11074729.570000000298023
FS( 36 ),3613311.060000000055879,3666765.319999999832362,3823310.399999999906868,11103387.779999999329448
FS( 37 ),3708725.760000000242144,3666407.560000000055879,3843894.849999999627471,11219029.169999999925494
FS( 38 ),3773949.540000000037253,3676782.600000000093132,3862792.049999999813735,11313525.190000001341105
FS( 39 ),3805279.739999999757856,3650666.120000000111759,3856380.500000000000000,11312327.359999999403954
FS( 40 ),3835185.840000000316650,3647804.040000000037253,3860429.899999999906868,11343420.780000001192093
FS( 41 ),3837749.220000000204891,3662472.200000000186265,3854693.250000000000000,11354915.669999999925494
