代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11020969.209999999031425
真實報酬,1020969.209999999031425

夏普值報酬,0.093396921000000
夏普值風險,0.030994836649865
夏普值,3.013305798480672

二次趨勢線,96.664946542211794 x^2 + 11393.914885828426122 x + 10000000.000000000000000
二次平均預期報酬,17580.471464529979130
風險,48316.183426565163245
二次平均趨勢值,0.363863000297824
一次趨勢線,15997.297536909445625 x + 10000000.000000000000000
一次預期報酬,15997.297536909445625
一次風險,65173.731033428979572
一次趨勢值,0.245456218068965
找到最佳解世代,1639
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CSCO[4](8),INTC[11](3),MCD[15](14),TRV[22](1),
Stock#,CSCO[4](8),INTC[11](3),MCD[15](14),TRV[22](1),
張數,108225,96190,25536,29624,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,2.500000000000000,21.900000000372529,25.599999999627471,30.640000000130385,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2488095.250000000000000,2490381.000000000465661,2492083.839999999850988,2507702.240000000223517,9978262.330000000074506
FS( 3 ),2498917.750000000000000,2540399.800000000279397,2493871.359999999403954,2517478.160000000149012,10050667.070000000298023
FS( 4 ),2457792.250000000000000,2516352.300000000279397,2499233.919999999925494,2523995.440000000409782,9997373.910000000149012
FS( 5 ),2472943.750000000000000,2548095.000000000000000,2477272.959999999962747,2518070.640000000130385,10016382.349999999627471
FS( 6 ),2482684.000000000000000,2588494.800000000279397,2504596.479999999515712,2510072.160000000149012,10085847.440000001341105
FS( 7 ),2502164.500000000000000,2595228.100000000558794,2511491.199999999254942,2542362.319999999832362,10151246.119999999180436
FS( 8 ),2451298.750000000000000,2542323.600000000558794,2539070.079999999608845,2517774.399999999906868,10050466.830000000074506
FS( 9 ),2430736.000000000000000,2518276.100000000558794,2535495.039999999571592,2526957.839999999850988,10011464.980000000447035
FS( 10 ),2472943.750000000000000,2554828.300000000279397,2556434.559999999590218,2532882.640000000130385,10117089.250000000000000
FS( 11 ),2477272.750000000000000,2575028.200000000186265,2574820.479999999515712,2544436.000000000000000,10171557.429999999701977
FS( 12 ),2492424.250000000000000,2590418.600000000558794,2574820.479999999515712,2570801.360000000335276,10228464.690000001341105
FS( 13 ),2511904.750000000000000,2600999.500000000465661,2560009.599999999627471,2567838.960000000428408,10240752.810000000521541
FS( 14 ),2532467.500000000000000,2592342.400000000372529,2545198.719999999739230,2559544.240000000223517,10229552.859999999403954
FS( 15 ),2545454.500000000000000,2581761.500000000465661,2536261.119999999646097,2574060.000000000000000,10237537.119999999180436
FS( 16 ),2543290.000000000000000,2573104.400000000372529,2531409.279999999329448,2610793.759999999776483,10258597.439999999478459
FS( 17 ),2524891.750000000000000,2573104.400000000372529,2549539.839999999850988,2624420.800000000279397,10271956.790000000968575
FS( 18 ),2489177.500000000000000,2525971.300000000745058,2572266.879999999888241,2616126.080000000074506,10203541.760000001639128
FS( 19 ),2491342.000000000000000,2532704.600000000093132,2561541.759999999776483,2655526.000000000000000,10241114.359999999403954
FS( 20 ),2506493.500000000000000,2547133.100000000558794,2591929.599999999627471,2692852.240000000223517,10338408.440000001341105
FS( 21 ),2501082.250000000000000,2567333.000000000465661,2588865.279999999329448,2683372.560000000055879,10340653.089999999850988
FS( 22 ),2490259.750000000000000,2544247.400000000372529,2578140.159999999683350,2690778.560000000055879,10303425.870000001043081
FS( 23 ),2482684.000000000000000,2540399.800000000279397,2590142.079999999608845,2695814.640000000130385,10309040.520000001415610
FS( 24 ),2484848.500000000000000,2517314.200000000651926,2582736.639999999664724,2685446.240000000223517,10270345.580000001937151
FS( 25 ),2458874.500000000000000,2520199.900000000372529,2577884.799999999813735,2662635.759999999776483,10219594.960000000894070
FS( 26 ),2475108.250000000000000,2536552.200000000651926,2603676.159999999683350,2697888.319999999832362,10313224.930000001564622
FS( 27 ),2491342.000000000000000,2533666.500000000465661,2603420.799999999813735,2702924.399999999906868,10331353.699999999254942
FS( 28 ),2491342.000000000000000,2529818.900000000372529,2628446.079999999608845,2704701.839999999850988,10354308.820000000298023
FS( 29 ),2509740.250000000000000,2536552.200000000651926,2626658.559999999590218,2726623.600000000093132,10399574.610000001266599
FS( 30 ),2474026.000000000000000,2544247.400000000372529,2643767.679999999701977,2752396.479999999981374,10414437.560000000521541
FS( 31 ),2468614.750000000000000,2532704.600000000093132,2630999.679999999701977,2744694.240000000223517,10377013.269999999552965
FS( 32 ),2616883.000000000000000,2501923.800000000745058,2617465.599999999627471,2736399.520000000484288,10472671.920000001788139
FS( 33 ),2637445.750000000000000,2483647.700000000186265,2633808.639999999664724,2742620.560000000055879,10497522.650000000372529
FS( 34 ),2635281.250000000000000,2504809.500000000465661,2606995.839999999850988,2748249.120000000111759,10495335.710000000894070
FS( 35 ),2610389.500000000000000,2504809.500000000465661,2592695.679999999701977,2745286.720000000204891,10453181.400000000372529
FS( 36 ),2649350.500000000000000,2520199.900000000372529,2618997.759999999776483,2750915.280000000260770,10539463.440000001341105
