代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11416190.330000001937151
真實報酬,1416190.330000001937151

夏普值報酬,0.132919033000000
夏普值風險,0.048706342018209
夏普值,2.728988207537925

二次趨勢線,378.559990576433052 x^2 + 4609.029523642891945 x + 10000000.000000000000000
二次平均預期報酬,28079.748939381737728
風險,119238.396717954645283
二次平均趨勢值,0.235492506711586
一次趨勢線,22068.954942668104195 x + 10000000.000000000000000
一次預期報酬,22068.954942668104195
一次風險,200098.870080455293646
一次趨勢值,0.110290252682560
找到最佳解世代,1929
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](2),HD[9](4),MCD[15](5),TRV[22](7),
Stock#,BA[2](2),HD[9](4),MCD[15](5),TRV[22](7),
張數,44499,87199,39821,50190,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,46.180000000167638,4.669999999925494,37.620000000111759,36.100000000093132,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2581878.160000000149012,2518311.790000000037253,2480885.919999999925494,2440775.800000000279397,10021851.669999999925494
FS( 3 ),2660196.400000000372529,2509591.890000000130385,2447038.070000000298023,2406144.700000000186265,10022971.060000002384186
FS( 4 ),2767883.980000000447035,2539239.549999999813735,2464957.520000000018626,2440775.800000000279397,10212856.850000001490116
FS( 5 ),2741184.580000000074506,2527031.689999999944121,2462568.260000000242144,2437262.500000000000000,10168047.029999999329448
FS( 6 ),2708700.310000000055879,2455528.509999999776483,2481682.340000000316650,2436258.700000000186265,10082169.859999999403954
FS( 7 ),2689120.750000000000000,2439832.689999999944121,2495221.479999999981374,2451817.600000000093132,10075992.519999999552965
FS( 8 ),2721605.020000000018626,2452912.540000000037253,2492434.010000000242144,2460349.900000000372529,10127301.470000000670552
FS( 9 ),2739404.620000000111759,2467736.370000000111759,2494823.270000000018626,2473399.300000000279397,10175363.560000000521541
FS( 10 ),2706475.360000000335276,2491280.100000000093132,2480089.500000000000000,2448806.200000000186265,10126651.160000000149012
FS( 11 ),2698910.530000000260770,2518311.790000000037253,2527874.700000000186265,2480927.800000000279397,10226024.820000000298023
FS( 12 ),2678885.980000000447035,2499128.009999999776483,2509158.830000000074506,2455832.800000000279397,10143005.620000001043081
FS( 13 ),2634386.980000000447035,2483432.189999999944121,2516724.820000000298023,2456836.600000000093132,10091380.589999999850988
FS( 14 ),2570753.410000000149012,2417160.949999999720603,2524290.810000000055879,2424715.000000000000000,9936920.169999999925494
FS( 15 ),2571198.400000000372529,2408441.049999999813735,2512344.510000000242144,2453825.200000000186265,9945809.160000000149012
FS( 16 ),2568083.470000000204891,2418032.939999999944121,2541015.630000000353903,2521079.799999999813735,10048211.839999999850988
FS( 17 ),2755869.250000000000000,2427624.830000000074506,2537829.950000000186265,2554707.100000000093132,10276031.130000000819564
FS( 18 ),2783903.620000000111759,2384025.330000000074506,2501991.049999999813735,2523087.400000000372529,10193007.400000000372529
FS( 19 ),2696685.580000000074506,2442448.660000000149012,2486062.649999999906868,2543163.400000000372529,10168360.290000000968575
FS( 20 ),2745634.480000000447035,2475584.279999999795109,2544201.310000000055879,2544167.200000000186265,10309587.269999999552965
FS( 21 ),2756314.240000000223517,2531391.640000000130385,2549776.250000000000000,2564243.200000000186265,10401725.330000001937151
FS( 22 ),2734954.720000000204891,2482560.199999999720603,2596765.029999999795109,2538144.399999999906868,10352424.349999999627471
FS( 23 ),2639726.860000000335276,2435472.739999999757856,2550970.880000000353903,2495984.799999999813735,10122155.280000001192093
FS( 24 ),2598787.780000000260770,2439832.689999999944121,2523494.390000000130385,2523589.300000000279397,10085704.160000002011657
FS( 25 ),2576093.290000000037253,2493024.080000000074506,2505574.940000000409782,2461855.600000000093132,10036547.910000000149012
FS( 26 ),2658416.440000000409782,2517439.799999999813735,2531458.590000000316650,2487954.399999999906868,10195269.230000000447035
FS( 27 ),2649516.640000000130385,2498256.020000000018626,2518715.870000000111759,2493977.200000000186265,10160465.730000000447035
FS( 28 ),2696240.590000000316650,2527903.679999999701977,2540219.209999999962747,2519574.100000000093132,10283937.580000000074506
FS( 29 ),2654411.530000000260770,2528775.669999999925494,2532255.010000000242144,2532121.600000000093132,10247563.810000000521541
FS( 30 ),2726054.919999999925494,2567143.229999999981374,2548979.830000000540167,2590342.000000000000000,10432519.980000000447035
FS( 31 ),2750974.360000000335276,2617718.649999999906868,2558935.080000000540167,2597368.600000000093132,10524996.689999999478459
FS( 32 ),2798588.290000000037253,2642134.370000000111759,2567695.700000000186265,2647056.700000000186265,10655475.060000000521541
FS( 33 ),2829737.590000000316650,2629054.520000000018626,2578049.159999999683350,2654083.300000000279397,10690924.570000000298023
FS( 34 ),2846647.209999999962747,2643878.350000000093132,2579243.790000000037253,2662113.700000000186265,10731883.050000000745058
FS( 35 ),2793248.410000000149012,2681373.919999999925494,2583225.890000000130385,2627984.500000000000000,10685832.720000000670552
FS( 36 ),2824842.700000000186265,2734565.310000000055879,2598756.080000000540167,2649566.200000000186265,10807730.289999999105930
FS( 37 ),2797698.310000000055879,2734565.310000000055879,2563713.600000000093132,2647558.600000000093132,10743535.820000000298023
