代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11237203.959999999031425
真實報酬,1237203.959999999031425

夏普值報酬,0.115020396000000
夏普值風險,0.032189711396974
夏普值,3.573203704175274

二次趨勢線,17.161311128985034 x^2 + 8651.783316318862489 x + 10000000.000000000000000
二次平均預期報酬,9767.268539702890848
風險,316721.355338563211262
二次平均趨勢值,0.030838680041837
一次趨勢線,9481.911854651149042 x + 10000000.000000000000000
一次預期報酬,9481.911854651149042
一次風險,316822.661346019071061
一次趨勢值,0.029928136498719
找到最佳解世代,2389
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
NKE[19](1),
Stock#,NKE[19](1),
張數,182748,
分配資金,10000000.000000000000000,
剩餘資金,29.439999999478459,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10040204.559999998658895,10040204.559999998658895
FS( 3 ),10036549.599999999627471,10036549.599999999627471
FS( 4 ),10169955.639999998733401,10169955.639999998733401
FS( 5 ),9985380.160000000149012,9985380.160000000149012
FS( 6 ),10000000.000000000000000,10000000.000000000000000
FS( 7 ),10098683.919999999925494,10098683.919999999925494
FS( 8 ),10272294.519999999552965,10272294.519999999552965
FS( 9 ),10264984.599999999627471,10264984.599999999627471
FS( 10 ),10224780.039999999105930,10224780.039999999105930
FS( 11 ),10264984.599999999627471,10264984.599999999627471
FS( 12 ),10307016.639999998733401,10307016.639999998733401
FS( 13 ),10338083.799999998882413,10338083.799999998882413
FS( 14 ),10325291.439999999478459,10325291.439999999478459
FS( 15 ),10425802.839999999850988,10425802.839999999850988
FS( 16 ),10416665.439999999478459,10416665.439999999478459
FS( 17 ),10325291.439999999478459,10325291.439999999478459
FS( 18 ),10210160.199999999254942,10210160.199999999254942
FS( 19 ),10369150.959999999031425,10369150.959999999031425
FS( 20 ),10500729.519999999552965,10500729.519999999552965
FS( 21 ),10509866.919999999925494,10509866.919999999925494
FS( 22 ),10528141.719999998807907,10528141.719999998807907
FS( 23 ),10493419.599999999627471,10493419.599999999627471
FS( 24 ),10579311.160000000149012,10579311.160000000149012
FS( 25 ),10668857.679999999701977,10668857.679999999701977
FS( 26 ),10519004.320000000298023,10519004.320000000298023
FS( 27 ),10464179.919999999925494,10464179.919999999925494
FS( 28 ),10540934.080000000074506,10540934.080000000074506
FS( 29 ),10458697.479999998584390,10458697.479999998584390
FS( 30 ),10330773.879999998956919,10330773.879999998956919
FS( 31 ),10380115.839999999850988,10380115.839999999850988
FS( 32 ),10449560.080000000074506,10449560.080000000074506
FS( 33 ),10506211.959999999031425,10506211.959999999031425
FS( 34 ),10491592.119999999180436,10491592.119999999180436
FS( 35 ),10504384.479999998584390,10504384.479999998584390
FS( 36 ),10261329.639999998733401,10261329.639999998733401
FS( 37 ),9766082.559999998658895,9766082.559999998658895
FS( 38 ),9491960.559999998658895,9491960.559999998658895
FS( 39 ),9460893.400000000372529,9460893.400000000372529
FS( 40 ),9937865.679999999701977,9937865.679999999701977
FS( 41 ),10290569.320000000298023,10290569.320000000298023
FS( 42 ),10279604.439999999478459,10279604.439999999478459
FS( 43 ),10211987.679999999701977,10211987.679999999701977
FS( 44 ),9926900.799999998882413,9926900.799999998882413
FS( 45 ),10115131.240000000223517,10115131.240000000223517
FS( 46 ),10129751.080000000074506,10129751.080000000074506
FS( 47 ),10023757.240000000223517,10023757.240000000223517
FS( 48 ),10211987.679999999701977,10211987.679999999701977
FS( 49 ),10038377.080000000074506,10038377.080000000074506
FS( 50 ),10085891.559999998658895,10085891.559999998658895
FS( 51 ),10217470.119999999180436,10217470.119999999180436
FS( 52 ),10224780.039999999105930,10224780.039999999105930
FS( 53 ),10402045.599999999627471,10402045.599999999627471
FS( 54 ),10561036.359999999403954,10561036.359999999403954
FS( 55 ),10533624.160000000149012,10533624.160000000149012
FS( 56 ),10513521.879999998956919,10513521.879999998956919
FS( 57 ),10650582.879999998956919,10650582.879999998956919
FS( 58 ),10597585.959999999031425,10597585.959999999031425
FS( 59 ),10548244.000000000000000,10548244.000000000000000
FS( 60 ),10489764.639999998733401,10489764.639999998733401
FS( 61 ),11421779.439999999478459,11421779.439999999478459
FS( 62 ),11160449.799999998882413,11160449.799999998882413
FS( 63 ),10935669.759999999776483,10935669.759999999776483
FS( 64 ),11237203.959999999031425,11237203.959999999031425
