代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11251875.890000000596046
真實報酬,1251875.890000000596046

夏普值報酬,0.116487589000000
夏普值風險,0.036699056798943
夏普值,3.174130322699573

二次趨勢線,-214.938331313982729 x^2 + 34518.358916653181950 x + 10000000.000000000000000
二次平均預期報酬,20762.305712558289088
風險,60679.868270271217625
二次平均趨勢值,0.342161351110420
一次趨勢線,24282.555548251777509 x + 10000000.000000000000000
一次預期報酬,24282.555548251777509
一次風險,114634.037869838561164
一次趨勢值,0.211826748838974
找到最佳解世代,2377
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](5),HD[9](4),NKE[19](10),PG[21](1),WBA[27](11),WMT[28](19),
Stock#,AAPL[0](5),HD[9](4),NKE[19](10),PG[21](1),WBA[27](11),WMT[28](19),
張數,19688,31440,75041,27237,55816,24032,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,76.799999999813735,31.600000000093132,5.389999999897555,33.969999999972060,0.239999999990687,46.800000000046566,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1685960.239999999757856,1623907.600000000093132,1697432.810000000055879,1671296.290000000037253,1652712.000000000000000,1700310.800000000046566,10031623.740000000223517
FS( 3 ),1715492.239999999757856,1638370.000000000000000,1729700.439999999944121,1671023.919999999925494,1667224.160000000149012,1708241.360000000102445,10130056.119999999180436
FS( 4 ),1704073.199999999720603,1639627.600000000093132,1714692.239999999990687,1669117.330000000074506,1653270.160000000149012,1714970.320000000065193,10095754.849999999627471
FS( 5 ),1726714.399999999906868,1638684.399999999906868,1693680.760000000009313,1676471.319999999832362,1657735.439999999944121,1724583.120000000111759,10117873.439999997615814
FS( 6 ),1710767.119999999878928,1641828.400000000139698,1712441.010000000009313,1681373.979999999981374,1670014.960000000195578,1732994.320000000065193,10149423.790000000968575
FS( 7 ),1700135.599999999627471,1624536.400000000139698,1731201.260000000009313,1672385.770000000018626,1671131.280000000027940,1736599.120000000111759,10135993.429999999701977
FS( 8 ),1684582.079999999841675,1620763.600000000093132,1722946.750000000000000,1735030.870000000111759,1680061.840000000083819,1737800.720000000204891,10181189.860000001266599
FS( 9 ),1701513.759999999776483,1637741.200000000186265,1762718.479999999748543,1772890.300000000046566,1706853.519999999785796,1758708.560000000288710,10340429.820000000298023
FS( 10 ),1707026.399999999906868,1617619.600000000093132,1745459.050000000046566,1765263.939999999944121,1702388.239999999990687,1753902.160000000149012,10291663.390000000596046
