代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10680304.599999997764826
真實報酬,680304.599999997764826

夏普值報酬,0.059330460000000
夏普值風險,0.029173898407016
夏普值,2.033682957699299

二次趨勢線,-239.029586482656327 x^2 + 28915.084323552790011 x + 10000000.000000000000000
二次平均預期報酬,13378.161202180126566
風險,243003.102876690303674
二次平均趨勢值,0.055053458346039
一次趨勢線,17352.722930903375527 x + 10000000.000000000000000
一次預期報酬,17352.722930903375527
一次風險,267398.203111528011505
一次趨勢值,0.064894687881152
找到最佳解世代,1892
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),MCD[15](2),
Stock#,AAPL[0](1),MCD[15](2),
張數,101957,58377,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,28.719999999739230,9.949999999254942,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5089722.160000000149012,4999416.229999999515712,10089138.390000000596046
FS( 3 ),5123367.969999999739230,5012259.169999998994172,10135627.139999998733401
FS( 4 ),5202894.429999999701977,5023934.569999999366701,10226829.000000000000000
FS( 5 ),5239598.950000000186265,4997081.149999998509884,10236680.099999997764826
FS( 6 ),5155994.209999999962747,4982486.899999998509884,10138481.109999999403954
FS( 7 ),5152935.500000000000000,4961471.179999998770654,10114406.679999999701977
FS( 8 ),5215129.269999999552965,4959719.869999999180436,10174849.139999998733401
FS( 9 ),5211050.989999999292195,5009340.319999999366701,10220391.309999998658895
FS( 10 ),5315047.129999999888241,4990075.909999999217689,10305123.039999999105930
FS( 11 ),5444532.519999999552965,4985405.750000000000000,10429938.269999999552965
FS( 12 ),5489393.599999999627471,5032691.119999999180436,10522084.719999998807907
FS( 13 ),5635192.110000000335276,5036193.739999999292195,10671385.849999999627471
FS( 14 ),5641309.529999999329448,5051955.529999999329448,10693265.059999998658895
FS( 15 ),5728992.549999999813735,5169877.069999999366701,10898869.619999999180436
FS( 16 ),5804440.729999999515712,5144191.189999999478459,10948631.919999998062849
FS( 17 ),5875810.629999999888241,5138353.489999999292195,11014164.119999999180436
FS( 18 ),5717777.279999999329448,5084062.879999999888241,10801840.160000000149012
FS( 19 ),5706562.009999999776483,5065966.009999999776483,10772528.019999999552965
FS( 20 ),5687190.179999999701977,5048452.909999999217689,10735643.089999999850988
FS( 21 ),5778951.479999999515712,5043198.979999999515712,10822150.459999999031425
FS( 22 ),5664759.639999999664724,4965557.569999999366701,10630317.209999999031425
FS( 23 ),5717777.279999999329448,4993578.529999999329448,10711355.809999998658895
FS( 24 ),5496530.589999999850988,4920023.509999999776483,10416554.099999999627471
FS( 25 ),5441473.809999999590218,4966725.109999999403954,10408198.919999998062849
FS( 26 ),5144778.939999999478459,4793345.419999998994172,9938124.359999999403954
FS( 27 ),5447591.229999999515712,5018096.869999999180436,10465688.099999997764826
FS( 28 ),5297714.439999999478459,4908348.109999999403954,10206062.549999998882413
FS( 29 ),5443512.950000000186265,5036777.509999999776483,10480290.460000000894070
FS( 30 ),5491432.739999999292195,5049620.449999999254942,10541053.189999997615814
FS( 31 ),5584213.610000000335276,5068301.089999998919666,10652514.699999999254942
FS( 32 ),5541391.669999999925494,5059544.539999999105930,10600936.209999999031425
FS( 33 ),5541391.669999999925494,5107997.449999999254942,10649389.119999999180436
FS( 34 ),5331360.250000000000000,4997664.919999998994172,10329025.169999998062849
FS( 35 ),5185561.739999999292195,5092235.659999999217689,10277797.399999998509884
FS( 36 ),5191679.160000000149012,5123175.469999999739230,10314854.629999998956919
FS( 37 ),5441473.809999999590218,5226502.759999999776483,10667976.570000000298023
FS( 38 ),5479197.900000000372529,5261528.959999999031425,10740726.859999999403954
FS( 39 ),5443512.950000000186265,5178633.619999999180436,10622146.570000000298023
FS( 40 ),5587272.319999999366701,5249853.559999999590218,10837125.879999998956919
FS( 41 ),5680053.189999999478459,5300057.779999999329448,10980110.969999998807907
FS( 42 ),5680053.189999999478459,5299474.009999999776483,10979527.199999999254942
FS( 43 ),5605624.579999999143183,5277874.519999998621643,10883499.099999997764826
FS( 44 ),5549548.229999999515712,5258026.339999998919666,10807574.569999998435378
FS( 45 ),5448610.799999999813735,5200816.879999999888241,10649427.679999999701977
FS( 46 ),5531195.969999999739230,5185055.089999998919666,10716251.059999998658895
