代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12045096.930000001564622
真實報酬,2045096.930000001564622

夏普值報酬,0.195809693000000
夏普值風險,0.058561156419628
夏普值,3.343678727873777

二次趨勢線,148.754296955650574 x^2 + 24345.255622331114864 x + 10000000.000000000000000
二次平均預期報酬,33865.530627492749773
風險,145238.252544542250689
二次平均趨勢值,0.233172253412418
一次趨勢線,31429.239779715047916 x + 10000000.000000000000000
一次預期報酬,31429.239779715047916
一次風險,160077.225757635664195
一次趨勢值,0.196337983938455
找到最佳解世代,2797
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](4),MSFT[18](1),PFE[20](20),
Stock#,AAPL[0](4),MSFT[18](1),PFE[20](20),
張數,214638,172622,238265,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,4.860000000335276,2.180000000167638,5.649999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3455676.660000000614673,3329880.560000000055879,3280914.699999999720603,10066472.919999999925494
FS( 3 ),3556556.520000000484288,3236664.680000000167638,3228496.399999999906868,10021718.600000001490116
FS( 4 ),3631679.820000000763685,3238390.900000000372529,3266618.800000000279397,10136690.520000001415610
FS( 5 ),3526507.200000000186265,3238390.900000000372529,3218965.799999999813735,9983864.900000000372529
FS( 6 ),3567288.420000000391155,3312618.360000000335276,3211817.850000000093132,10091725.630000000819564
FS( 7 ),3666021.899999999906868,3395476.920000000391155,3228496.399999999906868,10289996.220000000670552
FS( 8 ),3685339.320000000763685,3381667.160000000149012,3211817.850000000093132,10278825.330000000074506
FS( 9 ),3627387.060000000055879,3340237.880000000353903,3178460.750000000000000,10146086.690000001341105
FS( 10 ),3608069.640000000130385,3250474.439999999944121,3302358.549999999813735,10160903.629999998956919
FS( 11 ),3723974.160000000614673,3411012.900000000372529,3311889.149999999906868,10446877.210000000894070
FS( 12 ),3784072.800000000279397,3314344.580000000074506,3373838.049999999813735,10472256.429999999701977
FS( 13 ),3693924.840000000316650,3212497.600000000093132,3238027.000000000000000,10144450.440000001341105
FS( 14 ),3732559.680000000633299,3274641.520000000018626,3221348.449999999720603,10228550.650000000372529
FS( 15 ),3726120.540000000037253,3241843.340000000316650,3106981.249999999534339,10074946.130000000819564
FS( 16 ),3844171.440000000409782,3266010.420000000391155,3164164.849999999627471,10274347.710000000894070
FS( 17 ),3799097.459999999962747,3609528.200000000186265,3137955.699999999720603,10546582.359999999403954
FS( 18 ),3824854.020000000484288,3521490.979999999981374,3214200.500000000000000,10560546.500000000000000
FS( 19 ),3799097.459999999962747,3440358.640000000130385,3190374.000000000000000,10429831.099999999627471
FS( 20 ),3837732.300000000279397,3495597.680000000167638,3199904.599999999627471,10533235.580000000074506
FS( 21 ),3859196.100000000558794,3497323.900000000372529,3183226.049999999813735,10539747.050000000745058
FS( 22 ),3902123.700000000186265,3493871.459999999962747,3235644.350000000093132,10631640.509999999776483
FS( 23 ),4050223.920000000391155,3485240.360000000335276,3330950.350000000093132,10866415.630000000819564
FS( 24 ),4069541.340000000316650,3416191.560000000055879,3402429.849999999627471,10888163.750000000000000
FS( 25 ),4063102.200000000186265,3416191.560000000055879,3314271.799999999813735,10793566.559999998658895
FS( 26 ),3957929.580000000540167,3335059.220000000204891,3373838.049999999813735,10666827.850000001490116
FS( 27 ),3962222.340000000316650,3352321.420000000391155,3431021.649999999906868,10745566.410000000149012
FS( 28 ),3972954.240000000689179,3335059.220000000204891,3371455.399999999906868,10679469.860000001266599
FS( 29 ),3814122.120000000111759,3433453.760000000242144,3557302.099999999627471,10804878.980000000447035
FS( 30 ),3663875.520000000484288,3409286.680000000167638,3638312.199999999720603,10711475.400000000372529
FS( 31 ),3769048.140000000130385,3462799.500000000000000,3654990.750000000000000,10886839.390000000596046
FS( 32 ),3754023.479999999981374,3490419.020000000018626,3576363.299999999813735,10820806.800000000745058
FS( 33 ),3882806.280000000260770,3556015.380000000353903,3619251.000000000000000,11058073.660000000149012
FS( 34 ),3908562.840000000316650,3505955.000000000000000,3597807.149999999906868,11012325.990000000223517
FS( 35 ),3859196.100000000558794,3518038.540000000037253,3600189.799999999813735,10977425.440000001341105
FS( 36 ),3807682.979999999981374,3421370.220000000204891,3533475.600000000093132,10762529.800000000745058
FS( 37 ),3756169.860000000335276,3409286.680000000167638,3564450.050000000279397,10729907.590000001713634
FS( 38 ),4009442.700000000186265,3511133.660000000149012,3578745.949999999720603,11099323.310000000521541
FS( 39 ),4080273.240000000689179,3474883.040000000037253,3492970.549999999813735,11048127.830000001937151
FS( 40 ),4142518.260000000707805,3530122.080000000074506,3500118.500000000000000,11172759.839999999850988
FS( 41 ),4163982.060000000055879,3606075.760000000242144,3619251.000000000000000,11389309.820000000298023
FS( 42 ),4273447.440000000409782,3694112.979999999981374,3516797.049999999813735,11484358.469999998807907
