代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10913979.890000000596046
真實報酬,913979.890000000596046

夏普值報酬,0.082697989000000
夏普值風險,0.026624755794821
夏普值,3.106056244695581

二次趨勢線,-50.062616759812528 x^2 + 17739.759729386558320 x + 10000000.000000000000000
二次平均預期報酬,14585.814873518367676
風險,48023.499318230155041
二次平均趨勢值,0.303722450062723
一次趨勢線,15393.224756620582411 x + 10000000.000000000000000
一次預期報酬,15393.224756620582411
一次風險,52800.443081668468949
一次趨勢值,0.291535901181952
找到最佳解世代,2156
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),DIS[6](6),KO[14](18),MCD[15](2),MSFT[18](12),
Stock#,AAPL[0](1),DIS[6](6),KO[14](18),MCD[15](2),MSFT[18](12),
張數,17219,18853,47846,16719,31959,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,13.149999999906868,73.760000000009313,37.200000000186265,73.219999999972060,5.780000000027940,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1997761.529999999795109,2025640.080000000074506,1992823.100000000093132,1997659.340000000083819,1991051.479999999981374,10004935.529999999329448
FS( 3 ),2007920.739999999990687,2024508.899999999906868,1997607.700000000186265,2001337.520000000018626,1991051.479999999981374,10022426.339999999850988
FS( 4 ),2030305.439999999944121,2054673.700000000186265,1997129.240000000223517,2019059.660000000149012,2008309.340000000083819,10109477.380000000819564
FS( 5 ),2048901.959999999729916,2042984.840000000083819,1977033.920000000158325,2013542.390000000130385,2001917.540000000037253,10084380.649999998509884
FS( 6 ),2050968.239999999990687,2043361.899999999906868,1963637.040000000037253,2010532.969999999972060,2001278.359999999869615,10069778.509999999776483
FS( 7 ),2061988.399999999906868,2063346.080000000074506,1964115.500000000000000,2021065.939999999944121,2019494.989999999990687,10130010.910000000149012
FS( 8 ),2053378.899999999906868,2027336.850000000093132,1959330.900000000372529,2041463.119999999878928,2000958.770000000018626,10082468.540000000968575
FS( 9 ),2049762.909999999916181,2037328.939999999944121,1955981.680000000400469,2031431.719999999972060,2003835.080000000074506,10078340.330000000074506
