訓練日期,20140729 - 20141028
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11539125.890000000596046
真實報酬,1539125.890000000596046

夏普值報酬,0.145212589000000
夏普值風險,0.039970989088616
夏普值,3.632949604475939

預期報酬,20703.221673944357462
風險,163588.502162148623029
趨勢值,0.126556704171198
找到最佳解世代,2115
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](1),NKE[19](3),PG[21](2),
Stock#,HD[9](1),NKE[19](3),PG[21](2),
張數,41116,85034,42055,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,58.880000000353903,0.199999999720603,53.699999999720603,
20140729,3329632.560000000521541,3320577.899999999441206,3307679.450000000186265,9957890.910000000149012
20140730,3361703.040000000502914,3385203.739999999757856,3287072.499999999534339,10033980.279999999329448
20140731,3324287.479999999981374,3279761.579999999608845,3251746.299999999348074,9855796.359999999403954
20140801,3279059.880000000353903,3264455.459999999962747,3349734.450000000186265,9893250.789999999105930
20140804,3290572.360000000335276,3280611.919999999459833,3331650.799999999813735,9902836.079999998211861
20140805,3290572.360000000335276,3270407.839999999850988,3339641.249999999534339,9900622.449999999254942
20140806,3310719.200000000186265,3279761.579999999608845,3410293.649999999906868,10000775.429999999701977
20140807,3308663.400000000372529,3245747.979999999981374,3370341.399999999906868,9924753.780000001192093
20140808,3389250.760000000707805,3276360.219999999739230,3404405.949999999720603,10070017.929999999701977
20140811,3407752.959999999962747,3276360.219999999739230,3426695.100000000093132,10110809.279999999329448
20140812,3409397.600000000558794,3262754.779999999329448,3424171.799999999813735,10096325.179999999701977
20140813,3417620.800000000745058,3284863.620000000111759,3426695.100000000093132,10129180.520000001415610
20140814,3448046.640000000130385,3286564.299999999813735,3446460.949999999720603,10181072.889999998733401
20140815,3441056.920000000391155,3279761.579999999608845,3439311.599999999627471,10160131.099999999627471
20140818,3436945.320000000298023,3340135.719999999739230,3467067.899999999441206,10244149.939999999478459
20140819,3627723.560000000521541,3338435.039999999571592,3477581.649999999441206,10443741.250000000000000
20140820,3731335.880000000353903,3355441.839999999850988,3482628.250000000000000,10569406.970000000670552
20140821,3747782.280000000726432,3356292.179999999701977,3502394.099999999627471,10606469.560000000521541
20140822,3742848.360000000335276,3371598.299999999813735,3507020.149999999906868,10621467.810000000521541
20140825,3749838.080000000540167,3402210.539999999571592,3513328.399999999906868,10665378.019999999552965
20140826,3767517.959999999962747,3379251.359999999869615,3506599.599999999627471,10653369.919999999925494
20140827,3777385.800000000745058,3389455.439999999478459,3503655.750000000000000,10670497.990000000223517
20140828,3803700.040000000502914,3351190.139999999199063,3491880.349999999627471,10646771.529999999329448
20140829,3844404.880000000353903,3340135.719999999739230,3495244.749999999534339,10679786.349999999627471
20140902,3747782.280000000726432,3370747.959999999962747,3489777.600000000093132,10608308.839999999850988
20140903,3659382.880000000353903,3351190.139999999199063,3486413.200000000186265,10496987.219999998807907
20140904,3697620.760000000707805,3397958.839999999850988,3520057.199999999720603,10615637.800000000745058
20140905,3766695.640000000130385,3488094.879999999888241,3523001.049999999348074,10777792.569999998435378
20140908,3734214.000000000000000,3503401.000000000000000,3504076.299999999348074,10741692.299999998882413
20140909,3656504.760000000707805,3479591.479999999981374,3490198.149999999441206,10626295.390000000596046
20140910,3669661.880000000353903,3506802.359999999869615,3517533.899999999906868,10693999.140000000596046
20140911,3668428.400000000372529,3478741.139999999199063,3511225.649999999441206,10658396.189999997615814
20140912,3652804.320000000298023,3479591.479999999981374,3501553.000000000000000,10633949.800000000745058
20140915,3675006.959999999962747,3470237.739999999757856,3527206.549999999813735,10672452.250000000000000
20140916,3711600.200000000186265,3452380.599999999627471,3536038.099999999627471,10700019.899999998509884
20140917,3750660.400000000372529,3465986.039999999571592,3539402.499999999534339,10756049.939999999478459
20140918,3786431.320000000298023,3485543.859999999869615,3540664.149999999441206,10812640.329999998211861
20140919,3796710.320000000298023,3478741.139999999199063,3552439.549999999813735,10827892.009999997913837
20140922,3778208.120000000577420,3431122.099999999627471,3566738.250000000000000,10776069.470000000670552
20140923,3761761.720000000204891,3406462.239999999757856,3551177.899999999441206,10719402.859999999403954
20140924,3824669.200000000186265,3437074.479999999981374,3584821.899999999441206,10846566.579999998211861
20140925,3778619.280000000726432,3391156.120000000111759,3546551.849999999627471,10716328.250000000000000
20140926,3817268.320000000298023,3805271.699999999720603,3557065.599999999627471,11179606.619999999180436
20140929,3818912.959999999962747,3789115.239999999757856,3551177.899999999441206,11159207.099999997764826
20140930,3772040.720000000204891,3792516.599999999627471,3521739.399999999441206,11086297.719999998807907
20141001,3742437.200000000186265,3728741.099999999627471,3496506.399999999906868,10967685.699999999254942
20141002,3792598.720000000204891,3796768.299999999813735,3492721.449999999720603,11082089.469999998807907
20141003,3846049.520000000484288,3839285.299999999813735,3523842.149999999906868,11209177.970000000670552
20141006,3834537.040000000502914,3793366.939999999478459,3514590.049999999348074,11142495.029999999329448
20141007,3802055.400000000372529,3744897.559999999590218,3497347.499999999534339,11044301.459999999031425
20141008,3868663.320000000298023,3777210.479999999981374,3540243.600000000093132,11186118.400000000372529
20141009,3826725.000000000000000,3709183.279999999329448,3518374.999999999534339,11054284.279999999329448
20141010,3805344.680000000167638,3707482.599999999627471,3561691.649999999441206,11074519.929999999701977
20141013,3725168.479999999981374,3630952.000000000000000,3506179.049999999813735,10862300.530000001192093
20141014,3704610.479999999981374,3618196.899999999441206,3513748.949999999720603,10836557.329999998211861
20141015,3612099.479999999981374,3621598.260000000242144,3488515.949999999720603,10722214.689999999478459
20141016,3654448.959999999962747,3700679.879999999888241,3458656.899999999441206,10813786.739999998360872
20141017,3710366.720000000204891,3706632.260000000242144,3501973.549999999348074,10918973.529999999329448
20141020,3776563.479999999981374,3779761.500000000000000,3540243.600000000093132,11096569.580000000074506
