訓練日期,20130726 - 20131025
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11401717.759999999776483
真實報酬,1401717.759999999776483

夏普值報酬,0.131471776000000
夏普值風險,0.036298580831417
夏普值,3.621953613299682

預期報酬,20900.635639780066413
風險,113439.000831097582704
趨勢值,0.184245590023308
找到最佳解世代,2275
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](4),BA[2](5),DD[7](1),NKE[19](2),UNH[23](16),
Stock#,AAPL[0](4),BA[2](5),DD[7](1),NKE[19](2),UNH[23](16),
張數,31928,18744,40136,64000,27540,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,30.080000000074506,15.199999999953434,23.120000000111759,0.000000000000000,45.199999999953434,
20130726,2011494.080000000074506,1979381.599999999860302,1983544.240000000223517,2001280.000000000000000,1988708.599999999860302,9964408.519999999552965
20130729,2042464.239999999990687,1964573.840000000083819,2000401.360000000335276,2007040.000000000000000,2004681.800000000046566,10019161.240000000223517
20130730,2067687.360000000335276,1981818.320000000065193,2004013.600000000093132,2011520.000000000000000,1990360.999999999767169,10055400.280000001192093
20130731,2064175.280000000260770,1970009.599999999860302,2002809.520000000018626,2013440.000000000000000,2006334.199999999720603,10056768.599999999627471
20130801,2083012.799999999813735,2000000.000000000000000,2023278.879999999888241,2111360.000000000000000,2014871.599999999860302,10232523.279999999329448
20130802,2109832.319999999832362,2022492.800000000046566,2070238.000000000000000,2121600.000000000000000,1990085.600000000093132,10314248.720000000670552
20130805,2141121.760000000242144,2014995.199999999953434,2085088.320000000298023,2124800.000000000000000,2019828.800000000046566,10385834.080000000074506
20130806,2121964.959999999962747,2006372.959999999962747,2061006.720000000204891,2129280.000000000000000,2017074.799999999813735,10335699.440000001341105
20130807,2121007.120000000111759,1994751.679999999934807,2074251.600000000093132,2100480.000000000000000,2008262.000000000000000,10298752.400000000372529
20130808,2102808.160000000149012,1983880.159999999916181,2109571.280000000260770,2113920.000000000000000,2015422.400000000139698,10325602.000000000000000
20130809,2072795.840000000083819,1974320.719999999972060,2174190.240000000223517,2122240.000000000000000,2008537.400000000139698,10352084.200000001117587
20130812,2131862.640000000130385,1953889.759999999776483,2142081.439999999944121,2128640.000000000000000,1993665.800000000046566,10350139.640000000596046
20130813,2233074.399999999906868,1991190.320000000065193,2164958.959999999962747,2106240.000000000000000,2020104.199999999720603,10515567.879999998956919
20130814,2273622.959999999962747,1952390.239999999990687,2157734.479999999981374,2058880.000000000000000,1996419.799999999813735,10439047.480000000447035
20130815,2271068.719999999739230,1925586.320000000065193,2123618.879999999888241,2032000.000000000000000,1966401.200000000186265,10318675.120000001043081
20130816,2291183.360000000335276,1939456.879999999888241,2108367.200000000186265,2037120.000000000000000,1967227.400000000139698,10343354.839999999850988
20130819,2315767.919999999925494,1962886.879999999888241,2093516.879999999888241,2070400.000000000000000,1974938.599999999860302,10417510.279999999329448
