訓練日期,20120329 - 20120629
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11158594.910000000149012
真實報酬,1158594.910000000149012

夏普值報酬,0.107159491000000
夏普值風險,0.031964885244290
夏普值,3.352412817410035

預期報酬,14677.599663695073104
風險,118637.072105025872588
趨勢值,0.123718492063774
找到最佳解世代,2192
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
KO[14](3),TRV[22](2),VZ[26](1),WMT[28](5),
Stock#,KO[14](3),TRV[22](2),VZ[26](1),WMT[28](5),
張數,68813,42538,65342,40856,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,23.709999999962747,41.739999999757856,15.080000000074506,21.359999999869615,
20120329,2539911.539999999571592,2494895.439999999478459,2487585.020000000018626,2484883.279999999795109,10007275.279999997466803
20120330,2546792.839999999850988,2518291.339999999850988,2498039.739999999757856,2500408.560000000055879,10063532.480000000447035
20120402,2550921.620000000111759,2523821.279999999795109,2516988.920000000391155,2506945.520000000018626,10098677.339999999850988
20120403,2537847.149999999906868,2521694.379999999888241,2513068.399999999906868,2477937.759999999776483,10050547.689999999478459
20120404,2527525.199999999720603,2519142.099999999627471,2508494.459999999962747,2462003.919999999925494,10017165.679999999701977
20120405,2528213.330000000074506,2504679.179999999701977,2460794.799999999813735,2478754.879999999888241,9972442.189999999478459
20120409,2507569.429999999701977,2469372.639999999664724,2447726.399999999906868,2456692.640000000130385,9881361.109999999403954
20120410,2477979.839999999850988,2456611.239999999757856,2404600.679999999701977,2448521.439999999944121,9787713.199999999254942
20120411,2481420.490000000223517,2474477.199999999720603,2442499.040000000037253,2443210.159999999683350,9841606.889999998733401
20120412,2484861.140000000130385,2514037.540000000037253,2453607.179999999701977,2457101.199999999720603,9909607.059999998658895
20120413,2475227.319999999832362,2472350.299999999813735,2434658.000000000000000,2441984.479999999981374,9824220.099999999627471
20120416,2492430.569999999832362,2516589.819999999832362,2445766.140000000130385,2475077.839999999850988,9929864.369999999180436
20120417,2544728.449999999720603,2551896.359999999869615,2466022.160000000149012,2527782.079999999608845,10090429.049999998882413
20120418,2552297.880000000353903,2529776.599999999627471,2460794.799999999813735,2535544.719999999739230,10078414.000000000000000
20120419,2539911.539999999571592,2624636.339999999850988,2492812.379999999888241,2522879.359999999869615,10180239.619999999180436
20120420,2550921.620000000111759,2669301.239999999757856,2530710.739999999757856,2551478.560000000055879,10302412.160000000149012
20120423,2535782.760000000242144,2676107.319999999832362,2520256.020000000018626,2432587.599999999627471,10164733.699999999254942
20120424,2550233.490000000223517,2695674.799999999813735,2581024.080000000074506,2360272.479999999981374,10187204.849999999627471
20120425,2578446.819999999832362,2713115.379999999888241,2579717.239999999757856,2343521.520000000018626,10214800.959999999031425
20120426,2604595.760000000242144,2755227.999999999534339,2622842.959999999962747,2408482.560000000055879,10391149.279999999329448
20120427,2636937.870000000111759,2722899.120000000111759,2628723.739999999757856,2411751.040000000037253,10400311.769999999552965
20120430,2625927.789999999571592,2736085.899999999441206,2638525.040000000037253,2406848.319999999832362,10407387.049999998882413
20120501,2647259.819999999832362,2747996.539999999571592,2650286.600000000093132,2413385.279999999795109,10458928.239999998360872
20120502,2654829.250000000000000,2753951.859999999403954,2652900.280000000260770,2410933.919999999925494,10472615.309999998658895
20120503,2664463.069999999832362,2754377.239999999757856,2655513.959999999962747,2410116.799999999813735,10484471.070000000298023
20120504,2649324.209999999962747,2743742.739999999757856,2630684.000000000000000,2398268.560000000055879,10422019.509999999776483
20120507,2658958.029999999795109,2747571.159999999683350,2648326.340000000316650,2418288.000000000000000,10473143.529999999329448
20120508,2654141.120000000111759,2739063.559999999590218,2649633.179999999701977,2412568.159999999683350,10455406.019999999552965
20120509,2641754.779999999795109,2719070.699999999720603,2630030.580000000074506,2411751.040000000037253,10402607.099999999627471
20120510,2663774.939999999944121,2749698.059999999590218,2649633.179999999701977,2418288.000000000000000,10481394.179999999701977
20120511,2665839.330000000074506,2748847.299999999813735,2689491.799999999813735,2427684.879999999888241,10531863.309999998658895
20120514,2645195.429999999701977,2742891.979999999981374,2671849.459999999962747,2413385.279999999795109,10473322.150000000372529
20120515,2634185.350000000093132,2728854.439999999944121,2682304.179999999701977,2424824.959999999962747,10470168.929999999701977
20120516,2626615.919999999925494,2705883.919999999925494,2671196.040000000037253,2418288.000000000000000,10421983.879999998956919
20120517,2584639.990000000223517,2667174.339999999850988,2703213.620000000111759,2520019.439999999944121,10475047.390000000596046
20120518,2548169.100000000093132,2645054.579999999608845,2713668.340000000316650,2550661.439999999944121,10457553.459999999031425
20120521,2563996.089999999850988,2667174.339999999850988,2701253.360000000335276,2575583.599999999627471,10508007.390000000596046
20120522,2552986.010000000242144,2672278.899999999906868,2704520.459999999962747,2603774.239999999757856,10533559.609999999403954
20120523,2552986.010000000242144,2672278.899999999906868,2704520.459999999962747,2603774.239999999757856,10533559.609999999403954
20120524,2599778.850000000093132,2688017.959999999497086,2704520.459999999962747,2658521.279999999795109,10650838.549999998882413
20120525,2588768.770000000018626,2662920.540000000037253,2708440.980000000447035,2668326.719999999739230,10628457.010000001639128
20120529,2596338.199999999720603,2674831.179999999701977,2728043.580000000074506,2683443.439999999944121,10682656.399999998509884
20120530,2582575.600000000093132,2632718.559999999590218,2706480.720000000204891,2673638.000000000000000,10595412.880000000819564
20120531,2571565.520000000018626,2658241.359999999869615,2720855.959999999962747,2689163.279999999795109,10639826.119999999180436
20120601,2515138.859999999869615,2576993.779999999795109,2680997.340000000316650,2678132.159999999683350,10451262.140000000596046
20120604,2533718.370000000111759,2568486.179999999701977,2701253.360000000335276,2696108.799999999813735,10499566.710000000894070
20120605,2519955.770000000018626,2586352.139999999664724,2692105.480000000447035,2676089.359999999869615,10474502.750000000000000
20120606,2567436.740000000223517,2622084.059999999590218,2729350.420000000391155,2693657.439999999944121,10612528.660000000149012
20120607,2555738.529999999795109,2633569.319999999832362,2720855.959999999962747,2691206.080000000074506,10601369.890000000596046
20120608,2588768.770000000018626,2643353.059999999590218,2773129.560000000055879,2787217.679999999701977,10792469.070000000298023
20120611,2568813.000000000000000,2618681.020000000018626,2780970.600000000093132,2759027.040000000037253,10727491.660000000149012
20120612,2587392.510000000242144,2634845.459999999497086,2805800.560000000055879,2766789.679999999701977,10794828.209999999031425
20120613,2570189.260000000242144,2622509.439999999478459,2809067.660000000149012,2740233.279999999795109,10741999.639999998733401
20120614,2605972.020000000018626,2685040.299999999813735,2858727.580000000074506,2763112.639999999664724,10912852.539999999105930
20120615,2618358.359999999869615,2697376.319999999832362,2845659.179999999701977,2768015.359999999869615,10929409.219999998807907
20120618,2614229.580000000074506,2682913.399999999906868,2863301.520000000018626,2783132.080000000074506,10943576.580000000074506
20120619,2605972.020000000018626,2699077.839999999850988,2857420.739999999757856,2770466.719999999739230,10932937.320000000298023
20120620,2599778.850000000093132,2716093.040000000037253,2829323.679999999701977,2799474.479999999515712,10944670.050000000745058
20120621,2569501.130000000353903,2662069.779999999795109,2831283.939999999944121,2765972.560000000055879,10828827.410000000149012
20120622,2578446.819999999832362,2694824.040000000037253,2871795.980000000447035,2749630.159999999683350,10894697.000000000000000
20120625,2572941.779999999795109,2643778.439999999478459,2852193.379999999888241,2785583.439999999944121,10854497.039999999105930
20120626,2583263.729999999981374,2643778.439999999478459,2864608.360000000335276,2801925.839999999850988,10893576.370000001043081
20120627,2626615.919999999925494,2672704.279999999795109,2860687.840000000316650,2802334.399999999906868,10962342.439999999478459
20120628,2634185.350000000093132,2673555.040000000037253,2873102.819999999832362,2790486.159999999683350,10971329.370000001043081
20120629,2690612.010000000242144,2715667.659999999683350,2903813.560000000055879,2848501.679999999701977,11158594.910000000149012
