訓練日期,20171218 - 20180322
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11186061.310000000521541
真實報酬,1186061.310000000521541

夏普值報酬,0.109906131000000
夏普值風險,0.049932669464788
夏普值,2.201086626812646

預期報酬,28165.800262958415260
風險,261082.403949019935681
趨勢值,0.107880882958540
找到最佳解世代,2232
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](3),CSCO[4](1),INTC[11](6),
Stock#,BA[2](3),CSCO[4](1),INTC[11](6),
張數,11340,87282,74805,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,53.399999999906868,33.420000000391155,22.199999999720603,
20171218,3358280.999999999534339,3358644.780000000260770,3460501.499999999534339,10177428.279999999329448
20171219,3370868.399999999906868,3342934.020000000018626,3518849.399999999441206,10232652.820000000298023
20171220,3378239.399999999441206,3381338.100000000558794,3557748.000000000000000,10317326.500000000000000
20171221,3345693.599999999627471,3363008.880000000353903,3497903.999999999534339,10206607.480000000447035
20171222,3346487.400000000372529,3364754.520000000018626,3493415.699999999720603,10204658.619999999180436
20171226,3349435.800000000279397,3358644.780000000260770,3447036.599999999627471,10155118.179999999701977
20171227,3352384.200000000186265,3365627.340000000782311,3449280.749999999534339,10167293.290000000968575
20171228,3360662.400000000372529,3368245.800000000745058,3457509.299999999813735,10186418.500000000000000
20171229,3344332.800000000279397,3342934.020000000018626,3453020.999999999534339,10140288.820000000298023
20180102,3366218.999999999534339,3391811.940000000409782,3504636.449999999720603,10262668.389999998733401
20180103,3377105.399999999906868,3418869.360000000335276,3385696.499999999534339,10181672.259999999776483
20180104,3364291.200000000186265,3403158.600000000558794,3323608.349999999627471,10091059.150000000372529
20180105,3502298.999999999534339,3450290.880000000353903,3346797.899999999906868,10299388.779999999329448
20180108,3517154.399999999441206,3486076.500000000000000,3346797.899999999906868,10350029.799999998882413
20180109,3611049.600000000093132,3464256.000000000000000,3263016.299999999348074,10338322.899999998509884
20180110,3631801.799999999813735,3483458.040000000037253,3179234.699999999720603,10294495.539999999105930
