訓練日期,20100805 - 20101104
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11172518.570000002160668
真實報酬,1172518.570000002160668

夏普值報酬,0.108551857000000
夏普值風險,0.028910916401220
夏普值,3.754701355485939

預期報酬,16055.058014519841890
風險,75181.345012549776584
趨勢值,0.213551087864148
找到最佳解世代,1899
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](1),PG[21](4),VZ[26](2),
Stock#,MCD[15](1),PG[21](4),VZ[26](2),
張數,47154,55975,113378,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,16.740000000223517,21.750000000000000,19.800000000279397,
20100805,3322016.040000000502914,3350685.250000000000000,3350339.700000000186265,10023041.990000002086163
20100806,3382844.700000000186265,3359641.250000000000000,3350339.700000000186265,10092826.650000000372529
20100809,3438486.420000000391155,3379792.250000000000000,3385486.880000000353903,10203766.550000000745058
20100810,3434714.100000000558794,3402182.250000000000000,3403627.360000000335276,10240524.710000000894070
20100811,3374828.520000000018626,3373635.000000000000000,3351473.479999999981374,10099938.000000000000000
20100812,3397933.980000000447035,3357962.000000000000000,3437640.760000000242144,10193537.740000000223517
20100813,3389917.800000000279397,3348446.250000000000000,3404761.140000000596046,10143126.190000001341105
20100816,3385202.400000000372529,3345647.500000000000000,3396824.680000000167638,10127675.580000000074506
20100817,3452632.620000000111759,3374754.500000000000000,3420634.060000000521541,10248022.179999999701977
20100818,3454047.240000000223517,3400503.000000000000000,3418366.500000000000000,10272917.740000000223517
20100819,3440844.120000000111759,3369157.000000000000000,3358276.160000000614673,10168278.280000001192093
20100820,3446031.060000000055879,3357402.250000000000000,3329931.660000000614673,10133365.970000000670552
20100823,3458291.100000000558794,3360201.000000000000000,3334466.780000000260770,10152959.880000000819564
20100824,3429055.620000000111759,3339490.250000000000000,3341269.459999999962747,10109816.330000000074506
20100825,3451218.000000000000000,3340050.000000000000000,3362811.280000000260770,10154080.280000001192093
20100826,3449803.379999999888241,3332773.250000000000000,3344670.800000000279397,10127248.429999999701977
20100827,3488941.200000000186265,3347326.750000000000000,3383219.320000000298023,10219488.269999999552965
20100830,3429998.700000000186265,3323257.500000000000000,3337868.120000000577420,10091125.320000000298023
20100831,3445087.980000000447035,3340050.000000000000000,3348072.140000000596046,10133211.120000001043081
20100901,3514875.900000000372529,3347326.750000000000000,3430838.080000000540167,10293041.730000000447035
20100902,3537509.819999999832362,3362440.000000000000000,3413831.380000000353903,10313782.200000001117587
20100903,3540810.600000000558794,3374754.500000000000000,3424035.400000000372529,10339601.500000000000000
20100907,3574289.939999999944121,3366358.250000000000000,3426302.959999999962747,10366952.149999998509884
20100908,3587493.060000000055879,3379232.500000000000000,3453513.680000000167638,10420240.240000000223517
20100909,3506859.720000000670552,3374754.500000000000000,3496597.320000000298023,10378212.540000000968575
20100910,3537038.280000000260770,3380911.750000000000000,3494329.760000000242144,10412280.790000000968575
20100913,3516290.520000000018626,3385389.750000000000000,3503400.000000000000000,10405081.269999999552965
20100914,3486583.500000000000000,3394345.750000000000000,3504533.780000000260770,10385464.030000001192093
20100915,3522892.080000000074506,3420654.000000000000000,3536279.620000000577420,10479826.700000001117587
20100916,3527135.939999999944121,3420654.000000000000000,3562356.560000000521541,10510147.500000000000000
20100917,3504502.020000000018626,3412817.500000000000000,3591834.840000000316650,10509155.359999999403954
20100920,3541753.680000000167638,3438566.000000000000000,3638319.820000000763685,10618640.500000000000000
20100921,3560615.280000000260770,3443603.750000000000000,3664396.760000000242144,10668616.790000000968575
20100922,3542696.759999999776483,3458717.000000000000000,3672333.220000000204891,10673747.980000000447035
20100923,3519591.300000000279397,3426811.250000000000000,3647390.060000000521541,10593793.610000001266599
20100924,3541282.140000000130385,3450320.750000000000000,3700677.720000000204891,10692281.610000001266599
20100927,3525249.780000000260770,3416735.750000000000000,3725620.880000000353903,10667607.410000000149012
20100928,3519119.759999999776483,3393226.250000000000000,3709747.959999999962747,10622094.969999998807907
20100929,3510632.040000000502914,3372515.500000000000000,3702945.279999999795109,10586093.820000000298023
20100930,3513461.280000000260770,3356842.500000000000000,3695008.820000000763685,10565313.600000001490116
20101001,3532794.420000000391155,3367477.750000000000000,3729022.220000000204891,10629295.390000000596046
20101004,3534209.040000000502914,3356282.750000000000000,3744895.140000000596046,10635387.930000001564622
20101005,3575233.020000000018626,3404421.250000000000000,3806119.260000000242144,10785774.529999999329448
20101006,3555428.340000000316650,3402742.000000000000000,3769838.300000000279397,10728009.640000000596046
20101007,3577119.180000000167638,3403301.750000000000000,3733557.340000000316650,10713979.269999999552965
20101008,3588436.140000000130385,3462635.250000000000000,3722219.540000000037253,10773291.929999999701977
20101011,3564387.600000000558794,3478308.250000000000000,3744895.140000000596046,10787591.990000002086163
20101012,3563916.060000000055879,3471591.250000000000000,3689339.920000000391155,10724848.230000000447035
20101013,3571932.240000000223517,3505736.000000000000000,3651925.180000000167638,10729594.419999999925494
20101014,3632760.900000000372529,3515251.750000000000000,3678002.120000000111759,10826015.769999999552965
