訓練日期,20150911 - 20151211
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11789981.640000000596046
真實報酬,1789981.640000000596046

夏普值報酬,0.170298164000000
夏普值風險,0.056271522050330
夏普值,3.026364985252826

預期報酬,31786.074176052956318
風險,169881.913241924077738
趨勢值,0.187106876591314
找到最佳解世代,2012
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](3),MCD[15](1),
Stock#,HD[9](3),MCD[15](1),
張數,43671,52493,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,107.209999999962747,41.750000000000000,
20150911,5041487.450000000186265,5113384.879999999888241,10154872.330000000074506
20150914,5010481.040000000037253,5090287.959999999962747,10100769.000000000000000
20150915,5073803.990000000223517,5154329.419999999925494,10228133.410000000149012
20150916,5145424.429999999701977,5180575.919999999925494,10326000.349999999627471
20150917,5149354.819999999366701,5135956.870000000111759,10285311.689999999478459
20150918,5027512.730000000447035,5094487.399999999441206,10122000.129999998956919
20150921,5091272.389999999664724,5139106.450000000186265,10230378.839999999850988
20150922,5057209.009999999776483,5102361.350000000558794,10159570.359999999403954
20150923,5073367.280000000260770,5111810.089999999850988,10185177.370000001043081
20150924,5080791.350000000558794,5107085.720000000670552,10187877.070000000298023
20150925,5098259.750000000000000,5122833.620000000111759,10221093.370000001043081
20150928,4982968.309999999590218,5037270.029999999329448,10020238.339999999850988
20150929,4930999.819999999366701,5117059.390000000596046,10048059.210000000894070
20150930,5043671.000000000000000,5172177.040000000037253,10215848.039999999105930
20151001,5110924.339999999850988,5185300.290000000037253,10296224.629999998956919
20151002,5144987.719999999739230,5238318.220000000670552,10383305.940000001341105
20151005,5205690.410000000149012,5310758.560000000521541,10516448.970000000670552
20151006,5182981.490000000223517,5349078.450000000186265,10532059.940000001341105
20151007,5225342.360000000335276,5342254.359999999403954,10567596.719999998807907
20151008,5286918.469999999739230,5404196.100000000558794,10691114.570000000298023
20151009,5298709.639999999664724,5394222.430000000633299,10692932.070000000298023
20151012,5323602.110000000335276,5419419.069999999366701,10743021.179999999701977
20151013,5310937.519999999552965,5426768.089999999850988,10737705.609999999403954
20151014,5252418.379999999888241,5397372.009999999776483,10649790.390000000596046
20151015,5319671.719999999739230,5441466.129999999888241,10761137.849999999627471
20151016,5360285.750000000000000,5502358.009999999776483,10862643.759999999776483
20151019,5376007.309999999590218,5485035.319999999366701,10861042.629999998956919
20151020,5365089.559999999590218,5450914.870000000111759,10816004.429999999701977
20151021,5384741.509999999776483,5382673.970000000670552,10767415.480000000447035
20151022,5431032.769999999552965,5819940.660000000149012,11250973.429999999701977
20151023,5441950.519999999552965,5910228.620000000111759,11352179.140000000596046
20151026,5459418.919999999925494,5888706.490000000223517,11348125.410000000149012
20151027,5435836.580000000074506,5860360.270000000484288,11296196.850000001490116
20151028,5407450.429999999701977,5928601.169999999925494,11336051.599999999627471
20151029,5399152.939999999478459,5911803.410000000149012,11310956.349999999627471
20151030,5399589.650000000372529,5892381.000000000000000,11291970.650000000372529
20151102,5433216.319999999366701,5885031.979999999515712,11318248.299999998882413
20151103,5487805.069999999366701,5883457.189999999478459,11371262.259999997913837
20151104,5475577.189999999478459,5900254.950000000186265,11375832.140000000596046
20151105,5490425.330000000074506,5923876.799999999813735,11414302.129999998956919
20151106,5501779.790000000037253,5948023.580000000074506,11449803.370000001043081
20151109,5437146.709999999962747,5928076.240000000223517,11365222.949999999254942
20151110,5470336.669999999925494,5943299.209999999962747,11413635.879999998956919
20151111,5446317.620000000111759,5976369.799999999813735,11422687.419999999925494
20151112,5407013.719999999739230,5885031.979999999515712,11292045.699999999254942
20151113,5240627.209999999962747,5772696.959999999962747,11013324.169999999925494
20151116,5277310.850000000558794,5829914.330000000074506,11107225.179999999701977
20151117,5510513.990000000223517,5823615.169999999925494,11334129.160000000149012
20151118,5526235.549999999813735,5907079.040000000037253,11433314.589999999850988
20151119,5540210.269999999552965,5947498.649999999441206,11487708.919999998062849
20151120,5686508.120000000111759,5979519.379999999888241,11666027.500000000000000
20151123,5786514.709999999962747,6008915.459999999962747,11795430.169999999925494
20151124,5834552.809999999590218,5998941.790000000037253,11833494.599999999627471
20151125,5880407.360000000335276,6005240.950000000186265,11885648.310000000521541
20151127,5884337.750000000000000,5996317.140000000596046,11880654.890000000596046
20151130,5846780.689999999478459,5992642.629999999888241,11839423.320000000298023
20151201,5870799.740000000223517,6007865.600000000558794,11878665.339999999850988
20151202,5843723.719999999739230,5969545.709999999962747,11813269.429999999701977
20151203,5717951.240000000223517,5952223.020000000484288,11670174.260000001639128
20151204,5875166.839999999850988,6099728.350000000558794,11974895.190000001341105
20151207,5848964.240000000223517,6111276.810000000521541,11960241.050000000745058
20151208,5845033.850000000558794,6117051.040000000037253,11962084.890000000596046
20151209,5760312.110000000335276,6119675.689999999478459,11879987.800000000745058
20151210,5788261.549999999813735,6152221.350000000558794,11940482.900000000372529
20151211,5696552.450000000186265,6093429.189999999478459,11789981.640000000596046
