訓練日期,20180618 - 20180918
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11271880.060000000521541
真實報酬,1271880.060000000521541

夏普值報酬,0.118488006000000
夏普值風險,0.035617089703449
夏普值,3.326717791558500

預期報酬,19662.062900229539082
風險,61252.545107561498298
趨勢值,0.320999933401989
找到最佳解世代,2040
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
MSFT[18](6),PFE[20](3),VZ[26](2),WMT[28](4),XOM[29](22),
Stock#,MSFT[18](6),PFE[20](3),VZ[26](2),WMT[28](4),XOM[29](22),
張數,19974,55005,41614,23894,24795,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,3.380000000121072,18.199999999953434,31.159999999916181,72.199999999953434,35.300000000046566,
20180618,2014581.020000000018626,1988998.999999999767169,1975031.599999999860302,1983274.199999999953434,2003967.199999999953434,9965853.019999999552965
20180619,2014581.020000000018626,1992299.299999999813735,2018310.159999999916181,1997849.540000000037253,2000991.800000000046566,10024031.820000000298023
20180620,2034754.760000000242144,2005500.500000000000000,2001248.420000000158325,1997849.540000000037253,1994793.050000000046566,10034146.270000001415610
20180621,2020173.740000000223517,1996699.699999999720603,2023719.979999999981374,2012185.939999999711290,1975948.850000000093132,10028728.209999999031425
20180622,2005592.719999999972060,2008250.749999999767169,2070743.799999999813735,2026761.279999999795109,2017852.399999999906868,10129200.949999999254942
20180625,1965245.240000000223517,2001100.100000000093132,2064085.560000000055879,2066186.379999999888241,1977188.599999999860302,10073805.880000000819564
20180626,1979027.300000000046566,2001100.100000000093132,2051601.359999999869615,2054478.320000000065193,1999504.100000000093132,10085711.179999999701977
20180627,1948267.340000000316650,1991749.250000000000000,2052017.500000000000000,2076221.859999999869615,2026034.750000000000000,10094290.699999999254942
20180628,1970039.000000000000000,2000000.000000000000000,2116519.200000000186265,2051611.040000000037253,2032481.449999999953434,10170650.689999999478459
20180629,1969639.520000000018626,1995599.600000000093132,2093631.500000000000000,2046593.300000000046566,2051325.650000000139698,10156789.570000000298023
20180702,1997603.120000000111759,1998349.849999999860302,2098209.040000000037253,2007168.199999999953434,2027274.500000000232831,10128604.710000000894070
20180703,1978428.080000000074506,1999449.949999999953434,2109860.959999999962747,2017681.559999999823049,2039176.099999999860302,10144596.650000000372529
20180705,1992609.620000000111759,2028052.549999999813735,2133997.080000000074506,2020787.779999999795109,2040911.750000000000000,10216358.779999999329448
20180706,2020573.219999999972060,2041253.750000000000000,2142319.879999999888241,2019354.140000000130385,2041407.649999999906868,10264908.640000000596046
20180709,2034355.280000000027940,2044003.999999999767169,2111525.519999999552965,2053283.620000000111759,2055540.800000000279397,10298709.219999998807907
20180710,2039748.260000000242144,2058855.349999999860302,2136493.919999999925494,2083867.939999999711290,2074385.000000000000000,10393350.469999998807907
20180711,2036951.900000000139698,2046754.250000000000000,2136493.919999999925494,2067620.020000000018626,2047854.350000000093132,10335674.439999999478459
20180712,2081094.440000000176951,2063805.800000000046566,2132332.519999999552965,2067381.079999999841675,2050333.850000000093132,10394947.689999999478459
20180713,2105862.200000000186265,2064355.850000000093132,2139406.899999999441206,2095576.000000000000000,2065706.750000000000000,10470907.699999999254942
20180716,2095475.719999999972060,2056105.100000000093132,2146897.419999999925494,2094142.359999999869615,2045374.849999999860302,10437995.449999999254942
20180717,2116248.680000000633299,2070956.449999999953434,2140239.179999999701977,2107284.059999999590218,2040911.750000000000000,10475640.120000001043081
20180718,2099670.259999999776483,2071506.499999999767169,2128171.120000000111759,2104416.779999999329448,2038680.199999999953434,10442444.859999999403954
20180719,2085288.980000000214204,2055005.000000000000000,2111941.660000000149012,2096053.879999999888241,2033473.250000000232831,10381762.770000001415610
20180720,2122640.360000000335276,2053354.849999999860302,2106531.839999999850988,2104177.839999999850988,2018348.300000000279397,10405053.189999999478459
20180723,2156596.160000000149012,2046754.250000000000000,2111941.660000000149012,2093903.419999999925494,2018348.300000000279397,10427543.790000000968575
20180724,2150404.219999999739230,2073706.700000000186265,2143568.299999999813735,2101788.439999999478459,2058268.250000000232831,10527735.910000000149012
20180725,2213721.799999999813735,2089658.150000000139698,2118599.899999999441206,2100354.799999999813735,2072649.350000000093132,10594983.999999998137355
20180726,2189553.259999999776483,2099009.000000000000000,2129835.679999999701977,2108239.820000000298023,2088766.099999999860302,10615403.859999999403954
20180727,2150803.700000000186265,2112760.250000000000000,2164375.299999999813735,2105850.419999999925494,2031241.700000000186265,10565031.370000001043081
20180730,2104663.759999999776483,2122661.150000000372529,2184350.019999999552965,2123770.919999999925494,2026778.599999999860302,10562224.449999999254942
20180731,2118845.299999999813735,2196367.849999999627471,2148978.120000000111759,2132133.820000000298023,2021075.750000000232831,10617400.839999999850988
20180801,2122840.100000000558794,2215069.549999999813735,2152723.379999999888241,2108478.759999999776483,1993305.350000000093132,10592417.139999998733401
20180802,2148606.559999999590218,2180966.450000000186265,2163126.879999999888241,2120903.639999999664724,1981403.750000000000000,10595007.279999999329448
20180803,2157994.339999999850988,2229920.899999999441206,2175194.940000000409782,2140974.599999999627471,1988594.300000000046566,10692679.080000000074506
20180806,2159792.000000000000000,2257423.399999999441206,2183933.879999999888241,2142647.179999999701977,1988098.400000000139698,10731894.859999999403954
20180807,2174772.500000000000000,2246422.400000000372529,2183101.599999999627471,2145036.580000000074506,2015124.949999999953434,10764458.029999999329448
20180808,2186956.639999999664724,2277775.250000000000000,2193088.959999999962747,2151726.899999999441206,2001735.650000000139698,10811283.400000000372529
20180809,2190551.959999999962747,2255223.200000000186265,2205989.299999999813735,2126877.139999999664724,1991569.699999999953434,10770211.299999998882413
20180810,2177169.379999999888241,2251372.849999999627471,2183517.740000000223517,2154833.120000000111759,1969254.200000000186265,10736147.289999999105930
20180813,2161389.919999999925494,2244772.250000000000000,2173114.240000000223517,2141930.360000000335276,1947930.500000000000000,10669137.269999999552965
20180814,2188354.820000000298023,2239271.750000000000000,2200163.339999999850988,2170842.099999999627471,1941731.750000000000000,10740363.759999999776483
20180815,2150404.219999999739230,2264024.000000000000000,2215560.519999999552965,2155788.879999999888241,1907762.600000000093132,10693540.219999998807907
20180816,2150004.740000000223517,2278325.299999999813735,2258422.940000000409782,2356976.360000000335276,1934045.300000000046566,10977774.640000000596046
20180817,2148806.299999999813735,2315178.650000000372529,2280062.219999999739230,2338100.099999999627471,1940492.000000000232831,11022639.269999999552965
20180820,2134624.759999999776483,2328379.849999999627471,2274236.259999999776483,2293896.200000000186265,1954129.250000000000000,10985266.320000000298023
20180821,2116847.900000000372529,2319029.000000000000000,2285055.899999999441206,2295807.719999999739230,1954625.149999999906868,10971365.669999999925494
20180822,2138419.820000000298023,2314078.549999999813735,2253013.120000000111759,2286011.179999999701977,1982643.500000000000000,10974166.169999999925494
20180823,2148406.820000000298023,2321229.200000000186265,2258839.080000000074506,2274303.120000000111759,1960823.899999999906868,10963602.120000001043081
20180824,2165184.980000000447035,2332230.200000000186265,2279646.080000000074506,2268807.500000000000000,1974213.200000000186265,11020081.960000000894070
20180827,2189153.780000000260770,2287126.099999999627471,2282559.059999999590218,2259010.959999999962747,1993553.300000000279397,11011403.199999999254942
20180828,2202336.620000000111759,2282725.700000000186265,2274236.259999999776483,2295568.779999999329448,1990577.900000000139698,11045445.259999999776483
20180829,2237490.860000000335276,2282725.700000000186265,2270907.139999999664724,2285294.360000000335276,2004959.000000000000000,11081377.060000000521541
20180830,2236092.680000000633299,2282725.700000000186265,2278397.660000000149012,2296285.599999999627471,1996280.750000000232831,11089782.390000000596046
20180831,2243682.799999999813735,2283825.799999999813735,2262584.339999999850988,2290551.040000000037253,1987850.450000000186265,11068494.429999999701977
