訓練日期,20100524 - 20100824
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10936593.279999999329448
真實報酬,936593.279999999329448

夏普值報酬,0.084959328000000
夏普值風險,0.034871095316473
夏普值,2.436382546316645

預期報酬,17707.186571077781991
風險,155541.797460955538554
趨勢值,0.113841982413265
找到最佳解世代,2347
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](5),MRK[17](4),VZ[26](2),
Stock#,KO[14](5),MRK[17](4),VZ[26](2),
張數,129198,104036,127518,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,24.600000000093132,19.560000000055879,12.479999999981374,
20100524,3324289.140000000130385,3314606.520000000018626,3277225.080000000074506,9916121.740000000223517
20100525,3270025.979999999981374,3335413.720000000204891,3267023.640000000130385,9872464.339999999850988
20100526,3235142.520000000018626,3372866.680000000167638,3210915.719999999739230,9818925.919999999925494
20100527,3310077.360000000335276,3497709.879999999888241,3288701.699999999720603,10096489.939999999478459
20100528,3320413.200000000186265,3504992.399999999906868,3281050.620000000111759,10106457.219999998807907
20100601,3313953.299999999813735,3488346.640000000130385,3244070.400000000372529,10046371.339999999850988
20100602,3386304.180000000167638,3574696.520000000018626,3288701.699999999720603,10249703.400000000372529
20100603,3408267.839999999850988,3567414.000000000000000,3295077.600000000093132,10270760.439999999478459
20100604,3312661.320000000298023,3450893.680000000167638,3244070.400000000372529,10007626.400000000372529
20100607,3281653.799999999813735,3465458.720000000204891,3228768.240000000223517,9975881.759999999776483
20100608,3330749.040000000037253,3517476.720000000204891,3300178.319999999832362,10148405.080000000074506
20100609,3317829.240000000223517,3507073.120000000111759,3311654.939999999944121,10136558.300000000745058
20100610,3388888.140000000130385,3604866.959999999962747,3379239.479999999981374,10372995.580000000074506
20100611,3337208.939999999944121,3626714.520000000018626,3404743.080000000074506,10368667.539999999105930
20100614,3328165.080000000074506,3643360.280000000260770,3413669.339999999850988,10385195.699999999254942
20100615,3370800.419999999925494,3747396.280000000260770,3471052.439999999944121,10589250.140000000596046
20100616,3385012.200000000186265,3746355.919999999925494,3478703.520000000018626,10610072.640000000596046
20100617,3382428.240000000223517,3730750.520000000018626,3468502.080000000074506,10581681.839999999850988
20100618,3379844.280000000260770,3710983.680000000167638,3472327.620000000111759,10563156.580000001937151
20100621,3390180.120000000111759,3653763.879999999888241,3464676.540000000037253,10508621.539999999105930
20100622,3388888.140000000130385,3654804.240000000223517,3464676.540000000037253,10508369.920000001788139
20100623,3374676.360000000335276,3684974.680000000167638,3496556.040000000037253,10556208.080000001937151
20100624,3346252.799999999813735,3704741.520000000018626,3453199.919999999925494,10504195.240000000223517
20100625,3246770.339999999850988,3738033.040000000037253,3403467.900000000372529,10388272.280000001192093
20100628,3299741.520000000018626,3739073.399999999906868,3422595.600000000093132,10461411.519999999552965
20100629,3251938.260000000242144,3686015.040000000037253,3412394.160000000149012,10350348.460000000894070
20100630,3237726.479999999981374,3638158.479999999981374,3340984.080000000074506,10216870.039999999105930
20100701,3232558.560000000055879,3583019.399999999906868,3353735.879999999888241,10169314.839999999850988
20100702,3233850.540000000037253,3560131.479999999981374,3418770.059999999590218,10212753.079999998211861
20100706,3258398.160000000149012,3604866.959999999962747,3393266.459999999962747,10256532.580000000074506
20100707,3325581.120000000111759,3686015.040000000037253,3381789.839999999850988,10393387.000000000000000
20100708,3386304.180000000167638,3730750.520000000018626,3414944.520000000018626,10532000.220000000670552
20100709,3385012.200000000186265,3776526.359999999869615,3398367.179999999701977,10559906.740000000223517
20100712,3388888.140000000130385,3754678.800000000279397,3377964.299999999813735,10521532.240000000223517
20100713,3405683.879999999888241,3792131.760000000242144,3428971.500000000000000,10626788.140000000596046
