訓練日期,20181010 - 20190114
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10803373.980000000447035
真實報酬,803373.980000000447035

夏普值報酬,0.071637398000000
夏普值風險,0.037385603100981
夏普值,1.916176069341535

預期報酬,22387.677224363425921
風險,361920.588440214167349
趨勢值,0.061857981942527
找到最佳解世代,2002
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](2),PG[21](1),
Stock#,MRK[17](2),PG[21](1),
張數,70972,61394,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,22.599999999627471,72.640000000596046,
20181010,5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
20181011,4852378.240000000223517,4842217.420000000856817,9694595.660000000149012
20181012,4954577.919999999925494,4853882.280000001192093,9808460.200000001117587
20181015,4929737.719999998807907,4919573.860000000335276,9849311.579999998211861
20181016,5054648.439999999478459,4973600.580000001005828,10028249.019999999552965
20181017,5097231.639999998733401,5025785.480000000447035,10123017.119999999180436
20181018,5124910.719999998807907,4926327.200000000186265,10051237.919999998062849
20181019,5134846.799999998882413,5359768.840000000782311,10494615.640000000596046
20181022,5150460.639999998733401,5316793.040000000037253,10467253.679999999701977
20181023,5117103.799999998882413,5351173.680000000633299,10468277.480000000447035
20181024,5006387.480000000447035,5492379.879999999888241,10498767.359999999403954
20181025,4965223.719999998807907,5464138.640000000596046,10429362.359999999403954
20181026,4996451.400000000372529,5394149.480000000447035,10390600.880000000819564
20181029,5070972.000000000000000,5417479.200000000186265,10488451.199999999254942
20181030,5171752.240000000223517,5475803.500000000000000,10647555.740000000223517
20181031,5224271.519999999552965,5444492.560000001452863,10668764.080000001937151
20181101,5189495.240000000223517,5500361.100000000558794,10689856.339999999850988
20181102,5129169.039999999105930,5513867.780000001192093,10643036.820000000298023
20181105,5189495.240000000223517,5599205.440000000409782,10788700.679999999701977
20181106,5202979.919999999925494,5618237.580000001005828,10821217.500000000000000
20181107,5328600.359999999403954,5604730.900000001303852,10933331.260000001639128
20181108,5356989.160000000149012,5609028.480000000447035,10966017.640000000596046
20181109,5312986.519999999552965,5673492.180000000633299,10986478.699999999254942
20181112,5300921.279999999329448,5691296.440000000409782,10992217.719999998807907
20181113,5295243.519999999552965,5738569.820000000298023,11033813.339999999850988
20181114,5258338.080000000074506,5739797.700000000186265,10998135.780000001192093
20181115,5311567.080000000074506,5760671.660000000149012,11072238.740000000223517
20181116,5398152.919999999925494,5760057.719999999739230,11158210.640000000596046
20181119,5418734.799999998882413,5727518.900000001303852,11146253.699999999254942
20181120,5307308.759999999776483,5654460.040000000037253,10961768.800000000745058
20181121,5308018.480000000447035,5612098.180000000633299,10920116.660000000149012
20181123,5299501.839999999850988,5620079.400000001303852,10919581.240000002086163
20181126,5354150.279999999329448,5644637.000000000000000,10998787.279999999329448
20181127,5418025.080000000074506,5692524.320000000298023,11110549.400000000372529
20181128,5481190.160000000149012,5710328.580000001005828,11191518.740000002086163
20181129,5529451.119999999180436,5698663.719999999739230,11228114.839999999850988
20181130,5630941.080000000074506,5802419.580000001005828,11433360.660000000149012
20181203,5622424.439999999478459,5729360.719999999739230,11351785.160000000149012
20181204,5550742.719999998807907,5728746.780000001192093,11279489.500000000000000
20181206,5562098.240000000223517,5743481.340000000782311,11305579.580000001937151
20181207,5444994.439999999478459,5675947.940000000409782,11120942.379999998956919
20181210,5494674.839999999850988,5711556.460000000894070,11206231.300000000745058
20181211,5472673.519999999552965,5765583.180000000633299,11238256.699999999254942
20181212,5536548.320000000298023,5772950.460000000894070,11309498.780000001192093
20181213,5607520.320000000298023,5923979.700000000186265,11531500.019999999552965
20181214,5427961.160000000149012,5933188.800000000745058,11361149.960000000894070
20181217,5339246.160000000149012,5695594.020000000484288,11034840.179999999701977
20181218,5275371.359999999403954,5678403.700000000186265,10953775.059999998658895
20181219,5235627.039999999105930,5633586.080000001005828,10869213.120000001043081
20181220,5215754.879999998956919,5585698.760000000707805,10801453.640000000596046
20181221,5173881.400000000372529,5585084.820000000298023,10758966.220000000670552
20181224,5049680.400000000372529,5363452.480000000447035,10413132.880000000819564
20181226,5251950.599999999627471,5531058.100000000558794,10783008.699999999254942
20181227,5349891.959999999031425,5649548.520000000484288,10999440.480000000447035
20181228,5349182.240000000223517,5597977.560000001452863,10947159.800000000745058
20181231,5422993.119999999180436,5643409.120000001043081,11066402.240000000223517
20190102,5364796.080000000074506,5604116.960000000894070,10968913.040000000968575
20190103,5254789.480000000447035,5564824.800000000745058,10819614.280000001192093
20190104,5413057.039999999105930,5678403.700000000186265,11091460.739999998360872
20190107,5353440.560000000521541,5655687.920000000856817,11009128.480000000447035
20190108,5393184.879999998956919,5676561.879999999888241,11069746.759999997913837
20190109,5352021.119999999180436,5583856.940000000409782,10935878.059999998658895
20190110,5286017.160000000149012,5597363.620000001043081,10883380.780000001192093
20190111,5315825.400000000372529,5634200.020000000484288,10950025.420000001788139
20190114,5207238.240000000223517,5596135.740000001154840,10803373.980000000447035
