訓練日期,20150701 - 20151001
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10879178.240000000223517
真實報酬,879178.240000000223517

夏普值報酬,0.079217824000000
夏普值風險,0.023559248365334
夏普值,3.362493691291234

預期報酬,9151.722365664874815
風險,231672.108035559504060
趨勢值,0.039502909708320
找到最佳解世代,1938
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),NKE[19](2),
Stock#,HD[9](1),NKE[19](2),
張數,44614,91374,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,109.020000000484288,14.719999999739230,
20150701,5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
20150702,4974123.879999999888241,5020102.279999999329448,9994226.160000000149012
20150706,4966539.500000000000000,5018274.799999999813735,9984814.300000000745058
20150707,5014722.620000001043081,5084977.819999999366701,10099700.440000001341105
20150708,4952263.020000000484288,4992690.080000000074506,9944953.100000001490116
20150709,4969216.339999999850988,5000000.000000000000000,9969216.339999999850988
20150710,5045952.419999999925494,5049341.959999999962747,10095294.379999998956919
20150713,5126257.620000001043081,5136147.259999999776483,10262404.880000000819564
20150714,5146780.060000000521541,5132492.299999999813735,10279272.359999999403954
20150715,5156595.140000000596046,5112390.019999999552965,10268985.160000000149012
20150716,5118673.240000000223517,5132492.299999999813735,10251165.539999999105930
20150717,5107073.600000000558794,5153508.319999999366701,10260581.919999999925494
20150720,5059782.760000000707805,5169041.899999999441206,10228824.660000000149012
20150721,5079859.060000000521541,5162645.719999999739230,10242504.780000001192093
20150722,5126257.620000001043081,5212901.419999999925494,10339159.040000000968575
20150723,5112427.280000000260770,5208332.719999999739230,10320760.000000000000000
20150724,5067813.280000000260770,5162645.719999999739230,10230459.000000000000000
20150727,5044614.000000000000000,5105080.099999999627471,10149694.099999999627471
20150728,5123580.780000000260770,5184575.479999999515712,10308156.259999999776483
20150729,5191840.200000001117587,5250364.759999999776483,10442204.960000000894070
20150730,5195855.459999999962747,5254933.459999999962747,10450788.919999999925494
20150731,5221285.440000000409782,5264070.859999999403954,10485356.300000000745058
20150803,5215039.480000000447035,5246709.799999999813735,10461749.280000001192093
20150804,5243592.440000000409782,5289655.580000000074506,10533248.019999999552965
20150805,5264561.020000000484288,5334428.839999999850988,10598989.859999999403954
20150806,5200316.860000000335276,5259502.160000000149012,10459819.019999999552965
20150807,5216824.040000000968575,5232089.959999999962747,10448914.000000000000000
20150810,5246715.419999999925494,5270467.040000000037253,10517182.460000000894070
20150811,5250730.680000000633299,5229348.739999999292195,10480079.419999999925494
20150812,5250730.680000000633299,5165386.939999999478459,10416117.620000001043081
20150813,5310067.300000000745058,5190057.919999999925494,10500125.220000000670552
20150814,5342635.520000000484288,5224780.040000000037253,10567415.560000000521541
20150817,5340404.820000000298023,5253105.979999999515712,10593510.800000000745058
20150818,5478708.220000000670552,5245796.059999999590218,10724504.280000001192093
20150819,5476923.660000001080334,5252192.239999999292195,10729115.900000000372529
20150820,5377880.580000001005828,5130664.819999999366701,10508545.400000000372529
20150821,5182471.260000000707805,4883041.279999999329448,10065512.539999999105930
20150824,5020968.580000001005828,4745980.279999999329448,9766948.859999999403954
20150825,4950924.600000000558794,4730446.700000000186265,9681371.300000000745058
20150826,5172210.040000000968575,4968932.839999999850988,10141142.880000000819564
20150827,5249392.260000000707805,5145284.660000000149012,10394676.920000001788139
20150828,5243146.300000000745058,5139802.219999999739230,10382948.519999999552965
20150831,5195855.459999999962747,5105993.839999999850988,10301849.300000000745058
20150901,5044614.000000000000000,4963450.399999999441206,10008064.399999998509884
20150902,5196747.740000000223517,5057565.620000000111759,10254313.359999999403954
20150903,5202101.419999999925494,5064875.540000000037253,10266976.960000000894070
20150904,5104842.900000000372529,5011878.620000000111759,10116721.519999999552965
20150908,5194517.040000000968575,5105993.839999999850988,10300510.880000000819564
20150909,5084766.600000000558794,5019188.540000000037253,10103955.140000000596046
20150910,5107965.879999999888241,5042945.779999999329448,10150911.660000000149012
20150911,5150349.180000000633299,5108735.059999999590218,10259084.240000000223517
20150914,5118673.240000000223517,5112390.019999999552965,10231063.259999999776483
20150915,5183363.540000000968575,5201022.799999999813735,10384386.339999999850988
20150916,5256530.500000000000000,5280518.179999999701977,10537048.679999999701977
20150917,5260545.760000000707805,5266812.080000000074506,10527357.839999999850988
20150918,5136072.700000001117587,5256760.939999999478459,10392833.640000000596046
20150921,5201209.140000000596046,5325291.439999999478459,10526500.580000000074506
20150922,5166410.220000000670552,5298792.979999999515712,10465203.199999999254942
20150923,5182917.400000000372529,5274122.000000000000000,10457039.400000000372529
20150924,5190501.780000000260770,5244882.319999999366701,10435384.099999999627471
20150925,5208347.379999999888241,5710889.719999999739230,10919237.099999999627471
20150928,5090566.419999999925494,5580224.899999999441206,10670791.320000000298023
20150929,5037475.760000000707805,5467834.879999999888241,10505310.640000000596046
20150930,5152579.879999999888241,5618601.979999999515712,10771181.859999999403954
20151001,5221285.440000000409782,5657892.799999999813735,10879178.240000000223517
