訓練日期,20140711 - 20141010
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11078096.929999999701977
真實報酬,1078096.929999999701977

夏普值報酬,0.099109693000000
夏普值風險,0.039527681264224
夏普值,2.507349023017514

預期報酬,21578.690955639780441
風險,134661.098507833841722
趨勢值,0.160244429866911
找到最佳解世代,1969
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
GS[8](1),HD[9](2),MSFT[18](3),NKE[19](7),
Stock#,GS[8](1),HD[9](2),MSFT[18](3),NKE[19](7),
張數,15169,31403,59396,64683,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,148.799999999813735,7.169999999925494,22.359999999869615,2.050000000279397,
20140711,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
20140714,2533371.799999999813735,2495289.549999999813735,2502969.799999999813735,2521345.390000000130385,10052976.539999999105930
20140715,2566288.529999999795109,2507850.750000000000000,2521382.560000000055879,2523932.710000000428408,10119454.550000000745058
20140716,2586008.229999999981374,2501570.149999999906868,2618198.039999999571592,2487710.230000000447035,10193486.650000000372529
20140717,2581002.459999999497086,2498115.819999999832362,2644926.239999999757856,2475420.460000000428408,10199464.980000000447035
20140718,2601177.229999999981374,2514759.409999999683350,2654429.599999999627471,2507115.130000000353903,10277481.369999999180436
20140721,2604969.479999999981374,2503140.299999999813735,2663339.000000000000000,2484476.080000000074506,10255924.859999999403954
20140722,2655027.180000000167638,2529204.790000000037253,2662745.039999999571592,2491591.210000000428408,10338568.220000000670552
20140723,2682331.379999999888241,2544278.229999999981374,2665120.879999999888241,2502587.320000000298023,10394317.809999998658895
20140724,2673836.739999999757856,2549930.770000000018626,2637204.759999999776483,2542043.950000000186265,10403016.219999998807907
20140725,2660791.399999999906868,2544592.259999999776483,2643144.359999999869615,2513583.430000000167638,10362111.449999999254942
20140728,2669134.349999999627471,2545848.379999999888241,2611664.479999999981374,2535575.650000000372529,10362222.859999999403954
20140729,2662915.059999999590218,2543022.109999999869615,2606912.799999999813735,2525873.200000000186265,10338723.169999999925494
20140730,2666252.239999999757856,2567516.450000000186265,2588500.039999999571592,2575032.280000000260770,10397301.009999997913837
20140731,2622413.830000000074506,2538939.719999999739230,2563553.719999999739230,2494825.360000000335276,10219732.629999998956919
20140801,2582671.049999999813735,2504396.419999999925494,2545734.919999999925494,2483182.420000000391155,10115984.810000000521541
20140804,2604514.409999999683350,2513189.259999999776483,2576026.879999999888241,2495472.189999999944121,10189202.740000000223517
20140805,2570080.779999999795109,2513189.259999999776483,2558802.039999999571592,2487710.230000000447035,10129782.309999998658895
20140806,2574934.859999999869615,2528576.729999999981374,2538607.399999999906868,2494825.360000000335276,10136944.350000001490116
20140807,2565226.699999999720603,2527006.580000000074506,2567711.439999999478459,2468952.160000000614673,10128896.879999998956919
20140808,2613160.739999999757856,2588556.459999999962747,2565929.560000000055879,2492238.040000000502914,10259884.800000000745058
20140811,2616194.540000000037253,2602687.809999999590218,2565929.560000000055879,2492238.040000000502914,10277049.950000001117587
20140812,2614222.569999999832362,2603943.930000000167638,2584936.280000000260770,2481888.760000000242144,10284991.540000000968575
20140813,2614829.330000000074506,2610224.530000000260770,2618198.039999999571592,2498706.340000000316650,10341958.240000000223517
20140814,2620290.169999999459833,2633462.750000000000000,2629483.280000000260770,2500000.000000000000000,10383236.199999999254942
20140815,2607699.899999999906868,2628124.239999999757856,2660369.199999999720603,2494825.360000000335276,10391018.699999999254942
20140818,2647897.750000000000000,2624983.939999999944121,2679375.919999999925494,2540750.290000000502914,10493007.900000000372529
20140819,2638948.040000000037253,2770693.859999999869615,2692443.039999999571592,2539456.630000000353903,10641541.570000000298023
20140820,2640009.869999999646097,2849829.419999999925494,2669872.560000000055879,2552393.230000000447035,10712105.080000000074506
20140821,2656999.149999999906868,2862390.620000000111759,2685909.479999999981374,2553040.060000000055879,10758339.310000000521541
20140822,2661853.229999999981374,2858622.259999999776483,2681751.759999999776483,2564683.000000000000000,10766910.250000000000000
20140825,2698258.830000000074506,2863960.770000000018626,2682939.680000000167638,2587968.880000000353903,10833128.160000000149012
20140826,2698713.899999999906868,2877464.059999999590218,2673436.319999999832362,2570504.470000000204891,10820118.750000000000000
20140827,2697348.689999999944121,2885000.780000000260770,2665120.879999999888241,2578266.430000000167638,10825736.780000001192093
20140828,2694921.649999999906868,2905098.700000000186265,2665714.839999999850988,2549159.080000000074506,10814894.269999999552965
20140829,2717068.390000000130385,2936187.669999999925494,2698382.639999999664724,2540750.290000000502914,10892388.990000000223517
20140902,2727079.930000000167638,2862390.620000000111759,2678188.000000000000000,2564036.170000000391155,10831694.720000000670552
20140903,2724501.199999999720603,2794874.169999999925494,2670466.520000000018626,2549159.080000000074506,10739000.969999998807907
20140904,2731782.319999999832362,2824078.959999999962747,2688285.319999999832362,2584734.730000000447035,10828881.330000000074506
20140905,2726776.549999999813735,2876836.000000000000000,2726892.719999999739230,2653298.710000000428408,10983803.980000000447035
20140908,2732237.390000000130385,2852027.629999999888241,2760154.479999999981374,2664941.650000000372529,11009361.150000000372529
20140909,2691129.399999999906868,2792675.959999999962747,2777379.319999999832362,2646830.410000000614673,10908015.089999999850988
20140910,2728596.830000000074506,2802724.919999999925494,2782131.000000000000000,2667528.970000000204891,10980981.720000000670552
20140911,2745737.799999999813735,2801782.830000000074506,2791634.359999999869615,2646183.580000000074506,10985338.570000000298023
20140912,2778654.529999999795109,2789849.689999999944121,2773815.560000000055879,2646830.410000000614673,10989150.189999999478459
20140915,2790941.419999999459833,2806807.309999999590218,2746493.399999999906868,2639715.280000000260770,10983957.410000000149012
20140916,2791851.559999999590218,2834755.979999999981374,2777379.319999999832362,2626131.850000000558794,11030118.710000000894070
20140917,2803683.379999999888241,2864588.830000000074506,2763124.280000000260770,2636481.130000000353903,11067877.620000001043081
20140918,2850252.209999999497086,2891909.439999999944121,2772627.639999999664724,2651358.220000000204891,11166147.509999999776483
20140919,2824616.599999999627471,2899760.189999999944121,2822520.280000000260770,2646183.580000000074506,11193080.650000000372529
20140922,2810812.809999999590218,2885628.839999999850988,2795198.120000000111759,2609961.100000000558794,11101600.870000001043081
20140923,2807779.009999999776483,2873067.639999999664724,2765500.120000000111759,2591203.030000000260770,11037549.800000000745058
20140924,2849038.689999999944121,2921114.229999999981374,2796386.039999999571592,2614488.910000000614673,11181027.869999999180436
20140925,2792610.009999999776483,2885942.870000000111759,2734614.199999999720603,2579560.090000000316650,10992727.169999999925494
20140926,2808234.080000000074506,2915461.689999999944121,2756590.719999999739230,2894566.300000000279397,11374852.789999999105930
20140929,2788666.069999999832362,2916717.809999999590218,2758372.599999999627471,2882276.530000000260770,11346033.009999997913837
20140930,2784722.129999999888241,2880918.389999999664724,2753620.919999999925494,2884863.850000000558794,11304125.289999999105930
20141001,2741187.099999999627471,2858308.229999999981374,2726298.759999999776483,2836351.600000000558794,11162145.690000001341105
20141002,2774255.519999999552965,2896619.889999999664724,2717983.319999999832362,2888098.000000000000000,11276956.729999998584390
20141003,2852982.629999999888241,2937443.790000000037253,2737584.000000000000000,2920439.500000000000000,11448449.919999999925494
20141006,2844032.919999999459833,2928650.950000000186265,2737584.000000000000000,2885510.680000000167638,11395778.549999998882413
20141007,2788211.000000000000000,2903842.580000000074506,2704322.239999999757856,2848641.370000000111759,11245017.190000001341105
20141008,2831290.959999999497086,2954715.439999999944121,2778567.239999999757856,2873220.910000000614673,11437794.549999998882413
20141009,2749833.430000000167638,2922684.379999999888241,2723328.959999999962747,2821474.510000000242144,11217321.279999999329448
20141010,2736333.019999999552965,2906354.819999999832362,2615228.239999999757856,2820180.850000000558794,11078096.929999999701977
