訓練日期,20120221 - 20120522
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10661843.040000000968575
真實報酬,661843.040000000968575

夏普值報酬,0.057484304000000
夏普值風險,0.030861239885880
夏普值,1.862669944972019

預期報酬,15467.522397053335226
風險,131402.394916711724363
趨勢值,0.117711114830573
找到最佳解世代,2904
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,2
KO[14](1),PFE[20](2),
Stock#,KO[14](1),PFE[20](2),
張數,145306,235626,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,20.540000000037253,16.280000000260770,
20120221,5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
20120222,5031967.320000000298023,5032987.639999999664724,10064954.960000000894070
20120223,5026155.080000000074506,4955231.060000000521541,9981386.140000000596046
20120224,5013077.540000000037253,4990574.959999999962747,10003652.500000000000000
20120227,5001453.060000000521541,5009425.040000000968575,10010878.100000001490116
20120228,5001453.060000000521541,5000000.000000000000000,10001453.060000000521541
20120229,5075559.120000000111759,4978793.660000000149012,10054352.780000001192093
20120301,5056669.339999999850988,5063619.019999999552965,10120288.359999999403954
20120302,5026155.080000000074506,5044768.940000000409782,10070924.019999999552965
20120305,5030514.259999999776483,5065975.280000000260770,10096489.539999999105930
20120306,4995640.820000000298023,5011781.299999999813735,10007422.120000001043081
20120307,4998546.939999999478459,5035343.900000000372529,10033890.839999999850988
20120308,5033420.379999999888241,5056550.240000000223517,10089970.620000001043081
20120309,5050857.099999999627471,5061262.760000000707805,10112119.859999999403954
20120312,5097355.019999999552965,5075400.320000000298023,10172755.339999999850988
20120313,5104620.320000000298023,5186144.540000000968575,10290764.860000001266599
20120314,5101714.200000000186265,5167294.459999999962747,10269008.660000000149012
20120315,5110432.560000000521541,5162581.940000000409782,10273014.500000000000000
20120316,5097355.019999999552965,5169650.720000000670552,10267005.740000000223517
20120319,5114791.740000000223517,5155513.160000000149012,10270304.900000000372529
20120320,5129322.339999999850988,5136663.080000000074506,10265985.419999999925494
20120321,5167101.900000000372529,5129594.299999999813735,10296696.199999999254942
20120322,5188897.799999999813735,5120169.260000000707805,10309067.060000000521541
20120323,5193256.980000000447035,5141375.600000000558794,10334632.580000001937151
20120326,5223771.240000000223517,5221488.440000000409782,10445259.679999999701977
20120327,5222318.179999999701977,5301601.280000000260770,10523919.460000000894070
20120328,5278987.519999999552965,5280394.940000000409782,10559382.460000000894070
20120329,5363265.000000000000000,5282751.200000001117587,10646016.200000001117587
20120330,5377795.599999999627471,5336945.179999999701977,10714740.779999999329448
20120402,5386513.959999999962747,5322807.620000000111759,10709321.580000000074506
20120403,5358905.820000000298023,5311026.320000000298023,10669932.140000000596046
20120404,5337109.919999999925494,5275682.420000000856817,10612792.339999999850988
20120405,5338562.980000000447035,5263901.120000000111759,10602464.100000001490116
20120409,5294971.179999999701977,5195569.580000000074506,10490540.759999999776483
20120410,5232489.599999999627471,5181432.019999999552965,10413921.619999999180436
20120411,5239754.900000000372529,5172006.980000000447035,10411761.880000000819564
20120412,5247020.200000000186265,5164938.200000001117587,10411958.400000002235174
20120413,5226677.360000000335276,5148444.380000000819564,10375121.740000002086163
20120416,5263003.860000000335276,5179075.760000000707805,10442079.620000001043081
20120417,5373436.419999999925494,5256832.339999999850988,10630268.759999999776483
20120418,5389420.080000000074506,5289819.980000000447035,10679240.060000000521541
20120419,5363265.000000000000000,5263901.120000000111759,10627166.120000001043081
20120420,5386513.959999999962747,5315738.839999999850988,10702252.800000000745058
20120423,5354546.640000000596046,5273326.160000000149012,10627872.800000000745058
20120424,5385060.900000000372529,5332232.660000000149012,10717293.560000000521541
20120425,5444636.360000000335276,5391139.160000000149012,10835775.519999999552965
20120426,5499852.640000000596046,5433551.839999999850988,10933404.480000000447035
20120427,5568146.459999999962747,5438264.359999999403954,11006410.820000000298023
20120430,5544897.500000000000000,5395851.679999999701977,10940749.179999999701977
20120501,5589942.360000000335276,5367576.560000000521541,10957518.920000001788139
20120502,5605926.019999999552965,5339301.440000000409782,10945227.460000000894070
20120503,5626268.860000000335276,5325163.880000000819564,10951432.740000002086163
20120504,5594301.540000000037253,5273326.160000000149012,10867627.699999999254942
20120507,5614644.379999999888241,5289819.980000000447035,10904464.359999999403954
20120508,5604472.959999999962747,5282751.200000001117587,10887224.160000000149012
20120509,5578317.879999999888241,5289819.980000000447035,10868137.859999999403954
20120510,5624815.799999999813735,5379357.859999999403954,11004173.660000000149012
20120511,5629174.980000000447035,5336945.179999999701977,10966120.160000000149012
20120514,5585583.179999999701977,5322807.620000000111759,10908390.800000000745058
20120515,5562334.219999999739230,5254476.080000000074506,10816810.300000000745058
20120516,5546350.560000000521541,5334588.920000000856817,10880939.480000000447035
20120517,5457713.900000000372529,5315738.839999999850988,10773452.740000000223517
20120518,5380701.719999999739230,5318095.100000000558794,10698796.820000000298023
20120521,5414122.099999999627471,5311026.320000000298023,10725148.419999999925494
20120522,5390873.140000000596046,5270969.900000000372529,10661843.040000000968575
