訓練日期,20110224 - 20110526
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11346362.080000000074506
真實報酬,1346362.080000000074506

夏普值報酬,0.125936208000000
夏普值風險,0.040039038758672
夏普值,3.145335450210392

預期報酬,22075.105852986707760
風險,112256.450360662172898
趨勢值,0.196648885494445
找到最佳解世代,2558
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AXP[1](1),PFE[20](2),
Stock#,AXP[1](1),PFE[20](2),
張數,114784,264550,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,8.959999999962747,5.000000000000000,
20110224,5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
20110225,4996556.480000000447035,4989418.000000000000000,9985974.480000000447035
20110228,5001147.839999999850988,5089947.000000000000000,10091094.839999999850988
20110301,4952938.559999999590218,5063492.000000000000000,10016430.559999998658895
20110302,4938016.640000000596046,5076719.500000000000000,10014736.140000000596046
20110303,5084940.159999999217689,5230158.500000000000000,10315098.660000000149012
20110304,5018365.439999999478459,5201058.000000000000000,10219423.439999999478459
20110307,5017217.599999999627471,5187830.500000000000000,10205048.099999999627471
20110308,5192837.120000000111759,5206349.000000000000000,10399186.120000001043081
20110309,5171028.159999999217689,5201058.000000000000000,10372086.160000000149012
20110310,5052800.640000000596046,5121693.000000000000000,10174493.640000000596046
20110311,5082644.480000000447035,5150793.500000000000000,10233437.980000000447035
20110314,5040174.399999999441206,5240740.500000000000000,10280914.899999998509884
20110315,5009182.719999999739230,5227513.000000000000000,10236695.719999998807907
20110316,4862259.200000000186265,5105820.000000000000000,9968079.199999999254942
20110317,4983930.240000000223517,5259259.000000000000000,10243189.240000000223517
20110318,5070018.240000000223517,5338624.000000000000000,10408642.240000000223517
20110321,5087235.839999999850988,5285714.000000000000000,10372949.839999999850988
20110322,5136592.959999999962747,5275132.000000000000000,10411724.960000000894070
20110323,5167584.640000000596046,5269841.000000000000000,10437425.640000000596046
20110324,5233011.520000000484288,5370370.000000000000000,10603381.519999999552965
20110325,5233011.520000000484288,5383597.500000000000000,10616609.019999999552965
20110328,5247933.439999999478459,5362433.500000000000000,10610366.939999999478459
20110329,5239898.559999999590218,5391534.000000000000000,10631432.559999998658895
20110330,5269742.399999999441206,5380952.000000000000000,10650694.399999998509884
20110331,5188245.760000000707805,5373015.500000000000000,10561261.260000001639128
20110401,5206611.200000000186265,5391534.000000000000000,10598145.199999999254942
20110404,5213498.240000000223517,5433862.000000000000000,10647360.240000000223517
20110405,5213498.240000000223517,5410052.500000000000000,10623550.740000000223517
20110406,5312212.480000000447035,5367724.500000000000000,10679936.980000000447035
20110407,5298438.399999999441206,5378306.500000000000000,10676744.899999998509884
20110408,5312212.480000000447035,5412698.000000000000000,10724910.480000000447035
20110411,5323690.879999999888241,5468253.500000000000000,10791944.379999998956919
20110412,5282368.640000000596046,5412698.000000000000000,10695066.640000000596046
20110413,5291551.360000000335276,5412698.000000000000000,10704249.359999999403954
20110414,5266298.879999999888241,5420634.500000000000000,10686933.379999998956919
20110415,5308768.959999999962747,5431216.500000000000000,10739985.460000000894070
20110418,5286960.000000000000000,5396825.000000000000000,10683785.000000000000000
20110419,5353534.719999999739230,5431216.500000000000000,10784751.219999998807907
20110420,5394856.959999999962747,5394179.500000000000000,10789036.460000000894070
20110421,5407483.200000000186265,5235449.500000000000000,10642932.699999999254942
20110425,5400596.159999999217689,5328042.000000000000000,10728638.160000000149012
20110426,5406335.360000000335276,5341269.500000000000000,10747604.859999999403954
20110427,5466023.040000000037253,5457671.500000000000000,10923694.539999999105930
20110428,5569328.640000000596046,5510581.500000000000000,11079910.140000000596046
20110429,5633607.679999999701977,5547618.500000000000000,11181226.179999999701977
20110502,5699034.559999999590218,5560846.000000000000000,11259880.559999998658895
20110503,5727730.559999999590218,5407407.000000000000000,11135137.559999998658895
20110504,5704773.760000000707805,5460317.000000000000000,11165090.760000001639128
20110505,5684112.640000000596046,5394179.500000000000000,11078292.140000000596046
20110506,5762165.760000000707805,5436507.500000000000000,11198673.260000001639128
20110509,5761017.919999999925494,5449735.000000000000000,11210752.919999999925494
20110510,5758722.240000000223517,5518518.000000000000000,11277240.240000000223517
20110511,5719695.679999999701977,5452380.500000000000000,11172076.179999999701977
20110512,5686408.320000000298023,5526454.500000000000000,11212862.820000000298023
20110513,5680669.120000000111759,5534391.000000000000000,11215060.120000001043081
20110516,5747243.839999999850988,5550264.000000000000000,11297507.839999999850988
20110517,5826444.799999999813735,5592592.000000000000000,11419036.800000000745058
20110518,5860880.000000000000000,5603174.000000000000000,11464054.000000000000000
20110519,5948115.839999999850988,5563491.500000000000000,11511607.339999999850988
20110520,5875801.919999999925494,5473544.500000000000000,11349346.419999999925494
20110523,5867767.040000000037253,5447089.500000000000000,11314856.539999999105930
20110524,5803488.000000000000000,5428571.000000000000000,11232059.000000000000000
20110525,5786270.399999999441206,5497354.000000000000000,11283624.399999998509884
20110526,5817262.080000000074506,5529100.000000000000000,11346362.080000000074506
