訓練日期,20190301 - 20190603
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10800813.729999998584390
真實報酬,800813.729999998584390

夏普值報酬,0.071381373000000
夏普值風險,0.028629835800180
夏普值,2.493251218700741

預期報酬,15298.217065499382443
風險,85766.158819036092609
趨勢值,0.178371251273805
找到最佳解世代,1669
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
KO[14](1),PG[21](5),TRV[22](3),V[25](2),
Stock#,KO[14](1),PG[21](5),TRV[22](3),V[25](2),
張數,55090,25396,18792,16725,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,15.799999999813735,17.760000000242144,100.239999999757856,114.250000000000000,
20190301,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
20190304,2514874.299999999813735,2510920.280000000260770,2483463.040000000037253,2474745.250000000000000,9984002.870000001043081
20190305,2512119.799999999813735,2516507.400000000372529,2493610.719999999739230,2474578.000000000000000,9996815.919999999925494
20190306,2503856.299999999813735,2512444.040000000502914,2476885.839999999850988,2472236.500000000000000,9965422.679999999701977
20190307,2494491.000000000000000,2502793.560000000055879,2471060.319999999832362,2455846.000000000000000,9924190.880000000819564
20190308,2470251.399999999906868,2499238.120000000111759,2462228.080000000074506,2464543.000000000000000,9896260.599999999627471
20190311,2544072.000000000000000,2528951.440000000409782,2478201.279999999795109,2520070.000000000000000,10071294.720000000670552
20190312,2536910.299999999813735,2540887.560000000055879,2494174.479999999515712,2537798.500000000000000,10109770.839999999850988
20190313,2546275.599999999627471,2569585.040000000502914,2499436.239999999757856,2550175.000000000000000,10165471.880000000819564
20190314,2517628.799999999813735,2573140.479999999981374,2500563.759999999776483,2579109.250000000000000,10170442.289999999105930
20190315,2495592.799999999813735,2601584.000000000000000,2521610.799999999813735,2600182.750000000000000,10218970.349999999627471
20190318,2501652.699999999720603,2577965.720000000204891,2535892.719999999739230,2591820.250000000000000,10207331.390000000596046
20190319,2509916.199999999720603,2587870.160000000614673,2498120.799999999813735,2585632.000000000000000,10181539.160000000149012
20190320,2508263.500000000000000,2583298.880000000353903,2468053.600000000093132,2571583.000000000000000,10131198.980000000447035
20190321,2507161.699999999720603,2602853.800000000279397,2525181.279999999795109,2605869.250000000000000,10241066.029999999329448
20190322,2530299.500000000000000,2581775.120000000111759,2535141.040000000037253,2560210.000000000000000,10207425.660000000149012
20190325,2535808.500000000000000,2589393.919999999925494,2536080.639999999664724,2559541.000000000000000,10220824.059999998658895
20190326,2569413.399999999906868,2616313.680000000167638,2536644.399999999441206,2597506.750000000000000,10319878.230000000447035
20190327,2567760.699999999720603,2613266.160000000614673,2562389.439999999478459,2579443.750000000000000,10322860.050000000745058
20190328,2566107.999999999534339,2629773.560000000055879,2572725.040000000037253,2586970.000000000000000,10355576.599999999627471
20190329,2581533.199999999720603,2642471.560000000055879,2577610.959999999497086,2612392.000000000000000,10414007.719999998807907
20190401,2573820.599999999627471,2632059.200000000186265,2593772.080000000074506,2630287.750000000000000,10429939.629999998956919
20190402,2565557.099999999627471,2634852.760000000242144,2571033.759999999776483,2638984.750000000000000,10410428.369999999180436
20190403,2544072.000000000000000,2633329.000000000000000,2567087.439999999478459,2650357.750000000000000,10394846.189999999478459
20190404,2560598.999999999534339,2626726.040000000502914,2565584.080000000074506,2636643.250000000000000,10389552.370000001043081
20190405,2560048.099999999627471,2632313.160000000614673,2563329.040000000037253,2636810.500000000000000,10392500.800000000745058
20190408,2564455.299999999813735,2665835.880000000353903,2553557.199999999720603,2638483.000000000000000,10422331.379999998956919
20190409,2571066.100000000093132,2657963.120000000111759,2540590.719999999739230,2634134.500000000000000,10403754.440000001341105
20190410,2569413.399999999906868,2657709.160000000614673,2545664.560000000055879,2652030.250000000000000,10424817.370000001043081
20190411,2573269.699999999720603,2660248.760000000242144,2561074.000000000000000,2640322.750000000000000,10434915.210000000894070
20190412,2574922.399999999906868,2668121.520000000484288,2588134.479999999515712,2670093.250000000000000,10501271.649999998509884
20190415,2589245.799999999813735,2685136.840000000316650,2570657.919999999459833,2683473.250000000000000,10528513.810000000521541
20190416,2586491.299999999813735,2702660.080000000074506,2599785.520000000018626,2679961.000000000000000,10568897.900000000372529
20190417,2604671.000000000000000,2688184.359999999869615,2553369.279999999795109,2683473.250000000000000,10529697.889999998733401
20190418,2615688.999999999534339,2693263.560000000055879,2610872.799999999813735,2678790.250000000000000,10598615.609999999403954
20190422,2611281.799999999813735,2692247.720000000204891,2567275.359999999869615,2682804.250000000000000,10553609.129999998956919
20190423,2655904.699999999720603,2619869.120000000111759,2593584.159999999683350,2703877.750000000000000,10573235.730000000447035
20190424,2643233.999999999534339,2633329.000000000000000,2615570.799999999813735,2701034.500000000000000,10593168.300000000745058
20190425,2635521.399999999906868,2622916.640000000130385,2615758.719999999739230,2693173.750000000000000,10567370.509999999776483
20190426,2658659.199999999720603,2688438.320000000298023,2635490.319999999832362,2725118.500000000000000,10707706.339999999850988
20190429,2667473.600000000093132,2661010.640000000130385,2658416.560000000055879,2745523.000000000000000,10732423.800000000745058
20190430,2702731.199999999720603,2704183.840000000316650,2701450.239999999757856,2750206.000000000000000,10858571.279999999329448
20190501,2676838.899999999906868,2664820.040000000502914,2688859.600000000093132,2722777.000000000000000,10753295.540000000968575
20190502,2665820.899999999906868,2680819.520000000484288,2681718.639999999664724,2694846.250000000000000,10723205.309999998658895
20190503,2684000.599999999627471,2694025.440000000409782,2693933.439999999478459,2710233.250000000000000,10782192.730000000447035
20190506,2670228.099999999627471,2683867.040000000502914,2695436.799999999813735,2714247.250000000000000,10763779.190000001341105
20190507,2644335.799999999813735,2658978.960000000428408,2663114.560000000055879,2679626.500000000000000,10646055.820000000298023
20190508,2636072.299999999813735,2668375.479999999981374,2659732.000000000000000,2688825.250000000000000,10653005.029999999329448
20190509,2611281.799999999813735,2647296.800000000279397,2665369.600000000093132,2672936.500000000000000,10596884.699999999254942
20190510,2654802.899999999906868,2692247.720000000204891,2705396.560000000055879,2687989.000000000000000,10740436.179999999701977
20190513,2647090.299999999813735,2694787.320000000298023,2695060.959999999497086,2631458.500000000000000,10668397.080000000074506
20190514,2682347.899999999906868,2681835.359999999869615,2738282.560000000055879,2679626.500000000000000,10782092.320000000298023
