代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,14107929.025500001000
真實報酬,4107929.025500001400

夏普值報酬,0.402092902550
夏普值風險,0.107881660338
夏普值,3.727166427465

預期報酬,14715.863358091252
風險,380303.244876256850
起點值,0.038695077037
找到最佳解世代,7450
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
1326(5),2912(39),8046(47),
Stock#,1326(5),2912(39),8046(47),
張數,70,55,33,
FS( 66 ),3687487.009999999800,3713658.055000000600,3565265.959500000300,10966412.024500001000
FS( 67 ),3749511.332500000000,3639736.611250000100,3604690.729499999900,10993939.673249999000
FS( 68 ),3749511.332500000000,3704896.995000000600,3591549.139500000000,11045958.467000000000
FS( 69 ),3697243.645000000000,3652878.201249999900,3486087.879749999800,10836210.726000000000
FS( 70 ),3654035.689999999900,3700516.464999999900,3525512.649749999900,10880065.804749999000
FS( 71 ),3644279.055000000200,3674233.285000001100,3683868.809249999900,11002382.149250001000
FS( 72 ),3629644.102499999100,3644117.141249999900,3604690.729499999900,10878452.973249998000
FS( 73 ),3605949.417500000000,3661639.261250000000,3630973.909500000100,10898563.588250000000
FS( 74 ),3720938.330000000100,3700516.464999999900,3657585.629249999800,11079041.424249999000
FS( 75 ),3797597.605000000000,3774437.908750000400,3670727.219250000100,11242763.732999999000
FS( 76 ),3754389.649999999900,3895997.616250000400,3657585.629249999800,11307973.895500001000
FS( 77 ),3759267.967500000300,3882856.026250000600,3591549.139500000000,11233674.133250000000
FS( 78 ),3821292.289999999100,3922280.796250000600,3551795.829750000000,11295369.915999999000
FS( 79 ),3769024.602499999100,3791960.028750000500,3657585.629249999800,11218571.260499999000
FS( 80 ),3749511.332500000000,3756915.788749999400,3908261.458500000200,11414689.579750000000
FS( 81 ),3634522.419999999500,3722419.115000000200,3763046.889000000000,11119989.424000001000
FS( 82 ),3644279.055000000200,3731180.174999999800,3710151.989250000100,11085612.219250001000
FS( 83 ),3692365.327499999700,3648497.671250000600,3868508.148749999700,11209372.147500001000
FS( 84 ),3687487.009999999800,3726799.645000000000,3763046.889000000000,11177334.544000000000
FS( 85 ),3625462.687500000500,3748154.728750000200,3683868.809249999900,11057487.225500001000
FS( 86 ),3634522.419999999500,3718038.585000000400,3763046.889000000000,11115608.893999999000
FS( 87 ),3716060.012499999700,3731180.174999999800,3763046.889000000000,11210288.076500000000
FS( 88 ),3720938.330000000100,3731180.174999999800,3736763.709000000300,11188883.214000000000
FS( 89 ),3701425.060000000100,3817695.642500000100,3683868.809249999900,11202990.511750001000
FS( 90 ),3701425.060000000100,3900378.146250000200,3710151.989250000100,11311956.195500001000
FS( 91 ),3687487.009999999800,3904758.676250000000,3789330.069000000100,11381576.755249999000
FS( 92 ),3677730.375000000500,3878475.496249999900,3657585.629249999800,11213792.500499999000
FS( 93 ),3510473.774999999900,3839598.292500000000,3604690.729499999900,10954763.797000000000
FS( 94 ),3490960.505000000800,3974299.589999999900,3630973.909500000100,11096235.004500002000
FS( 95 ),3371093.274999999900,4039459.973750000800,3591549.139500000000,11002103.388250001000
FS( 96 ),3318825.587499999900,3943635.880000000800,3697010.399249999800,10959472.866750002000
FS( 97 ),3352276.907500000200,3922280.796250000600,3683868.809249999900,10958427.513000000000
FS( 98 ),3385728.227499999100,3904758.676250000000,3630973.909500000100,10921461.813249998000
FS( 99 ),3457509.185000000100,3987441.180000000600,3644115.499499999900,11089066.864500001000
