代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,13687295.235000001000
真實報酬,3687295.235000001300

夏普值報酬,0.360029523500
夏普值風險,0.091462269664
夏普值,3.936372067095

預期報酬,14409.340701656862
風險,200635.784719096960
起點值,0.071818398307
找到最佳解世代,3490
找到最佳解實驗#,2
找到最佳解次數,23

投資組合檔數,6
1326(5),2301(12),2454(27),2882(33),2912(40),3008(41),
Stock#,1326(5),2301(12),2454(27),2882(33),2912(40),3008(41),
張數,26,55,6,71,12,2,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,46380.378499999999,25330.424999999999,58838.105499999998,2898.505000000233,41473.396000000001,118282.693499999990,
FS( 1 ),1664360.378500000100,1664330.425000000000,1664378.105500000100,1664298.504999999900,1664353.395999999900,1664462.693500000100,9986187.503499999600
FS( 2 ),1708453.017999999900,1665291.343750000000,1662171.820000000100,1661894.817749999900,1672703.122000000000,1642826.602500000000,10013344.723999999000
FS( 3 ),1725537.085000000200,1648864.356250000000,1561339.983999999900,1646343.936250000000,1683096.925000000000,1602127.496499999900,9867313.782999999800
FS( 4 ),1723466.289000000300,1624223.875000000000,1541687.333499999900,1651291.944000000100,1662309.318999999900,1498508.050499999900,9701490.811000000700
FS( 5 ),1721395.493000000000,1645031.392499999800,1546585.562500000200,1641395.928499999900,1657172.152000000000,1483713.806000000100,9695298.334499999900
FS( 6 ),1704311.426000000200,1645031.392499999800,1593357.676000000000,1635741.062500000200,1688353.560999999500,1491100.972500000100,9757900.090500000900
FS( 7 ),1708453.017999999900,1603963.923749999800,1603154.133999999800,1669670.258499999800,1714278.334000000300,1468899.649999999900,9768423.318250000500
FS( 8 ),1725537.085000000200,1624223.875000000000,1595806.790500000400,1664722.250750000100,1714278.334000000300,1502211.589500000000,9826783.924750002100
FS( 9 ),1702240.630000000100,1645031.392499999800,1593357.676000000000,1669670.258499999800,1714278.334000000300,1455957.175000000000,9780539.466000000000
FS( 10 ),1714924.255500000000,1657077.850000000100,1590848.827000000300,1664722.250750000100,1714278.334000000300,1459660.713999999900,9801516.231250001100
FS( 11 ),1708453.017999999900,1645031.392499999800,1581052.369000000200,1661894.817749999900,1719534.970000000000,1476306.728000000100,9792277.295249998600
FS( 12 ),1712853.459499999900,1642841.127499999900,1568747.062000000200,1641395.928499999900,1719534.970000000000,1448550.097000000100,9733926.644500000400
FS( 13 ),1734079.118500000100,1642841.127499999900,1578603.254500000000,1667549.683750000300,1714278.334000000300,1459660.713999999900,9797016.232250001300
FS( 14 ),1755563.627000000100,1659268.115000000000,1615459.440999999900,1672497.691500000000,1724672.136999999600,1476306.728000000100,9903771.739499999200
FS( 15 ),1755563.627000000100,1665291.343750000000,1625315.633500000000,1685221.140000000100,1729928.773000000000,1476306.728000000100,9937631.245250001500
FS( 16 ),1734079.118500000100,1669671.873750000000,1620357.670000000200,1675325.124500000200,1740322.575999999700,1478158.497500000100,9917918.860249999900
FS( 17 ),1710782.663500000300,1675695.102500000000,1627764.747999999900,1672497.691500000000,1740322.575999999700,1505915.128500000100,9932981.910000000100
FS( 18 ),1699910.984500000300,1673504.837500000100,1642519.169500000100,1672497.691500000000,1698747.363999999800,1491100.972500000100,9878285.019500000400
