代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,13596449.463250002000
真實報酬,3596449.463250001900

夏普值報酬,0.350944946325
夏普值風險,0.086142628020
夏普值,4.073998604300

預期報酬,14471.361881176752
風險,260448.929746764570
起點值,0.055563145893
找到最佳解世代,5572
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,5
1102(1),1216(2),2330(20),2357(24),4904(46),
Stock#,1102(1),1216(2),2330(20),2357(24),4904(46),
張數,85,67,32,13,47,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,3909.618750000000,23367.306499999766,9968.240000000000,89010.715249999994,3418.920500000000,
FS( 1 ),1997159.618749999900,1997187.306499999900,1997168.240000000000,1997280.715249999900,1997158.920500000000,9985954.800999999000
FS( 2 ),2017957.843750000000,2004461.998999999600,2006852.751999999900,2002167.369749999600,1988336.621000000000,10019776.585500000000
FS( 3 ),2023881.514999999900,2011132.351499999900,2009401.424000000100,2024299.001999999900,1995355.424750000000,10064069.717250001000
FS( 4 ),2041652.528750000100,2017802.703999999900,2014817.352000000000,2147899.638249999800,1992079.983000000000,10214252.206000000000
FS( 5 ),2017957.843750000000,2038480.796750000000,2004304.079999999800,2121496.989250000100,1974299.013499999900,10156538.723250000000
FS( 6 ),2021342.798749999800,2043150.043499999700,2004304.079999999800,2143499.196750000100,1974299.013499999900,10186595.132500000000
FS( 7 ),2053499.871249999600,2088508.440500000000,2027879.296000000100,2117096.547749999900,1967280.209749999900,10254264.365249999000
FS( 8 ),2053499.871249999600,2095178.792999999600,2027879.296000000100,2117096.547749999900,1908322.258250000200,10201976.766249999000
FS( 9 ),2080579.511250000000,2097179.898750000200,2041259.824000000000,2117096.547749999900,1890541.288750000100,10226657.070499999000
FS( 10 ),2086503.182499999900,2097179.898750000200,2054321.767999999900,2117096.547749999900,1914873.141750000000,10269974.538750000000
FS( 11 ),2062808.497499999800,2085840.299500000000,1996339.480000000000,2055231.517249999800,1967280.209749999900,10167500.003999999000
FS( 12 ),2077194.556249999900,2079169.946999999700,2004304.079999999800,2068432.841749999900,1921891.945499999900,10150993.370499998000
FS( 13 ),2089041.898749999900,2092510.652000000000,2033295.223999999900,2121496.989250000100,1935929.553000000100,10272274.317000000000
FS( 14 ),2122045.210000000000,2045151.149249999600,2086180.167999999800,2094964.915500000100,1985061.179249999800,10333402.622000000000
FS( 15 ),2112736.583750000200,2006463.104749999700,2080764.240000000000,2156829.946000000000,1995355.424750000000,10352149.299250001000
FS( 16 ),2083118.227499999600,1983783.906249999800,2041259.824000000000,2170031.270500000100,1981317.817249999800,10259511.045499999000
FS( 17 ),2104274.196250000000,1979114.659499999600,2035843.896000000200,2280560.006999999800,1978042.375500000100,10377835.134250000000
FS( 18 ),2133892.552500000200,1945095.861749999700,2020233.279999999800,2254027.933249999800,1995355.424750000000,10348605.052250000000
