代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11292587.589999999850988
真實報酬,1292587.589999999850988

夏普值報酬,0.120558759000000
夏普值風險,0.039915407928039
夏普值,3.020356430212330

二次趨勢線,327.452607178998164 x^2 + 69.839317720028248 x + 10000000.000000000000000
二次平均預期報酬,21681.711391533906863
風險,69116.165072645759210
二次平均趨勢值,0.313699571854789
一次趨勢線,16155.011281054816209 x + 10000000.000000000000000
一次預期報酬,16155.011281054816209
一次風險,172118.885885726049310
一次趨勢值,0.093859608711275
找到最佳解世代,2990
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CSCO[4](15),MSFT[18](13),PFE[20](4),VZ[26](3),WMT[28](7),
Stock#,CSCO[4](15),MSFT[18](13),PFE[20](4),VZ[26](3),WMT[28](7),
張數,45808,19843,55172,41832,24099,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,22.720000000204891,24.029999999795109,15.000000000000000,12.079999999841675,23.990000000223517,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1996335.360000000102445,2017461.839999999850988,2011034.400000000139698,2000418.319999999832362,2058560.570000000298023,10083810.490000000223517
FS( 3 ),2000458.080000000307336,2027780.199999999720603,2010482.679999999934807,2006693.119999999878928,2039281.370000000344589,10084695.450000001117587
FS( 4 ),2027484.800000000046566,2033733.099999999627471,2007172.360000000102445,2025099.199999999720603,2037835.430000000167638,10131324.889999998733401
FS( 5 ),1999541.920000000158325,2001785.869999999646097,2013241.280000000027940,2050198.399999999674037,2047234.040000000270084,10112001.509999999776483
FS( 6 ),1991754.560000000055879,2016668.119999999646097,2023172.239999999990687,2057309.839999999850988,2033015.630000000121072,10121920.390000000596046
FS( 7 ),2001374.239999999990687,2005159.179999999701977,2002758.599999999860302,2062329.679999999701977,2031569.690000000176951,10103191.389999998733401
FS( 8 ),2012826.239999999990687,2010318.359999999869615,2002758.599999999860302,2041832.000000000000000,2026749.890000000130385,10094485.089999999850988
FS( 9 ),2016032.800000000046566,2001190.579999999608845,1998344.839999999850988,1982848.879999999888241,2026508.900000000372529,10024926.000000000000000
FS( 10 ),2047182.239999999990687,2012501.089999999850988,1995034.519999999785796,2000418.319999999832362,2019279.200000000419095,10074415.370000001043081
FS( 11 ),2027026.720000000204891,1986903.619999999646097,2006068.919999999925494,2010458.000000000000000,2017110.290000000270084,10047567.550000000745058
FS( 12 ),2025194.400000000139698,2001389.009999999776483,1995034.519999999785796,1985358.799999999813735,2000240.990000000223517,10007217.719999998807907
FS( 13 ),2007329.280000000260770,2001389.009999999776483,1998344.839999999850988,2028864.079999999841675,2014941.380000000121072,10050868.589999999850988
FS( 14 ),2003664.640000000363216,2021430.439999999944121,2011586.120000000111759,2011712.959999999962747,2014941.380000000121072,10063335.540000000968575
FS( 15 ),1977096.000000000000000,2006945.049999999813735,2002758.599999999860302,2034302.239999999990687,2029400.780000000027940,10050502.669999999925494
FS( 16 ),1978928.320000000298023,1992459.659999999683350,2014344.719999999972060,2081572.399999999674037,2044101.170000000158325,10111406.269999999552965
FS( 17 ),1937243.040000000270084,1952376.799999999813735,2007172.360000000102445,2074879.279999999795109,2083864.520000000251457,10055536.000000000000000
FS( 18 ),1949153.120000000111759,1966068.469999999739230,2007172.360000000102445,2062329.679999999701977,2072056.010000000242144,10056779.640000000596046
FS( 19 ),1939075.360000000102445,1935510.250000000000000,1997793.120000000111759,2062748.000000000000000,2093986.100000000325963,10029112.830000000074506
