代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11145286.920000001788139
真實報酬,1145286.920000001788139

夏普值報酬,0.105828692000000
夏普值風險,0.037491462249512
夏普值,2.822741116249111

二次趨勢線,320.929144795111370 x^2 + -991.896617414670800 x + 10000000.000000000000000
二次平均預期報酬,19868.497794267554127
風險,100940.014396937505808
二次平均趨勢值,0.196834703392616
一次趨勢線,14532.117828488384475 x + 10000000.000000000000000
一次預期報酬,14532.117828488384475
一次風險,180649.914239710167749
一次趨勢值,0.080443535717406
找到最佳解世代,1989
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
DIS[6](1),NKE[19](2),
Stock#,DIS[6](1),NKE[19](2),
張數,45240,99226,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,75.200000000186265,1.860000000335276,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5023072.400000000372529,5002976.780000000260770,10026049.179999999701977
FS( 3 ),5013119.600000000558794,4982139.320000000298023,9995258.920000001788139
FS( 4 ),4963808.000000000000000,4972216.720000000670552,9936024.720000000670552
FS( 5 ),4942997.600000000558794,5033736.839999999850988,9976734.440000001341105
FS( 6 ),4981451.600000000558794,5082357.580000000074506,10063809.179999999701977
FS( 7 ),4913139.200000000186265,5100218.259999999776483,10013357.460000000894070
FS( 8 ),4942092.799999999813735,5079380.799999999813735,10021473.599999999627471
FS( 9 ),4939830.799999999813735,5068465.940000000409782,10008296.740000000223517
FS( 10 ),4973308.400000000372529,5131970.580000000074506,10105278.980000000447035
FS( 11 ),4990047.200000000186265,5208374.600000000558794,10198421.800000000745058
FS( 12 ),4991404.400000000372529,5197459.740000000223517,10188864.140000000596046
FS( 13 ),5001809.600000000558794,5191506.180000000633299,10193315.780000001192093
FS( 14 ),4985523.200000000186265,5190513.920000000856817,10176037.120000001043081
FS( 15 ),4994118.799999999813735,5179599.060000000521541,10173717.859999999403954
FS( 16 ),4988237.600000000558794,5181583.580000000074506,10169821.179999999701977
FS( 17 ),4951140.799999999813735,5130978.320000000298023,10082119.120000001043081
FS( 18 ),4993214.000000000000000,5102202.780000000260770,10095416.780000001192093
FS( 19 ),5000452.400000000372529,5075411.759999999776483,10075864.160000000149012
FS( 20 ),4993214.000000000000000,5044651.700000001117587,10037865.700000001117587
FS( 21 ),5019905.599999999627471,5048620.740000000223517,10068526.339999999850988
FS( 22 ),5010405.200000000186265,5066481.420000000856817,10076886.620000001043081
FS( 23 ),5029406.000000000000000,5086326.620000000111759,10115732.620000001043081
FS( 24 ),4990047.200000000186265,5058543.339999999850988,10048590.539999999105930
FS( 25 ),4990047.200000000186265,5062512.380000000819564,10052559.580000001937151
FS( 26 ),4944354.800000000745058,5032744.580000000074506,9977099.380000000819564
FS( 27 ),4909520.000000000000000,5028775.540000000037253,9938295.539999999105930
FS( 28 ),4976475.200000000186265,5127009.280000000260770,10103484.480000000447035
FS( 29 ),5004524.000000000000000,5153800.299999999813735,10158324.300000000745058
FS( 30 ),4974213.200000000186265,5148839.000000000000000,10123052.199999999254942
FS( 31 ),4984618.400000000372529,5128001.540000000037253,10112619.940000001341105
FS( 32 ),5024429.600000000558794,5187537.140000000596046,10211966.740000002086163
FS( 33 ),5043882.799999999813735,5197459.740000000223517,10241342.539999999105930
FS( 34 ),5122148.000000000000000,5258979.860000000335276,10381127.859999999403954
FS( 35 ),5095004.000000000000000,5285770.880000000819564,10380774.880000000819564
FS( 36 ),5136172.400000000372529,5298670.259999999776483,10434842.660000000149012
FS( 37 ),5175983.599999999627471,5318515.460000000894070,10494499.060000000521541
FS( 38 ),5147030.000000000000000,5269894.720000000670552,10416924.720000000670552
FS( 39 ),5177793.200000000186265,5220281.720000000670552,10398074.920000001788139
