代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11525774.300000000745058
真實報酬,1525774.300000000745058

夏普值報酬,0.143877430000000
夏普值風險,0.045510593310070
夏普值,3.161405280299119

二次趨勢線,314.436644396405313 x^2 + 6794.912987052125573 x + 10000000.000000000000000
二次平均預期報酬,26289.984939629259316
風險,104761.960741525079357
二次平均趨勢值,0.250949722146700
一次趨勢線,21297.344561530237115 x + 10000000.000000000000000
一次預期報酬,21297.344561530237115
一次風險,169675.993645492213545
一次趨勢值,0.125517724127947
找到最佳解世代,2083
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](2),PFE[20](7),UNH[23](4),WBA[27](8),
Stock#,BA[2](2),PFE[20](7),UNH[23](4),WBA[27](8),
張數,18883,79974,25237,36889,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,79.630000000353903,12.759999999776483,22.779999999795109,32.470000000204891,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2497922.870000000577420,2524791.939999999944121,2519432.489999999757856,2462373.220000000204891,10004520.520000001415610
FS( 3 ),2492069.140000000130385,2539187.259999999776483,2543912.379999999888241,2485613.290000000037253,10060782.070000000298023
FS( 4 ),2479795.190000000409782,2532789.339999999850988,2515394.569999999832362,2504795.570000000298023,10032774.669999999925494
FS( 5 ),2496601.060000000521541,2558381.019999999552965,2532050.989999999757856,2530617.870000000111759,10117650.940000001341105
FS( 6 ),2460156.870000000577420,2556781.539999999571592,2521703.819999999832362,2498524.440000000409782,10037166.670000001788139
FS( 7 ),2448449.410000000149012,2555182.059999999590218,2549464.519999999552965,2530248.980000000447035,10083344.969999998807907
FS( 8 ),2353656.750000000465661,2547984.399999999906868,2500757.109999999869615,2514017.820000000298023,9916416.080000000074506
FS( 9 ),2329675.340000000316650,2531189.859999999869615,2516908.790000000037253,2693298.360000000335276,10071072.350000001490116
FS( 10 ),2280579.540000000502914,2475208.059999999590218,2492428.899999999906868,2748262.970000000204891,9996479.470000000670552
FS( 11 ),2305316.270000000484288,2468010.399999999906868,2480062.769999999552965,2709160.629999999888241,9962550.070000000298023
FS( 12 ),2346292.380000000353903,2452815.339999999850988,2418989.229999999515712,2670427.180000000167638,9888524.130000000819564
FS( 13 ),2361587.610000000335276,2488803.639999999664724,2502018.959999999962747,2655671.580000000074506,10008081.789999999105930
FS( 14 ),2373106.240000000223517,2556781.539999999571592,2580253.659999999683350,2743836.290000000037253,10253977.730000000447035
FS( 15 ),2383680.720000000204891,2554382.319999999832362,2586562.909999999683350,2701413.940000000409782,10226039.890000000596046
FS( 16 ),2421257.890000000130385,2566378.419999999925494,2600443.259999999776483,2739778.500000000000000,10327858.070000000298023
FS( 17 ),2455436.120000000577420,2515195.059999999590218,2595648.229999999515712,2822409.860000000335276,10388689.269999999552965
FS( 18 ),2478284.550000000745058,2512795.839999999850988,2591357.939999999944121,2828312.100000000093132,10410750.429999999701977
FS( 19 ),2485648.920000000391155,2531189.859999999869615,2588077.129999999888241,2820565.410000000149012,10425481.320000000298023
FS( 20 ),2498111.700000000186265,2510396.619999999646097,2582524.989999999757856,2832738.780000000260770,10423772.089999999850988
FS( 21 ),2489425.520000000484288,2509596.879999999888241,2595648.229999999515712,2805440.919999999925494,10400111.550000000745058
FS( 22 ),2454491.970000000204891,2491202.859999999869615,2551231.109999999869615,2810974.270000000484288,10307900.210000000894070
FS( 23 ),2453925.479999999981374,2505598.179999999701977,2543407.639999999664724,2803596.470000000204891,10306527.769999999552965
FS( 24 ),2436930.780000000726432,2492002.599999999627471,2501514.219999999739230,2748262.970000000204891,10178710.570000000298023
FS( 25 ),2408228.620000000577420,2512795.839999999850988,2496466.819999999832362,2755271.879999999888241,10172763.160000000149012
FS( 26 ),2445616.959999999962747,2547184.659999999683350,2521956.189999999944121,2825729.870000000111759,10340487.679999999701977
FS( 27 ),2488859.030000000726432,2599167.759999999776483,2642336.679999999701977,2860774.419999999925494,10591137.890000000596046
FS( 28 ),2483949.450000000186265,2611163.859999999869615,2617604.419999999925494,2791423.100000000093132,10504140.830000000074506
FS( 29 ),2471297.840000000316650,2620760.740000000223517,2588077.129999999888241,2792529.770000000484288,10472665.480000000447035
FS( 30 ),2476962.740000000223517,2594369.319999999366701,2601200.369999999646097,2776298.610000000335276,10448831.039999999105930
FS( 31 ),2462045.170000000391155,2597568.279999999329448,2607761.989999999757856,2766338.580000000074506,10433714.019999999552965
FS( 32 ),2457513.250000000000000,2591170.359999999869615,2636279.799999999813735,2758591.890000000130385,10443555.299999998882413
FS( 33 ),2469598.370000000577420,2623159.959999999497086,2669340.269999999552965,2804703.140000000130385,10566801.740000000223517
FS( 34 ),2477906.890000000130385,2647152.159999999683350,2665554.719999999739230,2805440.919999999925494,10596054.689999999478459
FS( 35 ),2500377.660000000149012,2610364.119999999646097,2758931.619999999646097,2788471.980000000447035,10658145.379999998956919
FS( 36 ),2561369.750000000000000,2623959.700000000186265,2873255.229999999515712,2804334.250000000000000,10862918.929999999701977
FS( 37 ),2542109.090000000316650,2595169.060000000055879,2826566.779999999795109,2788471.980000000447035,10752316.910000000149012
FS( 38 ),2531723.440000000409782,2623159.959999999497086,2816724.349999999627471,2797694.230000000447035,10769301.980000000447035
FS( 39 ),2501699.470000000204891,2607165.159999999683350,2776345.149999999906868,2764125.240000000689179,10649335.019999999552965
FS( 40 ),2636901.750000000000000,2555182.059999999590218,2737227.799999999813735,2721334.000000000000000,10650645.609999999403954
FS( 41 ),2790609.370000000577420,2545585.179999999701977,2760698.209999999962747,2750845.199999999720603,10847737.960000000894070
FS( 42 ),2745101.340000000316650,2499200.259999999776483,2681454.029999999795109,2720596.220000000204891,10646351.849999999627471
FS( 43 ),2761907.209999999962747,2531189.859999999869615,2707700.509999999776483,2762649.680000000167638,10763447.259999999776483
FS( 44 ),2782300.850000000558794,2560780.240000000223517,2720823.750000000000000,2758960.780000000260770,10822865.620000001043081
FS( 45 ),2780034.890000000130385,2564778.939999999944121,2723599.819999999832362,2754534.100000000093132,10822947.750000000000000
FS( 46 ),2806093.430000000167638,2638355.020000000018626,2746313.119999999646097,2758960.780000000260770,10949722.350000001490116
FS( 47 ),2794763.630000000353903,2652750.339999999850988,2715523.979999999515712,2809129.820000000298023,10972167.769999999552965
FS( 48 ),2786832.770000000484288,2644752.939999999944121,2687510.909999999683350,2818352.070000000298023,10937448.690000001341105
FS( 49 ),2795518.950000000186265,2731124.859999999869615,2750098.669999999925494,2829049.879999999888241,11105792.359999999403954
FS( 50 ),2793252.990000000223517,2739122.259999999776483,2772307.229999999515712,2933814.640000000130385,11238497.119999999180436
FS( 51 ),2796463.100000000558794,2788706.139999999664724,2772054.859999999869615,2949676.910000000149012,11306901.009999999776483
FS( 52 ),2827431.220000000204891,2770312.119999999646097,2761960.059999999590218,2904303.440000000409782,11264006.839999999850988
FS( 53 ),2831018.990000000223517,2765513.679999999701977,2770035.899999999906868,2877374.470000000204891,11243943.040000000968575
FS( 54 ),2854622.740000000223517,2757516.279999999329448,2770288.269999999552965,2869627.780000000260770,11252055.070000000298023
FS( 55 ),2903340.880000000353903,2751918.099999999627471,2776849.889999999664724,2844174.370000000111759,11276283.240000002086163
FS( 56 ),2989447.360000000335276,2763914.200000000186265,2842213.719999999739230,2845281.040000000037253,11440856.320000000298023
FS( 57 ),2922035.050000000745058,2750318.619999999646097,2937609.580000000074506,2899138.980000000447035,11509102.230000000447035
FS( 58 ),2915237.170000000391155,2746319.919999999925494,2913129.689999999944121,2965539.180000000167638,11540225.959999999031425
FS( 59 ),2889367.459999999962747,2771911.599999999627471,2878302.629999999888241,2951521.360000000335276,11491103.050000000745058
FS( 60 ),2865197.220000000204891,2766313.419999999925494,2868460.199999999720603,3012019.320000000298023,11511990.160000000149012
FS( 61 ),2848580.180000000167638,2744720.439999999944121,2867703.089999999850988,3064770.590000000316650,11525774.300000000745058
