代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11649545.500000000000000
真實報酬,1649545.500000000000000

夏普值報酬,0.156254550000000
夏普值風險,0.038592347470225
夏普值,4.048848029277140

二次趨勢線,-118.605672556301158 x^2 + 30400.276242874439049 x + 10000000.000000000000000
二次平均預期報酬,23046.724544383763714
風險,155352.208063228812534
二次平均趨勢值,0.148351444963072
一次趨勢線,24929.951198875271075 x + 10000000.000000000000000
一次預期報酬,24929.951198875271075
一次風險,163306.501119888562243
一次趨勢值,0.152657432667505
找到最佳解世代,2178
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
V[25](1),
Stock#,V[25](1),
張數,311235,
分配資金,10000000.000000000000000,
剩餘資金,19.449999999254942,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9928415.949999999254942,9928415.949999999254942
FS( 3 ),10077808.750000000000000,10077808.750000000000000
FS( 4 ),10093370.500000000000000,10093370.500000000000000
FS( 5 ),10012449.400000000372529,10012449.400000000372529
FS( 6 ),10230313.899999998509884,10230313.899999998509884
FS( 7 ),10385931.399999998509884,10385931.399999998509884
FS( 8 ),10501088.349999999627471,10501088.349999999627471
FS( 9 ),10445066.050000000745058,10445066.050000000745058
FS( 10 ),10417054.899999998509884,10417054.899999998509884
FS( 11 ),10401493.150000000372529,10401493.150000000372529
FS( 12 ),10488638.949999999254942,10488638.949999999254942
FS( 13 ),10473077.199999999254942,10473077.199999999254942
FS( 14 ),10504200.699999999254942,10504200.699999999254942
FS( 15 ),10407717.849999997764826,10407717.849999997764826
FS( 16 ),10469964.849999999627471,10469964.849999999627471
FS( 17 ),10311235.000000000000000,10311235.000000000000000
FS( 18 ),10420167.249999998137355,10420167.249999998137355
FS( 19 ),10448178.399999998509884,10448178.399999998509884
FS( 20 ),10638031.750000000000000,10638031.750000000000000
FS( 21 ),10582009.449999999254942,10582009.449999999254942
FS( 22 ),10778087.500000000000000,10778087.500000000000000
FS( 23 ),10868345.650000000372529,10868345.650000000372529
FS( 24 ),10915030.899999998509884,10915030.899999998509884
FS( 25 ),10793649.250000000000000,10793649.250000000000000
FS( 26 ),10641144.099999997764826,10641144.099999997764826
FS( 27 ),10690941.699999999254942,10690941.699999999254942
FS( 28 ),10818548.049999998882413,10818548.049999998882413
FS( 29 ),10824772.750000000000000,10824772.750000000000000
FS( 30 ),10883907.399999998509884,10883907.399999998509884
FS( 31 ),10983502.599999999627471,10983502.599999999627471
FS( 32 ),11092434.849999999627471,11092434.849999999627471
FS( 33 ),11039524.899999998509884,11039524.899999998509884
FS( 34 ),10890132.099999999627471,10890132.099999999627471
FS( 35 ),10815435.699999999254942,10815435.699999999254942
FS( 36 ),10631807.049999998882413,10631807.049999998882413
FS( 37 ),10619357.649999998509884,10619357.649999998509884
FS( 38 ),10703391.099999999627471,10703391.099999999627471
FS( 39 ),10762525.749999998137355,10762525.749999998137355
FS( 40 ),10796761.599999997764826,10796761.599999997764826
FS( 41 ),11195142.399999998509884,11195142.399999998509884
FS( 42 ),11157794.199999999254942,11157794.199999999254942
FS( 43 ),11011513.750000000000000,11011513.750000000000000
FS( 44 ),11195142.399999998509884,11195142.399999998509884
FS( 45 ),11092434.849999999627471,11092434.849999999627471
FS( 46 ),11055086.650000000372529,11055086.650000000372529
FS( 47 ),11120445.999999998137355,11120445.999999998137355
FS( 48 ),11145344.800000000745058,11145344.800000000745058
FS( 49 ),11083097.799999998882413,11083097.799999998882413
FS( 50 ),10890132.099999999627471,10890132.099999999627471
FS( 51 ),10893244.449999999254942,10893244.449999999254942
FS( 52 ),11104884.250000000000000,11104884.250000000000000
FS( 53 ),11332085.799999998882413,11332085.799999998882413
FS( 54 ),11388108.099999999627471,11388108.099999999627471
FS( 55 ),11413006.900000000372529,11413006.900000000372529
FS( 56 ),11525051.500000000000000,11525051.500000000000000
FS( 57 ),11456579.800000000745058,11456579.800000000745058
FS( 58 ),11422343.949999999254942,11422343.949999999254942
FS( 59 ),11459692.149999998509884,11459692.149999998509884
FS( 60 ),11531276.199999999254942,11531276.199999999254942
FS( 61 ),11649545.500000000000000,11649545.500000000000000
