代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11207981.490000000223517
真實報酬,1207981.490000000223517

夏普值報酬,0.112098149000000
夏普值風險,0.035154147114225
夏普值,3.188760308585001

二次趨勢線,-408.797530243951201 x^2 + 44875.529223249461211 x + 10000000.000000000000000
二次平均預期報酬,18303.689757392628962
風險,96739.458498996609706
二次平均趨勢值,0.189206038997856
一次趨勢線,25101.137062611804140 x + 10000000.000000000000000
一次預期報酬,25101.137062611804140
一次風險,213956.741113905765815
一次趨勢值,0.117318748322347
找到最佳解世代,2642
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,5
BA[2](1),DIS[6](6),INTC[11](3),MRK[17](13),UNH[23](8),
Stock#,BA[2](1),DIS[6](6),INTC[11](3),MRK[17](13),UNH[23](8),
張數,23460,35279,93327,45095,33915,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,35.000000000000000,33.489999999990687,2.390000000130385,36.750000000000000,32.449999999953434,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1972786.400000000139698,2027164.830000000074506,2002799.810000000288710,2025253.199999999953434,2093944.550000000046566,10121948.790000000968575
FS( 3 ),1979120.600000000093132,2019756.239999999990687,1964535.740000000223517,2045545.949999999953434,2091570.500000000000000,10100529.030000001192093
FS( 4 ),1992962.000000000000000,2031751.100000000093132,1972935.170000000158325,2043742.149999999906868,2103779.900000000372529,10145170.320000000298023
FS( 5 ),2021583.199999999953434,2035631.790000000037253,1954269.770000000251457,2035174.100000000093132,2106153.950000000186265,10152812.810000002384186
FS( 6 ),2035190.000000000000000,2075144.270000000018626,1968268.820000000065193,2050957.349999999860302,2099031.799999999813735,10228592.239999998360872
FS( 7 ),2045981.599999999860302,2086433.550000000046566,2029864.640000000130385,2052310.199999999953434,2108867.150000000372529,10323457.140000000596046
FS( 8 ),2060292.199999999953434,2120654.179999999701977,2077461.410000000381842,2112286.550000000279397,2116667.599999999627471,10487361.939999999478459
FS( 9 ),2076948.800000000046566,2136176.939999999478459,2037330.800000000046566,2128971.700000000186265,2135999.149999999441206,10515427.389999998733401
FS( 10 ),2085394.399999999906868,2136176.939999999478459,2023331.750000000000000,2124462.200000000186265,2137694.900000000372529,10507060.190000001341105
FS( 11 ),2035659.199999999953434,2077261.010000000009313,1995333.650000000139698,2095150.449999999953434,2088857.300000000046566,10292261.610000001266599
FS( 12 ),2038474.399999999906868,2143232.740000000223517,2045730.230000000214204,2117697.950000000186265,2130233.599999999627471,10475368.919999999925494
FS( 13 ),2033782.399999999906868,2140763.209999999962747,2046663.500000000000000,2108678.949999999720603,2103779.900000000372529,10433667.959999999031425
FS( 14 ),2020410.200000000186265,2116420.700000000186265,2075594.869999999878928,2099659.950000000186265,2024418.799999999813735,10336504.519999999552965
FS( 15 ),2063576.599999999860302,2171808.730000000447035,2094260.270000000251457,2141598.300000000279397,2036289.049999999813735,10507532.949999999254942
FS( 16 ),2039647.399999999906868,2187684.280000000260770,2135324.149999999906868,2160989.149999999906868,2008478.750000000000000,10532123.730000000447035
FS( 17 ),2068737.800000000046566,2208146.100000000558794,2181987.649999999906868,2193006.600000000093132,1985416.549999999813735,10637294.699999999254942
FS( 18 ),2130906.799999999813735,2185214.750000000000000,2208119.209999999962747,2162342.000000000000000,1993895.299999999813735,10680478.059999998658895
FS( 19 ),2150613.200000000186265,2187331.490000000223517,2181987.649999999906868,2135285.000000000000000,2012548.550000000046566,10667765.890000000596046
FS( 20 ),2178296.000000000000000,2182745.219999999739230,2183854.189999999944121,2158734.399999999906868,2017296.649999999906868,10720926.460000000894070
FS( 21 ),2156009.000000000000000,2222610.490000000223517,2217451.910000000149012,2156479.649999999906868,2035271.599999999860302,10787822.650000000372529
FS( 22 ),2144513.600000000093132,2216965.850000000558794,2235184.040000000037253,2119501.750000000000000,2032558.399999999906868,10748723.640000002458692
FS( 23 ),2139117.800000000279397,2230019.080000000074506,2238917.120000000111759,2060427.299999999813735,2025436.250000000000000,10693917.550000000745058
FS( 24 ),2163281.599999999627471,2253656.009999999776483,2250116.359999999869615,2062231.099999999860302,2017296.649999999906868,10746581.719999998807907
FS( 25 ),2199175.399999999906868,2286112.689999999478459,2236117.310000000055879,2059525.400000000139698,1998304.250000000000000,10779235.050000000745058
FS( 26 ),2209732.399999999906868,2295285.230000000447035,2231450.959999999962747,2028409.849999999860302,2041715.449999999953434,10806593.890000000596046
FS( 27 ),2223808.400000000372529,2330917.019999999552965,2253849.439999999944121,2041487.400000000139698,2051889.949999999953434,10901952.209999999031425
FS( 28 ),2206213.400000000372529,2328094.700000000186265,2263182.140000000130385,2028860.800000000046566,2120059.099999999627471,10946410.140000000596046
FS( 29 ),2219585.600000000093132,2352084.419999999925494,2273448.109999999869615,2051408.300000000046566,2103101.599999999627471,10999628.029999999329448
FS( 30 ),2210905.399999999906868,2370782.290000000037253,2286513.890000000130385,2072152.000000000232831,2133625.099999999627471,11073978.679999999701977
FS( 31 ),2223104.600000000093132,2375015.769999999552965,2247316.549999999813735,2082072.900000000139698,2115989.299999999813735,11043499.119999997317791
FS( 32 ),2254775.600000000093132,2380307.620000000111759,2224918.070000000298023,2103718.500000000000000,2093605.399999999906868,11057325.190000001341105
