代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10662845.250000000000000
真實報酬,662845.250000000000000

夏普值報酬,0.057584525000000
夏普值風險,0.043613432295679
夏普值,1.320339215900364

二次趨勢線,926.157037447380276 x^2 + -45206.083930613225675 x + 10000000.000000000000000
二次平均預期報酬,12215.652391124356654
風險,244026.010390714742243
二次平均趨勢值,0.050058812876405
一次趨勢線,-2489.914227857243986 x + 10000000.000000000000000
一次預期報酬,-2489.914227857243986
一次風險,462714.427023894735612
一次趨勢值,-1152119235.281607866287231
找到最佳解世代,2052
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
NKE[19](1),
Stock#,NKE[19](1),
張數,130225,
分配資金,10000000.000000000000000,
剩餘資金,22.250000000000000,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9972652.750000000000000,9972652.750000000000000
FS( 3 ),10096366.500000000000000,10096366.500000000000000
FS( 4 ),9971350.500000000000000,9971350.500000000000000
FS( 5 ),10153665.500000000000000,10153665.500000000000000
FS( 6 ),10128922.750000000000000,10128922.750000000000000
FS( 7 ),9944003.250000000000000,9944003.250000000000000
FS( 8 ),9779919.750000000000000,9779919.750000000000000
FS( 9 ),9792942.250000000000000,9792942.250000000000000
FS( 10 ),9792942.250000000000000,9792942.250000000000000
FS( 11 ),9679646.500000000000000,9679646.500000000000000
FS( 12 ),9733038.750000000000000,9733038.750000000000000
FS( 13 ),9443939.250000000000000,9443939.250000000000000
FS( 14 ),9261624.250000000000000,9261624.250000000000000
FS( 15 ),9424405.500000000000000,9424405.500000000000000
FS( 16 ),9309807.500000000000000,9309807.500000000000000
FS( 17 ),9468682.000000000000000,9468682.000000000000000
FS( 18 ),9387942.500000000000000,9387942.500000000000000
FS( 19 ),9722620.750000000000000,9722620.750000000000000
FS( 20 ),9680948.750000000000000,9680948.750000000000000
FS( 21 ),9782524.250000000000000,9782524.250000000000000
FS( 22 ),10149758.750000000000000,10149758.750000000000000
FS( 23 ),9869775.000000000000000,9869775.000000000000000
FS( 24 ),9837218.750000000000000,9837218.750000000000000
FS( 25 ),9550723.750000000000000,9550723.750000000000000
FS( 26 ),9442637.000000000000000,9442637.000000000000000
FS( 27 ),9580675.500000000000000,9580675.500000000000000
FS( 28 ),9678344.250000000000000,9678344.250000000000000
FS( 29 ),9497331.500000000000000,9497331.500000000000000
FS( 30 ),9445241.500000000000000,9445241.500000000000000
FS( 31 ),9102749.750000000000000,9102749.750000000000000
FS( 32 ),9265531.000000000000000,9265531.000000000000000
FS( 33 ),8981640.500000000000000,8981640.500000000000000
FS( 34 ),8794116.500000000000000,8794116.500000000000000
FS( 35 ),9424405.500000000000000,9424405.500000000000000
FS( 36 ),8868344.750000000000000,8868344.750000000000000
FS( 37 ),9507749.500000000000000,9507749.500000000000000
FS( 38 ),9593698.000000000000000,9593698.000000000000000
FS( 39 ),9550723.750000000000000,9550723.750000000000000
FS( 40 ),9654903.750000000000000,9654903.750000000000000
FS( 41 ),9644485.750000000000000,9644485.750000000000000
FS( 42 ),9473891.000000000000000,9473891.000000000000000
FS( 43 ),9721318.500000000000000,9721318.500000000000000
FS( 44 ),9860659.250000000000000,9860659.250000000000000
FS( 45 ),9992186.500000000000000,9992186.500000000000000
FS( 46 ),9973955.000000000000000,9973955.000000000000000
FS( 47 ),9951816.750000000000000,9951816.750000000000000
FS( 48 ),9902331.250000000000000,9902331.250000000000000
FS( 49 ),9908842.500000000000000,9908842.500000000000000
FS( 50 ),10141945.250000000000000,10141945.250000000000000
FS( 51 ),10115900.250000000000000,10115900.250000000000000
FS( 52 ),10304726.500000000000000,10304726.500000000000000
FS( 53 ),10476623.500000000000000,10476623.500000000000000
FS( 54 ),10515691.000000000000000,10515691.000000000000000
FS( 55 ),10483134.750000000000000,10483134.750000000000000
FS( 56 ),10475321.250000000000000,10475321.250000000000000
FS( 57 ),10497459.500000000000000,10497459.500000000000000
FS( 58 ),10459694.250000000000000,10459694.250000000000000
FS( 59 ),10446671.750000000000000,10446671.750000000000000
FS( 60 ),10584710.250000000000000,10584710.250000000000000
FS( 61 ),10662845.250000000000000,10662845.250000000000000
