代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11041427.150000000372529
真實報酬,1041427.150000000372529

夏普值報酬,0.095442715000000
夏普值風險,0.054397088151207
夏普值,1.754555588245800

二次趨勢線,630.835186653896244 x^2 + -15645.838458624944906 x + 10000000.000000000000000
二次平均預期報酬,25358.448673878312547
風險,208662.254048045520904
二次平均趨勢值,0.121528681790428
一次趨勢線,14868.979872540257929 x + 10000000.000000000000000
一次預期報酬,14868.979872540257929
一次風險,360921.946483566309325
一次趨勢值,0.041197217341332
找到最佳解世代,1764
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](3),DD[7](2),UNH[23](1),
Stock#,AAPL[0](3),DD[7](2),UNH[23](1),
張數,51767,68166,53078,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,55.870000000111759,15.600000000093132,34.600000000093132,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3322979.600000000093132,3360599.399999999906868,3309978.680000000167638,9993558.679999999701977
FS( 3 ),3291919.400000000372529,3267211.979999999981374,3277601.100000000093132,9836733.480000000447035
FS( 4 ),3242740.750000000000000,3289706.759999999776483,3286624.360000000335276,9819072.870000001043081
FS( 5 ),3267588.910000000149012,3334696.320000000298023,3321125.060000000055879,9923411.290000000968575
FS( 6 ),3245846.770000000484288,3332651.340000000316650,3380041.640000000130385,9958540.750000001862645
FS( 7 ),3236011.040000000037253,3300613.320000000298023,3393311.140000000130385,9929936.500000000000000
FS( 8 ),3196150.450000000186265,3280163.520000000018626,3388003.339999999850988,9864318.310000000521541
FS( 9 ),3224104.630000000353903,3363326.040000000502914,3404988.300000000279397,9992419.970000000670552
FS( 10 ),3180620.350000000093132,3301294.979999999981374,3386411.000000000000000,9868327.330000000074506
FS( 11 ),3194597.439999999944121,3314246.520000000018626,3416665.460000000428408,9925510.419999999925494
FS( 12 ),3193044.430000000167638,3360599.399999999906868,3486197.640000000596046,10039842.470000000670552
FS( 13 ),3128335.680000000167638,3310156.560000000055879,3463904.880000000353903,9902398.120000001043081
FS( 14 ),3082780.719999999739230,3222222.420000000391155,3386411.000000000000000,9691415.140000000596046
FS( 15 ),3057932.560000000055879,3167689.620000000111759,3391718.799999999813735,9617341.980000000447035
FS( 16 ),2977176.040000000037253,3140423.220000000204891,3431527.300000000279397,9549127.560000000521541
FS( 17 ),2977693.710000000428408,3154738.080000000074506,3382695.540000000037253,9515128.330000001937151
FS( 18 ),2944045.160000000149012,3126108.359999999869615,3438427.439999999944121,9508581.959999999031425
FS( 19 ),2911949.620000000111759,3140423.220000000204891,3507959.620000000111759,9560333.460000000894070
FS( 20 ),2932656.419999999925494,3122700.060000000055879,3475582.040000000502914,9530939.520000001415610
FS( 21 ),3026354.689999999944121,3154738.080000000074506,3483543.739999999757856,9664637.509999999776483
FS( 22 ),3094687.130000000353903,3149284.800000000279397,3464435.659999999683350,9708408.589999999850988
FS( 23 ),3111770.240000000223517,3147921.479999999981374,3478766.720000000204891,9738459.440000001341105
FS( 24 ),3086922.080000000074506,3173142.899999999906868,3512205.860000000335276,9772271.839999999850988
FS( 25 ),3069321.300000000279397,3211997.520000000018626,3585984.280000000260770,9867304.100000001490116
FS( 26 ),3123676.650000000372529,3302658.300000000279397,3607746.260000000242144,10034082.210000000894070
FS( 27 ),3111252.570000000298023,3280163.520000000018626,3592884.419999999925494,9984301.509999999776483
FS( 28 ),3159913.550000000279397,3319699.800000000279397,3628446.680000000167638,10108061.030000001192093
FS( 29 ),3154219.180000000167638,3312201.540000000502914,3609338.600000000093132,10075760.320000000298023
FS( 30 ),3160948.890000000130385,3339467.940000000409782,3589168.960000000428408,10089586.790000000968575
FS( 31 ),3181655.689999999944121,3297886.680000000167638,3551483.580000000074506,10031026.949999999254942
FS( 32 ),3182173.359999999869615,3371505.959999999962747,3515390.540000000502914,10069070.860000001266599
FS( 33 ),3193044.430000000167638,3357191.100000000093132,3744687.500000000000000,10294924.030000001192093
FS( 34 ),3142830.439999999944121,3365371.020000000018626,3792457.700000000186265,10300660.160000000149012
FS( 35 ),3152666.169999999925494,3357872.759999999776483,3831204.640000000596046,10341744.570000000298023
FS( 36 ),3098828.490000000223517,3353782.800000000279397,3858274.419999999925494,10310886.710000000894070
FS( 37 ),3257753.180000000167638,3336741.300000000279397,3849781.939999999944121,10444277.419999999925494
FS( 38 ),3242740.750000000000000,3396727.379999999888241,3854558.960000000428408,10494028.089999999850988
FS( 39 ),3261376.870000000111759,3368779.320000000298023,3832796.979999999981374,10462954.169999999925494
FS( 40 ),3311590.859999999869615,3397409.040000000502914,3863582.220000000204891,10572583.120000001043081
FS( 41 ),3352486.790000000502914,3403543.979999999981374,3835981.659999999683350,10592013.429999999701977
FS( 42 ),3346792.420000000391155,3401499.000000000000000,3866766.899999999906868,10615059.320000000298023
FS( 43 ),3377334.949999999720603,3436263.659999999683350,3883221.080000000074506,10696820.689999999478459
FS( 44 ),3420819.229999999981374,3516017.879999999888241,3835450.880000000353903,10772288.990000000223517
FS( 45 ),3471550.890000000130385,3541239.300000000279397,3892775.120000000111759,10905566.310000000521541
FS( 46 ),3440490.689999999944121,3500339.700000000186265,3887467.319999999832362,10828298.710000000894070
FS( 47 ),3438937.680000000633299,3522834.479999999981374,3870482.360000000335276,10832255.519999999552965
FS( 48 ),3409430.490000000223517,3582820.560000000055879,3884282.640000000596046,10876534.690000001341105
FS( 49 ),3360769.510000000242144,3692567.820000000298023,3871013.140000000596046,10924351.470000000670552
FS( 50 ),3456538.459999999962747,3638035.020000000018626,3842351.020000000018626,10936925.500000000000000
FS( 51 ),3620639.850000000093132,3676889.640000000130385,3893305.899999999906868,11190836.390000000596046
FS( 52 ),3686383.939999999944121,3664619.759999999776483,3847658.819999999832362,11198663.519999999552965
FS( 53 ),3682242.580000000074506,3606678.659999999683350,3789803.800000000279397,11078726.040000000968575
FS( 54 ),3714855.790000000502914,3580775.580000000074506,3791396.140000000596046,11087028.510000001639128
FS( 55 ),3754716.380000000353903,3555554.159999999683350,3806257.979999999981374,11116529.519999999552965
FS( 56 ),3705537.729999999981374,3586910.520000000018626,3846066.479999999981374,11138515.730000000447035
FS( 57 ),3715373.459999999962747,3605315.340000000316650,3813688.899999999906868,11134378.700000001117587
FS( 58 ),3719514.819999999832362,3610086.959999999962747,3820058.260000000242144,11149661.039999999105930
FS( 59 ),3705020.059999999590218,3760733.820000000298023,3850312.720000000204891,11316067.599999999627471
FS( 60 ),3719514.819999999832362,3751872.240000000223517,3841820.239999999757856,11313208.300000000745058
FS( 61 ),3613392.469999999739230,3646214.940000000409782,3796173.159999999683350,11055781.570000000298023
FS( 62 ),3630475.580000000074506,3635308.379999999888241,3797234.720000000204891,11063019.679999999701977
FS( 63 ),3636169.949999999720603,3642124.979999999981374,3845004.919999999925494,11123300.849999999627471
FS( 64 ),3603039.069999999832362,3630536.759999999776483,3807850.319999999832362,11041427.150000000372529
