代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11452283.149999998509884
真實報酬,1452283.149999998509884

夏普值報酬,0.136528315000000
夏普值風險,0.062238464477507
夏普值,2.193632444922253

二次趨勢線,972.612371987857159 x^2 + -33922.170865253399825 x + 10000000.000000000000000
二次平均預期報酬,29297.633313957321661
風險,183232.789910011109896
二次平均趨勢值,0.159892960906975
一次趨勢線,13125.125268112700724 x + 10000000.000000000000000
一次預期報酬,13125.125268112700724
一次風險,489619.977365061466116
一次趨勢值,0.026806760089216
找到最佳解世代,1597
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
INTC[11](1),MCD[15](3),NKE[19](2),
Stock#,INTC[11](1),MCD[15](3),NKE[19](2),
張數,114744,33527,58051,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,19.799999999813735,78.660000000149012,44.580000000074506,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3342512.519999999552965,3323945.439999999944121,3360616.970000000204891,10027075.929999999701977
FS( 3 ),3341365.080000000074506,3346073.260000000242144,3389061.960000000428408,10076501.300000000745058
FS( 4 ),3328743.240000000223517,3330986.109999999869615,3341460.140000000130385,10001190.490000000223517
FS( 5 ),3313826.519999999552965,3316569.500000000000000,3324044.839999999850988,9954441.859999999403954
FS( 6 ),3401031.959999999962747,3332327.189999999944121,3348426.260000000242144,10081786.410000000149012
FS( 7 ),3324153.479999999515712,3312881.530000000260770,3322303.310000000055879,9959339.320000000298023
FS( 8 ),3380378.040000000037253,3295112.220000000204891,3281667.610000000335276,9957158.870000001043081
FS( 9 ),3312679.080000000074506,3331656.650000000372529,3297341.379999999888241,9941678.109999999403954
FS( 10 ),3329890.679999999701977,3328303.950000000186265,3319400.760000000242144,9977596.390000000596046
FS( 11 ),3336775.319999999832362,3374906.479999999981374,3337396.570000000298023,10049079.370000001043081
FS( 12 ),3317268.839999999850988,3378259.180000000167638,3332752.489999999757856,10028281.509999999776483
FS( 13 ),3254159.639999999664724,3389658.359999999869615,3336816.060000000055879,9980635.060000000521541
FS( 14 ),3158922.120000000111759,3344732.180000000167638,3259608.229999999981374,9763263.530000001192093
FS( 15 ),3047620.439999999478459,3256556.169999999925494,3102290.020000000018626,9406467.629999998956919
FS( 16 ),3012049.799999999813735,3113731.150000000372529,3015213.520000000018626,9140995.470000000670552
FS( 17 ),2968447.080000000074506,3058076.330000000074506,3005344.850000000093132,9031869.259999999776483
FS( 18 ),3132531.000000000000000,3190172.710000000428408,3156857.960000000428408,9479562.670000001788139
FS( 19 ),3180723.479999999515712,3263261.570000000298023,3268896.390000000130385,9712882.439999999478459
FS( 20 ),3261044.279999999795109,3227052.410000000149012,3265413.330000000074506,9753511.019999999552965
FS( 21 ),3274813.559999999590218,3185814.200000000186265,3243934.460000000428408,9704563.220000000670552
FS( 22 ),3192197.879999999888241,3133847.350000000093132,3153374.899999999906868,9479421.130000000819564
FS( 23 ),3281698.200000000186265,3220011.740000000223517,3213167.430000000167638,9714878.370000001043081
FS( 24 ),3336775.319999999832362,3219005.930000000167638,3217811.510000000242144,9773593.759999999776483
FS( 25 ),3272518.679999999701977,3180114.609999999869615,3184141.930000000167638,9636776.219999998807907
FS( 26 ),3384967.799999999813735,3244821.720000000204891,3243934.460000000428408,9873724.980000000447035
FS( 27 ),3355134.359999999403954,3199560.270000000484288,3188786.010000000242144,9743481.640000000596046
FS( 28 ),3358576.679999999701977,3193525.410000000149012,3203879.270000000018626,9755982.359999999403954
FS( 29 ),3381525.479999999515712,3265943.729999999981374,3245675.989999999757856,9893146.199999999254942
FS( 30 ),3372345.959999999962747,3251191.850000000093132,3247998.030000000260770,9871536.839999999850988
FS( 31 ),3411358.919999999925494,3292094.790000000037253,3304307.500000000000000,10007762.210000000894070
FS( 32 ),3415948.679999999701977,3308858.290000000037253,3354811.870000000111759,10079619.839999999850988
FS( 33 ),3409064.040000000037253,3280360.340000000316650,3346104.220000000204891,10035529.600000001490116
FS( 34 ),3329890.679999999701977,3253874.010000000242144,3339718.610000000335276,9923484.300000000745058
FS( 35 ),3345954.839999999850988,3282371.960000000428408,3383256.860000000335276,10011584.660000000149012
FS( 36 ),3289730.279999999795109,3258903.060000000055879,3366422.070000000298023,9915056.410000000149012
FS( 37 ),3297762.359999999403954,3264937.919999999925494,3350748.299999999813735,9913449.579999998211861
FS( 38 ),3267928.919999999925494,3261920.490000000223517,3332171.979999999981374,9862022.390000000596046
FS( 39 ),3305794.439999999478459,3271978.590000000316650,3628232.080000000074506,10206006.109999999403954
FS( 40 ),3300057.240000000223517,3217329.580000000074506,3545219.149999999906868,10062606.970000000670552
FS( 41 ),3355134.359999999403954,3268290.620000000111759,3473816.420000000391155,10097242.400000000372529
FS( 42 ),3458403.959999999962747,3303493.970000000204891,3569600.570000000298023,10331499.500000000000000
FS( 43 ),3442339.799999999813735,3311875.720000000204891,3594562.500000000000000,10348779.019999999552965
FS( 44 ),3500859.240000000223517,3345737.990000000223517,3634617.689999999944121,10481215.919999999925494
FS( 45 ),3581180.040000000037253,3392005.250000000000000,3607333.720000000204891,10580520.009999999776483
FS( 46 ),3641994.359999999403954,3416479.960000000428408,3575986.180000000167638,10634461.500000000000000
FS( 47 ),3708545.879999999888241,3412121.450000000186265,3544058.129999999888241,10664726.460000000894070
FS( 48 ),3731494.680000000167638,3451683.310000000055879,3625910.040000000037253,10809089.030000001192093
FS( 49 ),3687891.959999999962747,3445313.180000000167638,3626490.549999999813735,10759696.690000001341105
FS( 50 ),3695924.040000000037253,3461406.140000000130385,3670028.799999999813735,10827359.980000000447035
FS( 51 ),3676417.559999999590218,3466099.919999999925494,3652032.989999999757856,10794551.469999998807907
FS( 52 ),3763622.999999999534339,3447324.799999999813735,3652613.500000000000000,10863562.299999998882413
FS( 53 ),3757885.799999999813735,3475487.479999999981374,3738528.980000000447035,10971903.259999999776483
FS( 54 ),3791161.559999999590218,3514378.799999999813735,3787291.819999999832362,11092833.179999999701977
FS( 55 ),3854270.760000000242144,3503314.890000000130385,3866821.689999999944121,11224408.339999999850988
FS( 56 ),3837059.159999999683350,3481522.340000000316650,3842440.270000000018626,11161022.769999999552965
FS( 57 ),3829027.079999999608845,3437937.240000000223517,3845342.819999999832362,11112308.140000000596046
FS( 58 ),3947213.399999999441206,3717217.150000000372529,3843601.289999999571592,11508032.839999999850988
FS( 59 ),4004585.399999999441206,3774883.590000000316650,3789033.349999999627471,11568503.339999999850988
FS( 60 ),3969014.760000000242144,3761137.520000000484288,3813414.770000000018626,11543568.050000000745058
FS( 61 ),3955245.479999999515712,3743032.939999999944121,3797160.489999999757856,11495439.910000000149012
FS( 62 ),3982784.040000000037253,3786618.040000000037253,3811092.730000000447035,11580495.810000000521541
FS( 63 ),3904758.120000000111759,3775889.400000000372529,3805868.140000000130385,11486516.660000000149012
FS( 64 ),3885251.639999999664724,3763484.410000000149012,3803546.099999999627471,11452283.149999998509884
