代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11660281.439999999478459
真實報酬,1660281.439999999478459

夏普值報酬,0.157328144000000
夏普值風險,0.043623820789617
夏普值,3.606473278870765

二次趨勢線,-166.061633413142374 x^2 + 36536.326319590996718 x + 10000000.000000000000000
二次平均預期報酬,25908.381781149884773
風險,55297.804398408326961
二次平均趨勢值,0.468524601709062
一次趨勢線,28628.131367758709530 x + 10000000.000000000000000
一次預期報酬,28628.131367758709530
一次風險,93295.203476009570295
一次趨勢值,0.306855339836633
找到最佳解世代,2245
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,6
AAPL[0](7),HD[9](17),MRK[17](1),MSFT[18](9),PFE[20](2),WBA[27](6),
Stock#,AAPL[0](7),HD[9](17),MRK[17](1),MSFT[18](9),PFE[20](2),WBA[27](6),
張數,8904,8590,27566,16664,45875,27264,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,15.280000000027940,34.199999999953434,25.639999999897555,99.359999999869615,27.250000000000000,17.679999999934807,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1637638.959999999962747,1663230.000000000000000,1673557.500000000000000,1650668.559999999823049,1667583.500000000000000,1656578.319999999832362,9949260.839999999850988
FS( 3 ),1650816.880000000121072,1670016.099999999860302,1699193.879999999888241,1662500.000000000000000,1691438.499999999767169,1700746.000000000000000,10074715.359999999403954
FS( 4 ),1673700.159999999916181,1670617.399999999906868,1714630.840000000083819,1685829.599999999860302,1702448.500000000000000,1725828.879999999888241,10173059.379999998956919
FS( 5 ),1696939.600000000093132,1684361.400000000139698,1709668.959999999962747,1697327.759999999776483,1704742.249999999767169,1737552.399999999906868,10230596.369999999180436
FS( 6 ),1694891.679999999934807,1697504.100000000093132,1717387.439999999711290,1701827.040000000037253,1717128.500000000000000,1723102.479999999981374,10251845.240000000223517
FS( 7 ),1672898.800000000046566,1691834.699999999953434,1706361.039999999804422,1699494.079999999841675,1707036.000000000000000,1735643.919999999925494,10213272.540000000968575
FS( 8 ),1700946.400000000139698,1700424.699999999953434,1727311.199999999720603,1736321.519999999785796,1721257.250000000232831,1741642.000000000000000,10327907.070000000298023
FS( 9 ),1703617.600000000093132,1706781.300000000046566,1733651.379999999888241,1756984.879999999888241,1721716.000000000000000,1776812.560000000055879,10399567.720000000670552
FS( 10 ),1699877.919999999925494,1708413.399999999906868,1725381.580000000074506,1748319.599999999860302,1714834.750000000232831,1776539.919999999925494,10373371.169999999925494
FS( 11 ),1704686.079999999841675,1727483.199999999953434,1723727.619999999878928,1765650.159999999916181,1727221.000000000000000,1789353.999999999767169,10438126.059999998658895
FS( 12 ),1695336.880000000121072,1726366.500000000000000,1735029.679999999934807,1751819.040000000037253,1727679.749999999767169,1803803.919999999925494,10440039.769999999552965
FS( 13 ),1708514.800000000046566,1740625.899999999906868,1723176.299999999813735,1739820.959999999962747,1713917.250000000000000,1770269.200000000186265,10396328.410000000149012
FS( 14 ),1704597.040000000037253,1739079.699999999953434,1723451.959999999962747,1770982.639999999897555,1712541.000000000000000,1771632.400000000139698,10422288.740000000223517
FS( 15 ),1704597.040000000037253,1737189.899999999906868,1728138.179999999934807,1799311.439999999944121,1707036.000000000000000,1781447.439999999944121,10457724.000000000000000
FS( 16 ),1718487.280000000027940,1735128.300000000046566,1748261.359999999869615,1794145.599999999860302,1729514.750000000232831,1786082.320000000065193,10511623.609999999403954
FS( 17 ),1734692.560000000055879,1726624.199999999953434,1777756.979999999748543,1846970.479999999748543,1742818.500000000000000,1818526.479999999981374,10647393.199999999254942
FS( 18 ),1729261.120000000111759,1712880.199999999953434,1764525.300000000046566,1826807.040000000037253,1750617.249999999767169,1841428.239999999990687,10625523.150000000372529
FS( 19 ),1700501.199999999953434,1693466.799999999813735,1750190.979999999981374,1794478.879999999888241,1762085.999999999767169,1871418.639999999897555,10572146.500000000000000
FS( 20 ),1690973.919999999925494,1694669.399999999906868,1786578.099999999860302,1755985.040000000037253,1770343.500000000232831,1885595.919999999925494,10584149.880000000819564
FS( 21 ),1694357.439999999944121,1696731.000000000000000,1815798.060000000055879,1767816.479999999748543,1831816.000000000000000,1843609.360000000102445,10650132.339999999850988
FS( 22 ),1794171.280000000027940,1686251.199999999953434,1805322.979999999748543,1771149.279999999795109,1847413.500000000232831,1811437.839999999850988,10715750.080000000074506
FS( 23 ),1846615.839999999850988,1680753.599999999860302,1797880.159999999916181,1792645.839999999850988,1818971.000000000000000,1826160.400000000139698,10763030.839999999850988
FS( 24 ),1851958.240000000223517,1680581.799999999813735,1817452.020000000018626,1800477.919999999925494,1859799.750000000000000,1832703.760000000009313,10842977.490000000223517
FS( 25 ),1861574.560000000055879,1681011.300000000046566,1825446.159999999916181,1801977.679999999701977,1882737.250000000000000,1838156.560000000055879,10890907.509999999776483
FS( 26 ),1844122.720000000204891,1692693.699999999953434,1835369.919999999925494,1814475.679999999701977,1873562.250000000232831,1828068.879999999888241,10888297.149999998509884
FS( 27 ),1845369.280000000027940,1701026.000000000000000,1838402.179999999934807,1824640.719999999739230,1899710.999999999767169,1812801.039999999804422,10921954.219999998807907
FS( 28 ),1859882.800000000046566,1701541.400000000139698,1819381.639999999897555,1827640.239999999990687,1880902.250000000000000,1804076.560000000055879,10893428.890000000596046
FS( 29 ),1847862.400000000139698,1686251.199999999953434,1821311.259999999776483,1816475.359999999869615,1877691.000000000000000,1812801.039999999804422,10862396.259999997913837
FS( 30 ),1859793.760000000009313,1667696.799999999813735,1839229.159999999916181,1803310.799999999813735,1872186.000000000000000,1812528.400000000139698,10854748.919999999925494
FS( 31 ),1867629.280000000027940,1658763.199999999953434,1832061.999999999767169,1825807.199999999953434,1867598.500000000000000,1871963.919999999925494,10923828.099999999627471
FS( 32 ),1871992.240000000223517,1666408.300000000046566,1857147.060000000055879,1794145.599999999860302,1888242.249999999767169,1873872.400000000139698,10951811.849999999627471
FS( 33 ),1899416.560000000055879,1678434.299999999813735,1897944.739999999757856,1793812.319999999832362,1900169.750000000000000,1898137.360000000102445,11067919.029999999329448
FS( 34 ),1937347.600000000093132,1679894.599999999860302,1903733.599999999860302,1792812.479999999748543,1930906.000000000232831,1908225.039999999804422,11152923.319999998435378
FS( 35 ),1918471.120000000111759,1700252.899999999906868,1934331.859999999869615,1780981.040000000037253,1941916.000000000000000,1908225.039999999804422,11184181.959999999031425
