代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11346214.709999999031425
真實報酬,1346214.709999999031425

夏普值報酬,0.125921471000000
夏普值風險,0.032119223927229
夏普值,3.920439400568738

二次趨勢線,-93.030858698783831 x^2 + 22956.834760097910475 x + 10000000.000000000000000
二次平均預期報酬,16816.798085978174640
風險,105253.164552256203024
二次平均趨勢值,0.159774750312889
一次趨勢線,18386.960136230180069 x + 10000000.000000000000000
一次預期報酬,18386.960136230180069
一次風險,114384.603889405843802
一次趨勢值,0.160746809544472
找到最佳解世代,2106
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
KO[14](9),NKE[19](1),PG[21](3),UNH[23](5),
Stock#,KO[14](9),NKE[19](1),PG[21](3),UNH[23](5),
張數,63629,65121,31387,30678,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,16.589999999850988,4.810000000055879,25.449999999720603,49.780000000260770,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2506999.189999999944121,2512372.989999999757856,2486503.589999999850988,2523928.840000000316650,10029804.609999999403954
FS( 3 ),2493000.810000000055879,2504558.470000000204891,2492467.119999999646097,2484661.000000000000000,9974687.400000000372529
FS( 4 ),2540086.270000000018626,2511721.780000000260770,2545197.279999999795109,2500306.780000000260770,10097312.109999999403954
FS( 5 ),2503817.739999999757856,2485673.380000000353903,2515379.629999999888241,2431588.060000000521541,9936458.810000000521541
FS( 6 ),2510180.640000000130385,2509116.939999999944121,2540803.099999999627471,2457971.140000000596046,10018071.820000000298023
FS( 7 ),2517816.119999999646097,2509116.939999999944121,2557438.209999999962747,2450301.640000000596046,10034672.910000000149012
FS( 8 ),2524815.310000000055879,2498697.580000000074506,2555554.989999999757856,2461038.940000000409782,10040106.820000000298023
FS( 9 ),2541358.849999999627471,2515629.040000000037253,2557438.209999999962747,2500613.560000000521541,10115039.660000000149012
FS( 10 ),2556629.810000000055879,2516931.459999999962747,2572190.099999999627471,2510123.740000000223517,10155875.109999999403954
FS( 11 ),2601170.109999999869615,2511721.780000000260770,2566854.309999999590218,2499386.440000000409782,10179132.640000000596046
FS( 12 ),2631075.739999999757856,2557957.689999999944121,2587569.729999999515712,2526076.300000000279397,10302679.459999999031425
FS( 13 ),2625349.129999999888241,2556655.270000000018626,2595416.479999999515712,2560742.440000000409782,10338163.320000000298023
FS( 14 ),2624712.839999999850988,2569679.470000000204891,2599182.919999999925494,2559515.320000000298023,10353090.550000000745058
FS( 15 ),2634893.479999999515712,2570330.680000000167638,2613934.809999999590218,2569945.840000000316650,10389104.810000000521541
FS( 16 ),2616441.069999999832362,2582052.459999999962747,2617387.379999999888241,2570252.620000000111759,10386133.529999999329448
FS( 17 ),2634893.479999999515712,2605496.020000000018626,2622095.429999999701977,2584364.500000000000000,10446849.429999999701977
FS( 18 ),2646982.989999999757856,2587913.350000000093132,2617073.509999999776483,2611361.140000000596046,10463330.990000000223517
FS( 19 ),2646982.989999999757856,2595727.870000000111759,2614876.419999999925494,2650015.419999999925494,10507602.699999999254942
FS( 20 ),2648891.859999999869615,2566423.419999999925494,2606088.059999999590218,2648788.300000000279397,10470191.639999998733401
FS( 21 ),2654618.469999999739230,2557957.689999999944121,2608599.019999999552965,2659218.820000000298023,10480394.000000000000000
