代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11187925.550000000745058
真實報酬,1187925.550000000745058

夏普值報酬,0.110092555000000
夏普值風險,0.045133639496069
夏普值,2.439257197718095

二次趨勢線,272.312048911421755 x^2 + 6987.854454561096645 x + 10000000.000000000000000
二次平均預期報酬,23871.201487069247378
風險,189721.169826207536971
二次平均趨勢值,0.125822550582712
一次趨勢線,19547.417490939104027 x + 10000000.000000000000000
一次預期報酬,19547.417490939104027
一次風險,222160.903806975460611
一次趨勢值,0.087987657395934
找到最佳解世代,1747
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
VZ[26](2),WMT[28](1),
Stock#,VZ[26](2),WMT[28](1),
張數,109697,84760,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,10.740000000223517,7.599999999627471,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4927599.980000000447035,4945753.599999999627471,9873353.580000000074506
FS( 3 ),4888109.060000000521541,5004238.000000000000000,9892347.060000000521541
FS( 4 ),5014260.610000000335276,5056789.199999999254942,10071049.809999998658895
FS( 5 ),5052654.560000000521541,5127987.599999999627471,10180642.160000000149012
FS( 6 ),5013163.640000000596046,5052551.199999999254942,10065714.839999999850988
FS( 7 ),4975866.660000000149012,5011866.399999999441206,9987733.059999998658895
FS( 8 ),4971478.780000000260770,5048313.200000000186265,10019791.980000000447035
FS( 9 ),4916630.280000000260770,5031361.199999999254942,9947991.480000000447035
FS( 10 ),4985739.390000000596046,5118664.000000000000000,10104403.390000000596046
FS( 11 ),4996709.089999999850988,5055094.000000000000000,10051803.089999999850988
FS( 12 ),5102018.209999999962747,5111035.599999999627471,10213053.809999998658895
FS( 13 ),5057042.440000000409782,4999152.399999999441206,10056194.839999999850988
FS( 14 ),4997806.060000000521541,4988133.599999999627471,9985939.660000000149012
FS( 15 ),5035103.040000000037253,5047465.599999999627471,10082568.640000000596046
FS( 16 ),5083369.720000000670552,5131378.000000000000000,10214747.720000000670552
FS( 17 ),5150284.890000000596046,5177996.000000000000000,10328280.890000000596046
FS( 18 ),5123957.610000000335276,5155958.399999999441206,10279916.009999999776483
FS( 19 ),5128345.490000000223517,5149177.599999999627471,10277523.089999999850988
FS( 20 ),5178806.110000000335276,5222071.199999999254942,10400877.309999998658895
FS( 21 ),5130539.430000000633299,5228004.399999999441206,10358543.830000000074506
FS( 22 ),5070206.080000000074506,5195795.599999999627471,10266001.679999999701977
FS( 23 ),5031812.129999999888241,5209357.199999999254942,10241169.329999998211861
FS( 24 ),5100921.240000000223517,5333106.799999999813735,10434028.039999999105930
FS( 25 ),4993418.180000000633299,5386505.599999999627471,10379923.780000001192093
FS( 26 ),4965993.930000000633299,5511950.399999999441206,10477944.330000000074506
FS( 27 ),4917727.250000000000000,5385658.000000000000000,10303385.250000000000000
FS( 28 ),4946248.470000000670552,5443294.799999999813735,10389543.269999999552965
FS( 29 ),4928696.950000000186265,5392438.799999999813735,10321135.750000000000000
FS( 30 ),4843133.290000000037253,5248346.799999999813735,10091480.089999999850988
FS( 31 ),4922115.129999999888241,5344973.200000000186265,10267088.330000000074506
FS( 32 ),4873848.450000000186265,5249194.399999999441206,10123042.849999999627471
FS( 33 ),4922115.129999999888241,5302593.200000000186265,10224708.330000000074506
FS( 34 ),4872751.480000000447035,5156806.000000000000000,10029557.480000000447035
FS( 35 ),5031812.129999999888241,5244956.399999999441206,10276768.529999999329448
FS( 36 ),5160157.620000000111759,5313611.999999999068677,10473769.619999999180436
FS( 37 ),5159060.650000000372529,5378029.599999999627471,10537090.250000000000000
FS( 38 ),5292890.990000000223517,5424647.599999999627471,10717538.589999999850988
FS( 39 ),5378454.650000000372529,5420409.599999999627471,10798864.250000000000000
FS( 40 ),5376260.709999999962747,5443294.799999999813735,10819555.509999999776483
FS( 41 ),5481569.830000000074506,5624681.199999999254942,11106251.029999999329448
FS( 42 ),5568230.459999999962747,5721307.599999999627471,11289538.059999998658895
FS( 43 ),5474988.009999999776483,5667061.199999999254942,11142049.209999999031425
FS( 44 ),5552872.879999999888241,5617052.799999998882413,11169925.679999999701977
FS( 45 ),5532030.450000000186265,5629766.799999999813735,11161797.250000000000000
FS( 46 ),5591266.830000000074506,5678927.599999999627471,11270194.429999999701977
FS( 47 ),5566036.520000000484288,5670451.600000000558794,11236488.120000001043081
FS( 48 ),5501315.290000000037253,5578063.200000000186265,11079378.490000000223517
FS( 49 ),5482666.799999999813735,5576368.000000000000000,11059034.800000000745058
FS( 50 ),5417945.570000000298023,5536530.799999998882413,10954476.369999999180436
FS( 51 ),5496927.410000000149012,5609424.400000000372529,11106351.810000000521541
FS( 52 ),5511188.020000000484288,5585691.600000000558794,11096879.620000001043081
FS( 53 ),5519963.780000000260770,5603491.199999999254942,11123454.980000000447035
FS( 54 ),5587975.919999999925494,5434818.799999999813735,11022794.719999998807907
FS( 55 ),5579200.160000000149012,5480589.199999999254942,11059789.359999999403954
FS( 56 ),5602236.530000000260770,5562806.399999999441206,11165042.929999999701977
FS( 57 ),5553969.850000000558794,5634852.400000000372529,11188822.250000000000000
FS( 58 ),5574812.280000000260770,5689098.799999999813735,11263911.080000000074506
FS( 59 ),5606624.410000000149012,5767078.000000000000000,11373702.410000000149012
FS( 60 ),5596751.680000000633299,5637395.200000000186265,11234146.880000000819564
FS( 61 ),5564939.549999999813735,5622986.000000000000000,11187925.550000000745058
