代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10766666.089999999850988
真實報酬,766666.089999999850988

夏普值報酬,0.067966609000000
夏普值風險,0.019717027839480
夏普值,3.447102147105009

二次趨勢線,-153.403709503177794 x^2 + 20983.072036371737340 x + 10000000.000000000000000
二次平均預期報酬,11472.042047174711115
風險,47090.601797988179896
二次平均趨勢值,0.243616382232448
一次趨勢線,13907.793629773910652 x + 10000000.000000000000000
一次預期報酬,13907.793629773910652
一次風險,80360.081794996425742
一次趨勢值,0.173068435460949
找到最佳解世代,2818
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),DIS[6](5),KO[14](6),V[25](9),
Stock#,AAPL[0](1),DIS[6](5),KO[14](6),V[25](9),
張數,19417,22461,60591,30325,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,61.250000000000000,90.700000000186265,15.340000000316650,7.000000000000000,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2495728.260000000242144,2484501.910000000149012,2508482.740000000223517,2495754.500000000000000,9984467.410000000149012
FS( 3 ),2506407.610000000335276,2477539.000000000000000,2516965.480000000447035,2610383.000000000000000,10111295.089999999850988
FS( 4 ),2529902.179999999701977,2461142.470000000204891,2518177.300000000279397,2602801.750000000000000,10112023.700000001117587
FS( 5 ),2553979.260000000242144,2448339.700000000186265,2538778.240000000223517,2601285.500000000000000,10142382.700000001117587
FS( 6 ),2563881.929999999701977,2448339.700000000186265,2546049.160000000614673,2580361.250000000000000,10138632.040000000968575
FS( 7 ),2571260.389999999664724,2459345.589999999850988,2499394.090000000316650,2595220.500000000000000,10125220.570000000298023
FS( 8 ),2565435.290000000037253,2454179.560000000521541,2458798.120000000111759,2604924.500000000000000,10083337.470000000670552
FS( 9 ),2588153.179999999701977,2462939.350000000093132,2461221.760000000242144,2621300.000000000000000,10133614.289999999105930
FS( 10 ),2621744.590000000316650,2478212.830000000074506,2455768.570000000298023,2633733.250000000000000,10189459.240000000223517
FS( 11 ),2631258.919999999925494,2474843.680000000167638,2450315.380000000353903,2654657.500000000000000,10211075.480000000447035
FS( 12 ),2628152.199999999720603,2486748.010000000242144,2496364.540000000502914,2650715.250000000000000,10261980.000000000000000
FS( 13 ),2635336.489999999757856,2472148.360000000335276,2498182.270000000018626,2652231.500000000000000,10257898.619999999180436
FS( 14 ),2654365.149999999906868,2471025.310000000521541,2512118.200000000186265,2666181.000000000000000,10303689.660000000149012
FS( 15 ),2662326.120000000111759,2473496.020000000484288,2520600.940000000409782,2662542.000000000000000,10318965.080000001937151
FS( 16 ),2651064.260000000242144,2464736.230000000447035,2524236.399999999906868,2674065.500000000000000,10314102.390000000596046
FS( 17 ),2653588.469999999739230,2477988.220000000204891,2531507.320000000298023,2681646.750000000000000,10344730.759999999776483
FS( 18 ),2658831.060000000055879,2475966.730000000447035,2524842.310000000521541,2668607.000000000000000,10328247.100000001490116
FS( 19 ),2659996.080000000074506,2472822.190000000409782,2542413.700000000186265,2666787.500000000000000,10342019.470000000670552
FS( 20 ),2714363.679999999701977,2494160.140000000130385,2554531.899999999906868,2698628.750000000000000,10461684.470000000670552
FS( 21 ),2698247.570000000298023,2484052.690000000409782,2573315.110000000335276,2684679.250000000000000,10440294.620000001043081
FS( 22 ),2714169.510000000242144,2498652.339999999850988,2573921.020000000018626,2692563.750000000000000,10479306.619999999180436
FS( 23 ),2705626.030000000260770,2485849.570000000298023,2555743.720000000204891,2697112.500000000000000,10444331.820000000298023
FS( 24 ),2709121.090000000316650,2490117.160000000149012,2544231.430000000633299,2700751.500000000000000,10444221.179999999701977
FS( 25 ),2699024.250000000000000,2489667.940000000409782,2544231.430000000633299,2697719.000000000000000,10430642.620000001043081
FS( 26 ),2692810.810000000055879,2493935.530000000260770,2546655.070000000298023,2702267.750000000000000,10435669.160000000149012
FS( 27 ),2701742.629999999888241,2491464.820000000298023,2562408.730000000447035,2721069.250000000000000,10476685.429999999701977
FS( 28 ),2702907.649999999906868,2504941.419999999925494,2546655.070000000298023,2732592.750000000000000,10487096.890000000596046
FS( 29 ),2698830.080000000074506,2522685.610000000335276,2543019.610000000335276,2715610.750000000000000,10480146.050000000745058
FS( 30 ),2727373.070000000298023,2512802.770000000484288,2552108.260000000242144,2726831.000000000000000,10519115.100000001490116
FS( 31 ),2731838.979999999981374,2509209.010000000242144,2559985.090000000316650,2730470.000000000000000,10531503.080000000074506
FS( 32 ),2718247.080000000074506,2510332.060000000521541,2546655.070000000298023,2736535.000000000000000,10511769.210000000894070
FS( 33 ),2746790.070000000298023,2531670.010000000242144,2555743.720000000204891,2704390.500000000000000,10538594.300000000745058
FS( 34 ),2715334.530000000260770,2510107.450000000186265,2575132.840000000316650,2670426.500000000000000,10471001.320000000298023
