代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12059450.110000001266599
真實報酬,2059450.110000001266599

夏普值報酬,0.197245011000000
夏普值風險,0.061095255409557
夏普值,3.228483286922262

二次趨勢線,13.262818493832668 x^2 + 35407.645703031754238 x + 10000000.000000000000000
二次平均預期報酬,36256.466086637046828
風險,92789.522594986934564
二次平均趨勢值,0.390738793267548
一次趨勢線,36039.248271934753575 x + 10000000.000000000000000
一次預期報酬,36039.248271934753575
一次風險,92983.389152024217765
一次趨勢值,0.387588026211994
找到最佳解世代,2469
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](3),CSCO[4](5),DIS[6](1),MCD[15](4),
Stock#,CAT[3](3),CSCO[4](5),DIS[6](1),MCD[15](4),
張數,47223,109986,84688,39129,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,14.379999999888241,18.219999999739230,10.240000000223517,48.189999999944121,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2528806.029999999795109,2531895.939999999478459,2538956.480000000447035,2505478.060000000055879,10105136.509999999776483
FS( 3 ),2521250.350000000093132,2537395.239999999757856,2604166.240000000223517,2551650.279999999795109,10214462.109999999403954
FS( 4 ),2427276.579999999608845,2547293.979999999981374,2512703.200000000186265,2506651.930000000167638,9993925.689999999478459
FS( 5 ),2443804.629999999888241,2606686.419999999459833,2501693.760000000242144,2479652.919999999925494,10031837.729999998584390
FS( 6 ),2397998.319999999832362,2584689.219999999739230,2496612.480000000447035,2462044.870000000111759,9941344.890000000596046
FS( 7 ),2527861.569999999832362,2627583.759999999776483,2527100.160000000149012,2487478.719999999739230,10170024.210000000894070
FS( 8 ),2509916.829999999608845,2613285.580000000074506,2543190.880000000353903,2474957.439999999944121,10141350.730000000447035
FS( 9 ),2651585.829999999608845,2631983.199999999720603,2554200.320000000298023,2496087.100000000093132,10333856.449999999254942
FS( 10 ),2653946.979999999981374,2613285.580000000074506,2546578.400000000372529,2488261.300000000279397,10302072.260000001639128
FS( 11 ),2697392.139999999664724,2639682.219999999739230,2580453.600000000093132,2504695.479999999981374,10422223.439999999478459
FS( 12 ),2715336.879999999888241,2647381.239999999757856,2613481.920000000391155,2514477.729999999981374,10490677.769999999552965
FS( 13 ),2729976.009999999776483,2670478.299999999813735,2627032.000000000000000,2523086.109999999869615,10550572.419999999925494
FS( 14 ),2750754.129999999888241,2679277.179999999701977,2644816.480000000447035,2533259.649999999906868,10608107.439999999478459
FS( 15 ),2740365.069999999832362,2672678.020000000018626,2635500.800000000279397,2534433.520000000018626,10582977.410000000149012
FS( 16 ),2675669.559999999590218,2645181.520000000018626,2618563.200000000186265,2538346.419999999925494,10477760.699999999254942
FS( 17 ),2689836.459999999962747,2677077.459999999497086,2658366.560000000055879,2553606.729999999981374,10578887.210000000894070
FS( 18 ),2681808.549999999813735,2675977.599999999627471,2655825.920000000391155,2519173.209999999962747,10532785.280000001192093
FS( 19 ),2694086.529999999795109,2675977.599999999627471,2645663.359999999869615,2498434.839999999850988,10514162.329999998211861
FS( 20 ),2731864.930000000167638,2705673.819999999832362,2671069.760000000242144,2503521.609999999869615,10612130.119999999180436
FS( 21 ),2746031.829999999608845,2706773.679999999701977,2699863.680000000167638,2507043.219999999739230,10659712.410000000149012
FS( 22 ),2765865.489999999757856,2732070.459999999497086,2679538.560000000055879,2489826.459999999962747,10667300.969999998807907
