代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11482225.550000000745058
真實報酬,1482225.550000000745058

夏普值報酬,0.139522555000000
夏普值風險,0.038498395872927
夏普值,3.624113468533283

二次趨勢線,16.802341259261482 x^2 + 21444.396366973716795 x + 10000000.000000000000000
二次平均預期報酬,22519.746207566447993
風險,37862.142418078496121
二次平均趨勢值,0.594782671273606
一次趨勢線,22244.558256233587599 x + 10000000.000000000000000
一次預期報酬,22244.558256233587599
一次風險,38617.938948909315513
一次趨勢值,0.576016195107218
找到最佳解世代,2016
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
CAT[3](1),CSCO[4](8),CVX[5](22),DIS[6](19),HD[9](11),INTC[11](4),KO[14](25),WMT[28](2),
Stock#,CAT[3](1),CSCO[4](8),CVX[5](22),DIS[6](19),HD[9](11),INTC[11](4),KO[14](25),WMT[28](2),
張數,10568,38699,11493,12315,8290,35622,27304,15949,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,16.959999999962747,22.300000000046566,21.319999999832362,27.500000000000000,33.800000000046566,24.019999999785796,22.879999999888241,76.869999999878928,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1250211.359999999869615,1223684.680000000167638,1257815.239999999757856,1251231.500000000000000,1267823.500000000000000,1247506.459999999962747,1253822.559999999823049,1272807.069999999832362,10024902.369999999180436
FS( 3 ),1236261.600000000093132,1233359.430000000167638,1284823.789999999804422,1250000.000000000000000,1297916.199999999953434,1273866.739999999757856,1254914.719999999972060,1277272.789999999804422,10108415.269999999552965
FS( 4 ),1244610.319999999832362,1229102.540000000037253,1284938.719999999739230,1195321.400000000139698,1309273.500000000000000,1266029.899999999674037,1263652.000000000000000,1277910.750000000000000,10070839.129999998956919
FS( 5 ),1245138.719999999972060,1218266.820000000065193,1273215.859999999869615,1195444.549999999813735,1323615.199999999953434,1253562.199999999720603,1264198.079999999841675,1258133.989999999757856,10031575.419999999925494
FS( 6 ),1256235.120000000111759,1245743.109999999869615,1293213.679999999701977,1195690.850000000093132,1312921.100000000093132,1274222.959999999962747,1270204.959999999962747,1261323.789999999804422,10109555.569999998435378
FS( 7 ),1278110.879999999888241,1254256.889999999897555,1292868.889999999664724,1205542.850000000093132,1325687.699999999953434,1285622.000000000000000,1275665.759999999776483,1269776.759999999776483,10187531.729999998584390
FS( 8 ),1264266.799999999813735,1245356.120000000111759,1312292.059999999823049,1216995.799999999813735,1326599.600000000093132,1294171.279999999795109,1279761.359999999869615,1273764.009999999776483,10213207.029999997466803
FS( 9 ),1273249.600000000093132,1245743.109999999869615,1315395.169999999925494,1205666.000000000000000,1321294.000000000000000,1299514.579999999608845,1259010.319999999832362,1270893.189999999944121,10190765.969999998807907
FS( 10 ),1282655.120000000111759,1255417.859999999869615,1317463.909999999683350,1213301.300000000046566,1313169.800000000046566,1318038.019999999785796,1260921.599999999860302,1282057.489999999757856,10243025.099999999627471
FS( 11 ),1308652.399999999906868,1258513.780000000260770,1323899.989999999757856,1208129.000000000000000,1308278.699999999953434,1318038.019999999785796,1259010.319999999832362,1275996.869999999878928,10260519.079999998211861
FS( 12 ),1318269.279999999795109,1257352.810000000055879,1337116.939999999944121,1212192.950000000186265,1307035.199999999953434,1326231.079999999608845,1255460.799999999813735,1276794.319999999832362,10290453.379999998956919
FS( 13 ),1319431.760000000009313,1261609.700000000186265,1337461.729999999981374,1221798.649999999906868,1315491.000000000000000,1320531.559999999823049,1250000.000000000000000,1283971.369999999878928,10310295.769999997690320
FS( 14 ),1318797.679999999934807,1265479.600000000093132,1338611.029999999795109,1217857.850000000093132,1319718.900000000139698,1325162.419999999925494,1239624.479999999748543,1276156.359999999869615,10301408.320000000298023
FS( 15 ),1314993.199999999953434,1291407.929999999934807,1348035.289999999804422,1214286.500000000000000,1326185.100000000093132,1324449.979999999748543,1242081.839999999850988,1268500.839999999850988,10329940.679999999701977
