代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11266097.199999999254942
真實報酬,1266097.199999999254942

夏普值報酬,0.117909720000000
夏普值風險,0.041495112701760
夏普值,2.841532708862825

二次趨勢線,387.723432816176171 x^2 + -1737.471435678661237 x + 10000000.000000000000000
二次平均預期報酬,22689.104831740442023
風險,89626.955971195246093
二次平均趨勢值,0.253150456644231
一次趨勢線,16435.901307281103072 x + 10000000.000000000000000
一次預期報酬,16435.901307281103072
一次風險,192150.665355207544053
一次趨勢值,0.085536530809809
找到最佳解世代,3738
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,1
MMM[16](1),
Stock#,MMM[16](1),
張數,112044,
分配資金,10000000.000000000000000,
剩餘資金,73.000000000000000,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9968627.679999999701977,9968627.679999999701977
FS( 3 ),10039215.399999998509884,10039215.399999998509884
FS( 4 ),10180390.839999999850988,10180390.839999999850988
FS( 5 ),10014565.719999998807907,10014565.719999998807907
FS( 6 ),9921569.199999999254942,9921569.199999999254942
FS( 7 ),9950700.640000000596046,9950700.640000000596046
FS( 8 ),9992156.919999999925494,9992156.919999999925494
FS( 9 ),9980952.519999999552965,9980952.519999999552965
FS( 10 ),9782634.640000000596046,9782634.640000000596046
FS( 11 ),9862185.879999998956919,9862185.879999998956919
FS( 12 ),9915967.000000000000000,9915967.000000000000000
FS( 13 ),10035854.080000000074506,10035854.080000000074506
FS( 14 ),9974229.879999998956919,9974229.879999998956919
FS( 15 ),9965266.359999999403954,9965266.359999999403954
FS( 16 ),10115405.320000000298023,10115405.320000000298023
FS( 17 ),10094116.960000000894070,10094116.960000000894070
FS( 18 ),10118766.640000000596046,10118766.640000000596046
FS( 19 ),10188233.919999999925494,10188233.919999999925494
FS( 20 ),10156861.600000001490116,10156861.600000001490116
FS( 21 ),10190474.800000000745058,10190474.800000000745058
FS( 22 ),10117646.199999999254942,10117646.199999999254942
FS( 23 ),10097478.280000001192093,10097478.280000001192093
FS( 24 ),10169186.440000001341105,10169186.440000001341105
FS( 25 ),10190474.800000000745058,10190474.800000000745058
FS( 26 ),10253219.440000001341105,10253219.440000001341105
FS( 27 ),10293555.280000001192093,10293555.280000001192093
FS( 28 ),10496354.919999999925494,10496354.919999999925494
FS( 29 ),10433610.280000001192093,10433610.280000001192093
FS( 30 ),10364143.000000000000000,10364143.000000000000000
FS( 31 ),10339493.320000000298023,10339493.320000000298023
FS( 32 ),10423526.320000000298023,10423526.320000000298023
FS( 33 ),10515402.399999998509884,10515402.399999998509884
FS( 34 ),10422405.879999998956919,10422405.879999998956919
FS( 35 ),10546774.719999998807907,10546774.719999998807907
FS( 36 ),10431369.399999998509884,10431369.399999998509884
FS( 37 ),10441453.359999999403954,10441453.359999999403954
FS( 38 ),10428008.080000000074506,10428008.080000000074506
FS( 39 ),10379829.160000000149012,10379829.160000000149012
FS( 40 ),10283471.320000000298023,10283471.320000000298023
FS( 41 ),10403358.399999998509884,10403358.399999998509884
FS( 42 ),10619603.320000000298023,10619603.320000000298023
FS( 43 ),10607278.480000000447035,10607278.480000000447035
FS( 44 ),10685709.280000001192093,10685709.280000001192093
FS( 45 ),10699154.559999998658895,10699154.559999998658895
FS( 46 ),10700275.000000000000000,10700275.000000000000000
FS( 47 ),10802235.039999999105930,10802235.039999999105930
FS( 48 ),10856016.160000000149012,10856016.160000000149012
FS( 49 ),10787669.320000000298023,10787669.320000000298023
FS( 50 ),10877304.519999999552965,10877304.519999999552965
FS( 51 ),10900833.759999999776483,10900833.759999999776483
FS( 52 ),10935567.399999998509884,10935567.399999998509884
FS( 53 ),10989348.519999999552965,10989348.519999999552965
FS( 54 ),11063297.559999998658895,11063297.559999998658895
FS( 55 ),11129403.519999999552965,11129403.519999999552965
FS( 56 ),11147330.559999998658895,11147330.559999998658895
FS( 57 ),11167498.480000000447035,11167498.480000000447035
FS( 58 ),11270578.960000000894070,11270578.960000000894070
FS( 59 ),11277301.600000001490116,11277301.600000001490116
FS( 60 ),11407272.640000000596046,11407272.640000000596046
FS( 61 ),11294108.199999999254942,11294108.199999999254942
FS( 62 ),11266097.199999999254942,11266097.199999999254942
