代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10906668.000000000000000
真實報酬,906668.000000000000000

夏普值報酬,0.081966800000000
夏普值風險,0.054129311164574
夏普值,1.514277537188484

二次趨勢線,1029.617971647032846 x^2 + -47350.646794397995109 x + 10000000.000000000000000
二次平均預期報酬,20604.139334306175442
風險,197097.828958027093904
二次平均趨勢值,0.104537627041513
一次趨勢線,3226.388683072672393 x + 10000000.000000000000000
一次預期報酬,3226.388683072672393
一次風險,533397.788840277353302
一次趨勢值,0.006048747764942
找到最佳解世代,1906
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
INTC[11](1),WMT[28](2),
Stock#,INTC[11](1),WMT[28](2),
張數,224820,95020,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,3.200000000186265,47.600000000558794,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4883093.599999999627471,4910681.200000000186265,9793774.800000000745058
FS( 3 ),4903327.399999999441206,4872673.200000001117587,9776000.600000001490116
FS( 4 ),4687500.200000000186265,4760549.600000000558794,9448049.800000000745058
FS( 5 ),4674011.000000000000000,4831814.600000000558794,9505825.600000001490116
FS( 6 ),4521133.400000000372529,4648426.000000000931323,9169559.400000002235174
FS( 7 ),4631295.200000000186265,4828964.000000000931323,9460259.200000001117587
FS( 8 ),4480665.799999999813735,4599965.799999999813735,9080631.599999999627471
FS( 9 ),4667266.400000000372529,4725392.200000000186265,9392658.600000001490116
FS( 10 ),4642536.200000000186265,4727292.600000000558794,9369828.800000000745058
FS( 11 ),4696493.000000000000000,4749147.200000000186265,9445640.199999999254942
FS( 12 ),4674011.000000000000000,4933486.000000000931323,9607497.000000000000000
FS( 13 ),4647032.600000000558794,4898328.600000000558794,9545361.200000001117587
FS( 14 ),4444694.599999999627471,4921133.400000000372529,9365828.000000000000000
FS( 15 ),4314299.000000000931323,4969593.600000000558794,9283892.600000001490116
FS( 16 ),4357014.799999999813735,4959141.400000000372529,9316156.199999999254942
FS( 17 ),4431205.400000000372529,5056061.800000000745058,9487267.200000001117587
FS( 18 ),4451439.200000000186265,5071265.000000000000000,9522704.199999999254942
FS( 19 ),4366007.600000000558794,5007601.600000000558794,9373609.200000001117587
FS( 20 ),4444694.599999999627471,5026605.600000000558794,9471300.199999999254942
FS( 21 ),4563849.200000000186265,5054161.400000000372529,9618010.600000001490116
FS( 22 ),4550360.000000000000000,5019004.000000000931323,9569364.000000000000000
FS( 23 ),4525629.799999999813735,5054161.400000000372529,9579791.199999999254942
FS( 24 ),4494155.000000000000000,5002850.600000000558794,9497005.600000001490116
FS( 25 ),4415468.000000000000000,4943938.200000001117587,9359406.200000001117587
FS( 26 ),4392986.000000000000000,4910681.200000000186265,9303667.199999999254942
FS( 27 ),4514388.799999999813735,4980996.000000000931323,9495384.800000000745058
FS( 28 ),4473921.200000000186265,4961041.800000000745058,9434963.000000000000000
FS( 29 ),4428957.200000000186265,4880274.800000000745058,9309232.000000000000000
FS( 30 ),4559352.800000000745058,4923984.000000000931323,9483336.800000000745058
FS( 31 ),4667266.400000000372529,4902129.400000001303852,9569395.800000000745058
FS( 32 ),4748201.600000000558794,4960091.600000000558794,9708293.200000001117587
FS( 33 ),4842626.000000000000000,4989547.800000000745058,9832173.800000000745058
FS( 34 ),4939298.599999999627471,5002850.600000000558794,9942149.199999999254942
FS( 35 ),4930305.799999999813735,4983846.600000000558794,9914152.400000000372529
FS( 36 ),4991007.200000000186265,4968643.400000000372529,9959650.600000001490116
FS( 37 ),4932554.000000000931323,4876474.000000000931323,9809028.000000001862645
FS( 38 ),4860611.600000000558794,4777653.200000001117587,9638264.800000000745058
FS( 39 ),4982014.400000000372529,4827063.600000000558794,9809078.000000000000000
FS( 40 ),5000000.000000000000000,4924934.200000000186265,9924934.199999999254942
FS( 41 ),5067446.000000000000000,4943938.200000001117587,10011384.200000001117587
FS( 42 ),5015737.399999999441206,4875523.800000000745058,9891261.199999999254942
FS( 43 ),4993255.400000000372529,4934436.200000000186265,9927691.600000001490116
FS( 44 ),4797662.000000000000000,4931585.600000000558794,9729247.600000001490116
