代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11051007.570000000298023
真實報酬,1051007.570000000298023

夏普值報酬,0.096400757000000
夏普值風險,0.036611032468978
夏普值,2.633106757687989

二次趨勢線,328.783436894258671 x^2 + -1001.190340184917659 x + 10000000.000000000000000
二次平均預期報酬,19383.382747259118332
風險,101303.667459372314624
二次平均趨勢值,0.191339398003856
一次趨勢線,14162.943298035632324 x + 10000000.000000000000000
一次預期報酬,14162.943298035632324
一次風險,172453.102110400766833
一次趨勢值,0.082126346958774
找到最佳解世代,2778
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](1),UNH[23](3),WMT[28](6),
Stock#,KO[14](1),UNH[23](3),WMT[28](6),
張數,78616,28622,54235,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,14.600000000093132,14.880000000353903,49.899999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3345125.399999999906868,3339629.840000000316650,3412516.100000000093132,10097272.339999999850988
FS( 3 ),3327043.720000000204891,3305569.660000000149012,3446684.149999999906868,10079298.530000001192093
FS( 4 ),3272012.520000000018626,3208254.860000000335276,3526951.950000000186265,10007220.330000001937151
FS( 5 ),3263364.759999999776483,3153014.400000000372529,3446141.799999999813735,9862521.960000000894070
FS( 6 ),3268867.879999999888241,3136413.640000000130385,3483021.599999999627471,9888304.119999999180436
FS( 7 ),3311320.520000000018626,3213120.600000000558794,3450480.599999999627471,9974922.720000000670552
FS( 8 ),3290094.200000000186265,3126395.940000000409782,3358281.100000000093132,9774772.240000000223517
FS( 9 ),3292452.680000000167638,3170187.600000000558794,3420109.000000000000000,9882750.280000001192093
FS( 10 ),3262578.600000000093132,3127540.820000000298023,3358823.449999999720603,9748943.869999999180436
FS( 11 ),3295597.320000000298023,3222279.640000000130385,3392991.500000000000000,9910869.460000000894070
FS( 12 ),3253144.680000000167638,3285534.260000000707805,3299707.300000000279397,9838387.240000002086163
FS( 13 ),3253930.840000000316650,3248611.880000000353903,3356111.700000000186265,9858655.420000001788139
FS( 14 ),3306603.560000000055879,3272368.140000000130385,3400042.049999999813735,9979014.750000000000000
FS( 15 ),3314465.159999999683350,3245177.240000000223517,3441260.649999999906868,10000904.050000000745058
FS( 16 ),3308175.879999999888241,3261778.000000000000000,3471089.899999999906868,10041044.779999999329448
FS( 17 ),3308962.040000000502914,3215124.140000000130385,3468378.149999999906868,9992465.330000000074506
FS( 18 ),3346697.720000000204891,3187933.240000000223517,3483021.599999999627471,10017653.560000000521541
FS( 19 ),3374213.320000000298023,3296124.400000000372529,3599084.500000000000000,10269423.220000000670552
FS( 20 ),3380502.600000000093132,3317018.460000000428408,3660912.399999999906868,10358434.460000000894070
FS( 21 ),3336477.640000000130385,3259488.240000000223517,3626202.000000000000000,10222168.880000000819564
FS( 22 ),3358490.120000000111759,3227145.380000000353903,3594203.349999999627471,10179839.849999999627471
FS( 23 ),3343553.080000000074506,3268647.280000000260770,3602338.600000000093132,10214539.960000000894070
FS( 24 ),3336477.640000000130385,3197664.720000000204891,3633794.899999999906868,10167938.259999999776483
FS( 25 ),3352987.000000000000000,3149007.320000000298023,3628371.400000000372529,10130366.720000000670552
FS( 26 ),3404087.399999999906868,3181636.400000000372529,3569255.250000000000000,10154980.050000000745058
FS( 27 ),3345125.399999999906868,3226859.160000000149012,3568170.550000000279397,10140156.110000001266599
FS( 28 ),3334119.159999999683350,3166180.520000000484288,3542680.099999999627471,10042980.779999999329448
FS( 29 ),3389150.359999999869615,3200526.920000000391155,3589322.200000000186265,10179000.480000000447035
FS( 30 ),3408804.359999999869615,3295838.180000000633299,3574136.400000000372529,10278779.940000001341105
FS( 31 ),3419024.440000000409782,3385997.480000000447035,3585525.750000000000000,10390548.670000001788139
FS( 32 ),3428458.359999999869615,3361668.780000000260770,3477598.100000000093132,10267726.240000000223517
FS( 33 ),3441036.920000000391155,3368251.840000000316650,3506884.999999999534339,10316174.759999999776483
FS( 34 ),3454401.640000000130385,3471004.820000000298023,3559492.949999999720603,10484900.410000000149012
FS( 35 ),3434747.640000000130385,3467570.180000000633299,3605592.700000000186265,10507911.519999999552965
FS( 36 ),3452043.159999999683350,3440379.280000000260770,3640303.100000000093132,10532726.539999999105930
FS( 37 ),3471697.159999999683350,3469001.280000000260770,3690199.300000000279397,10630898.740000000223517
FS( 38 ),3391508.840000000316650,3472722.140000000130385,3607219.750000000000000,10471451.730000000447035
FS( 39 ),3390722.680000000167638,3408895.080000000074506,3597999.800000000279397,10397618.560000000521541
FS( 40 ),3434747.640000000130385,3482453.620000000577420,3604507.999999999534339,10521710.259999999776483
FS( 41 ),3441036.920000000391155,3471004.820000000298023,3590949.249999999534339,10502991.990000000223517
FS( 42 ),3455973.959999999962747,3486746.920000000391155,3587152.799999999813735,10529874.679999999701977
FS( 43 ),3467766.359999999869615,3486174.480000000447035,3621863.200000000186265,10575805.039999999105930
FS( 44 ),3459904.759999999776483,3485029.600000000558794,3682064.049999999813735,10626999.410000000149012
FS( 45 ),3484275.720000000204891,3482167.400000000372529,3690199.300000000279397,10656643.420000001788139
FS( 46 ),3522797.560000000055879,3466139.080000000074506,3662539.450000000186265,10651477.089999999850988
FS( 47 ),3555816.279999999795109,3494474.860000000335276,3656031.249999999534339,10706323.390000000596046
FS( 48 ),3553457.800000000279397,3580627.080000000074506,3643014.850000000093132,10777100.730000000447035
FS( 49 ),3560533.240000000223517,3584061.720000000204891,3653319.500000000000000,10797915.460000000894070
FS( 50 ),3556602.440000000409782,3573471.580000000074506,3692911.050000000279397,10822986.070000000298023
FS( 51 ),3541665.399999999906868,3574902.680000000633299,3687487.549999999813735,10804056.629999998956919
FS( 52 ),3598268.920000000391155,3564312.540000000502914,3658200.649999999906868,10820783.110000001266599
FS( 53 ),3584904.200000000186265,3626994.720000000204891,3631083.149999999906868,10842983.070000000298023
FS( 54 ),3590407.320000000298023,3627567.160000000149012,3686402.849999999627471,10904378.330000000074506
FS( 55 ),3577042.600000000093132,3664203.320000000763685,3680979.350000000093132,10922226.270000001415610
FS( 56 ),3573897.959999999962747,3714864.260000000242144,3658742.999999999534339,10947506.220000000670552
FS( 57 ),3583331.879999999888241,3680517.860000000335276,3688029.899999999906868,10951880.640000000596046
FS( 58 ),3600627.399999999906868,3689963.120000000111759,3694538.100000000093132,10985129.619999999180436
FS( 59 ),3654086.279999999795109,3716009.140000000596046,3689656.950000000186265,11059753.370000001043081
FS( 60 ),3661947.879999999888241,3711715.840000000316650,3731417.899999999906868,11105082.620000001043081
FS( 61 ),3647010.840000000316650,3689390.680000000633299,3714605.049999999813735,11051007.570000000298023
