代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10986015.250000000000000
真實報酬,986015.250000000000000

夏普值報酬,0.089901525000000
夏普值風險,0.052401017773241
夏普值,1.715644634786255

二次趨勢線,-287.079744001580707 x^2 + 35696.320762993229437 x + 10000000.000000000000000
二次平均預期報酬,17323.217146892064193
風險,328172.543271410220768
二次平均趨勢值,0.052786918046843
一次趨勢線,22024.995631327321462 x + 10000000.000000000000000
一次預期報酬,22024.995631327321462
一次風險,352946.518513996736147
一次趨勢值,0.062403209766904
找到最佳解世代,2191
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
Stock#,PG[21](1),
張數,119517,
分配資金,10000000.000000000000000,
剩餘資金,12.609999999403954,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10082466.729999998584390,10082466.729999998584390
FS( 3 ),9923509.119999999180436,9923509.119999999180436
FS( 4 ),9790845.250000000000000,9790845.250000000000000
FS( 5 ),9818334.160000000149012,9818334.160000000149012
FS( 6 ),9848213.410000000149012,9848213.410000000149012
FS( 7 ),9824310.009999999776483,9824310.009999999776483
FS( 8 ),9733477.089999999850988,9733477.089999999850988
FS( 9 ),9426318.400000000372529,9426318.400000000372529
FS( 10 ),9449026.629999998956919,9449026.629999998956919
FS( 11 ),9576909.819999998435378,9576909.819999998435378
FS( 12 ),9682084.779999999329448,9682084.779999999329448
FS( 13 ),9783674.229999998584390,9783674.229999998584390
FS( 14 ),9590056.689999999478459,9590056.689999999478459
FS( 15 ),10433846.709999999031425,10433846.709999999031425
FS( 16 ),10350184.809999998658895,10350184.809999998658895
FS( 17 ),10417114.329999998211861,10417114.329999998211861
FS( 18 ),10692003.429999997839332,10692003.429999997839332
FS( 19 ),10637025.609999999403954,10637025.609999999403954
FS( 20 ),10500776.229999998584390,10500776.229999998584390
FS( 21 ),10546192.689999999478459,10546192.689999999478459
FS( 22 ),10659733.839999999850988,10659733.839999999850988
FS( 23 ),10598780.169999999925494,10598780.169999999925494
FS( 24 ),10707540.640000000596046,10707540.640000000596046
FS( 25 ),10733834.379999998956919,10733834.379999998956919
FS( 26 ),10899963.009999999776483,10899963.009999999776483
FS( 27 ),10937013.279999999329448,10937013.279999999329448
FS( 28 ),10910719.540000000968575,10910719.540000000968575
FS( 29 ),10919085.729999998584390,10919085.729999998584390
FS( 30 ),11044578.579999998211861,11044578.579999998211861
FS( 31 ),11079238.509999999776483,11079238.509999999776483
FS( 32 ),11171266.599999999627471,11171266.599999999627471
FS( 33 ),11173656.939999999478459,11173656.939999999478459
FS( 34 ),11214292.719999998807907,11214292.719999998807907
FS( 35 ),11213097.549999998882413,11213097.549999998882413
FS( 36 ),11149753.540000000968575,11149753.540000000968575
FS( 37 ),11007528.309999998658895,11007528.309999998658895
FS( 38 ),10925061.579999998211861,10925061.579999998211861
FS( 39 ),10940598.790000000968575,10940598.790000000968575
FS( 40 ),10988405.589999999850988,10988405.589999999850988
FS( 41 ),11081628.849999999627471,11081628.849999999627471
FS( 42 ),11116288.779999999329448,11116288.779999999329448
FS( 43 ),11093580.549999998882413,11093580.549999998882413
FS( 44 ),11295564.279999999329448,11295564.279999999329448
FS( 45 ),11153339.049999998882413,11153339.049999998882413
FS( 46 ),11152143.879999998956919,11152143.879999998956919
FS( 47 ),11180827.959999999031425,11180827.959999999031425
FS( 48 ),11049359.259999999776483,11049359.259999999776483
FS( 49 ),11118679.119999999180436,11118679.119999999180436
FS( 50 ),11223854.079999998211861,11223854.079999998211861
FS( 51 ),11238196.119999999180436,11238196.119999999180436
FS( 52 ),11532207.939999999478459,11532207.939999999478459
FS( 53 ),11550135.490000000223517,11550135.490000000223517
FS( 54 ),11087604.699999999254942,11087604.699999999254942
FS( 55 ),11054139.939999999478459,11054139.939999999478459
FS( 56 ),10966892.529999999329448,10966892.529999999329448
FS( 57 ),10873669.269999999552965,10873669.269999999552965
FS( 58 ),10872474.099999999627471,10872474.099999999627471
FS( 59 ),10441017.729999998584390,10441017.729999998584390
FS( 60 ),10767299.140000000596046,10767299.140000000596046
FS( 61 ),10997966.949999999254942,10997966.949999999254942
FS( 62 ),10897572.669999999925494,10897572.669999999925494
FS( 63 ),10986015.250000000000000,10986015.250000000000000
