代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11916788.609999999403954
真實報酬,1916788.609999999403954

夏普值報酬,0.182978861000000
夏普值風險,0.057276142844330
夏普值,3.194678480660208

二次趨勢線,28.999449223948318 x^2 + 31869.663273339778243 x + 10000000.000000000000000
二次平均預期報酬,33754.627472896412655
風險,70186.752927913388703
二次平均趨勢值,0.480925902179358
一次趨勢線,33272.427328823789139 x + 10000000.000000000000000
一次預期報酬,33272.427328823789139
一次風險,71480.416491010691971
一次趨勢值,0.465476125660349
找到最佳解世代,2242
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
BA[2](3),HD[9](1),INTC[11](8),MSFT[18](4),UNH[23](13),WBA[27](9),
Stock#,BA[2](3),HD[9](1),INTC[11](8),MSFT[18](4),UNH[23](13),WBA[27](9),
張數,21566,24144,79251,59630,31140,40335,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,45.520000000018626,5.679999999934807,17.469999999972060,7.500000000000000,53.199999999953434,23.800000000046566,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1662568.460000000195578,1697087.440000000176951,1685686.239999999990687,1678592.000000000000000,1660438.000000000000000,1684816.750000000232831,10069192.890000000596046
FS( 3 ),1696427.079999999841675,1701433.359999999869615,1704706.479999999981374,1690518.000000000000000,1666043.199999999953434,1642465.000000000000000,10101597.119999999180436
FS( 4 ),1705484.800000000046566,1701674.800000000046566,1723726.719999999972060,1675014.199999999953434,1669468.599999999860302,1611810.400000000139698,10087183.520000001415610
FS( 5 ),1747969.820000000065193,1696121.679999999934807,1734821.860000000102445,1677995.699999999953434,1675385.199999999953434,1618667.350000000093132,10150965.609999999403954
FS( 6 ),1751851.700000000186265,1723162.959999999962747,1710254.049999999813735,1669647.500000000000000,1675696.600000000093132,1639238.199999999953434,10169855.009999999776483
FS( 7 ),1788729.560000000055879,1721955.759999999776483,1718971.660000000149012,1661895.600000000093132,1688152.600000000093132,1665052.600000000093132,10244761.779999999329448
FS( 8 ),1815040.079999999841675,1708193.679999999934807,1715009.110000000102445,1664280.800000000046566,1707459.399999999906868,1655372.199999999953434,10265359.269999999552965
FS( 9 ),1827764.020000000018626,1708435.120000000111759,1716594.129999999888241,1664877.100000000093132,1696560.399999999906868,1725555.100000000093132,10339789.869999999180436
FS( 10 ),1824960.440000000176951,1695880.239999999757856,1715801.619999999878928,1677995.699999999953434,1704345.399999999906868,1723135.000000000000000,10342122.400000000372529
FS( 11 ),1863994.900000000139698,1667148.879999999888241,1694403.849999999860302,1672032.699999999953434,1704345.399999999906868,1717488.100000000093132,10319417.830000000074506
FS( 12 ),1837037.400000000139698,1674392.079999999841675,1684893.729999999981374,1675610.500000000000000,1712753.199999999953434,1711437.850000000093132,10296128.759999999776483
FS( 13 ),1844154.180000000167638,1660871.440000000176951,1675383.610000000102445,1680380.899999999906868,1718047.000000000000000,1804611.700000000186265,10383452.830000001937151
FS( 14 ),1841134.940000000176951,1663044.399999999906868,1678553.649999999906868,1688729.100000000093132,1709016.400000000139698,1856240.500000000232831,10436722.990000000223517
FS( 15 ),1818706.300000000046566,1664734.479999999981374,1667458.510000000009313,1676206.800000000046566,1714621.600000000093132,1847770.150000000139698,10389501.839999999850988
FS( 16 ),1829273.639999999897555,1679462.320000000065193,1690441.299999999813735,1684555.000000000000000,1695937.600000000093132,1875197.950000000186265,10454871.809999998658895
FS( 17 ),1829920.619999999878928,1677289.359999999869615,1676176.119999999878928,1679188.300000000046566,1708393.599999999860302,1863097.449999999953434,10434069.449999999254942
FS( 18 ),1868092.440000000176951,1691292.879999999888241,1725311.739999999990687,1679188.300000000046566,1732994.199999999953434,1918759.750000000000000,10615643.310000000521541
FS( 19 ),1859034.719999999972060,1681635.280000000027940,1730066.799999999813735,1691710.600000000093132,1763199.999999999767169,1905449.200000000186265,10631100.600000001490116
FS( 20 ),1851486.619999999878928,1684774.000000000000000,1730859.310000000055879,1706021.800000000046566,1781572.600000000093132,1923196.600000000093132,10677914.929999999701977
FS( 21 ),1838547.020000000018626,1682118.159999999916181,1698366.399999999906868,1706021.800000000046566,1836379.000000000000000,1894558.750000000000000,10655995.129999998956919
FS( 22 ),1813530.460000000195578,1714712.559999999823049,1700743.929999999934807,1717351.500000000000000,1922636.800000000046566,1908676.000000000000000,10777655.250000000000000
FS( 23 ),1819353.280000000027940,1698777.520000000018626,1668251.020000000018626,1703040.299999999813735,1920457.000000000000000,1867534.300000000046566,10677417.420000001788139
FS( 24 ),1832077.219999999972060,1706745.039999999804422,1675383.610000000102445,1705425.500000000000000,1931667.399999999906868,1879231.450000000186265,10730534.219999998807907
FS( 25 ),1858387.739999999990687,1691534.320000000065193,1659533.410000000149012,1711388.500000000000000,1933847.199999999953434,1896172.149999999906868,10750867.320000000298023
FS( 26 ),1870896.020000000018626,1719541.359999999869615,1671421.060000000055879,1704829.199999999953434,1927307.800000000046566,1922389.899999999906868,10816389.339999999850988
FS( 27 ),1880816.379999999888241,1719058.479999999981374,1723726.719999999972060,1765651.800000000046566,1936338.399999999906868,1948607.650000000139698,10974203.429999999701977
FS( 28 ),1893971.639999999897555,1730889.039999999804422,1764144.729999999981374,1805603.900000000139698,1943500.599999999860302,1940540.650000000139698,11078654.560000000521541
FS( 29 ),1909283.500000000000000,1735959.280000000027940,1730066.799999999813735,1725699.700000000186265,1961250.399999999906868,1963128.250000000000000,11025391.929999999701977
FS( 30 ),1917047.260000000009313,1777486.959999999962747,1718179.149999999906868,1716755.199999999953434,1962807.399999999906868,1967161.750000000232831,11059441.719999998807907
FS( 31 ),1871327.339999999850988,1743926.800000000046566,1694403.849999999860302,1710792.200000000186265,1917965.800000000046566,1961111.500000000000000,10899531.490000000223517
FS( 32 ),1873915.260000000009313,1749479.919999999692664,1737199.390000000130385,1727488.599999999860302,1955956.600000000093132,1978858.900000000139698,11022902.669999999925494
FS( 33 ),1869602.060000000055879,1757688.879999999888241,1737991.899999999906868,1719140.399999999906868,1931667.399999999906868,1958288.050000000046566,10974382.690000001341105
FS( 34 ),1857309.440000000176951,1749962.800000000046566,1762559.709999999962747,1716755.199999999953434,1858799.799999999813735,1964741.650000000139698,10910132.599999999627471
FS( 35 ),1896990.879999999888241,1786661.679999999934807,1778409.910000000149012,1775192.599999999860302,1869698.799999999813735,1990556.050000000046566,11097513.919999999925494
FS( 36 ),1874993.560000000055879,1783281.520000000018626,1813280.349999999860302,1838400.399999999906868,1844164.000000000000000,2005480.000000000000000,11159603.830000000074506
FS( 37 ),1901735.400000000139698,1771692.399999999906868,1852905.849999999860302,1824685.500000000000000,1822988.799999999813735,2001446.500000000000000,11175458.449999999254942
FS( 38 ),1958885.300000000046566,1769278.000000000000000,1875096.129999999888241,1893856.300000000046566,1830773.799999999813735,1978455.550000000046566,11306349.080000000074506
FS( 39 ),1977000.739999999990687,1771450.959999999962747,1852905.849999999860302,1904589.700000000186265,1847900.800000000046566,2004673.300000000046566,11358525.350000001490116
FS( 40 ),2002448.619999999878928,1770968.079999999841675,1854490.869999999878928,1895645.199999999953434,1852260.399999999906868,1987329.250000000232831,11363146.419999999925494
FS( 41 ),1981960.920000000158325,1778694.159999999916181,1883021.229999999981374,1944541.800000000046566,1868764.599999999860302,1993379.500000000000000,11450366.210000000894070
FS( 42 ),1971393.579999999841675,1770968.079999999841675,1898078.919999999925494,1973760.500000000000000,1866273.399999999906868,1997009.649999999906868,11477488.130000000819564
FS( 43 ),1966433.400000000139698,1756723.120000000111759,1901248.959999999962747,1951101.099999999860302,1859734.000000000000000,1974018.699999999953434,11409263.279999999329448
FS( 44 ),1988646.379999999888241,1770485.199999999953434,1910759.079999999841675,1977338.299999999813735,1852260.399999999906868,1971598.600000000093132,11471091.959999999031425
FS( 45 ),2021642.359999999869615,1785695.919999999692664,1898871.429999999934807,1997016.200000000186265,1834822.000000000000000,1936910.500000000232831,11474962.410000000149012
FS( 46 ),2031347.060000000055879,1817083.120000000111759,1894908.879999999888241,2012520.000000000000000,1874681.199999999953434,1929650.200000000186265,11560194.460000000894070
FS( 47 ),2044286.660000000149012,1812495.759999999776483,1913929.119999999878928,1986282.800000000046566,1884023.199999999953434,1984102.449999999953434,11625123.989999998360872
FS( 48 ),2028112.160000000149012,1820946.159999999916181,1921854.219999999972060,1967201.200000000186265,1946614.599999999860302,1981279.000000000000000,11666011.339999999850988
FS( 49 ),2040404.780000000027940,1831810.959999999962747,1930571.829999999841675,1947523.299999999813735,1931044.599999999860302,1928440.150000000139698,11609799.620000001043081
FS( 50 ),2032425.359999999869615,1835191.120000000111759,1941666.969999999972060,1949312.199999999953434,1959070.599999999860302,1965145.000000000000000,11682815.250000000000000
FS( 51 ),2043639.680000000167638,1851126.159999999916181,1908381.549999999813735,1969586.400000000139698,1942877.800000000046566,1979262.250000000000000,11694877.839999999850988
FS( 52 ),2072753.780000000027940,1866819.759999999776483,1889361.310000000055879,1999401.400000000139698,1922325.399999999906868,2000236.450000000186265,11750902.100000001490116
FS( 53 ),2092378.839999999850988,1880340.399999999906868,1917891.669999999925494,2018483.000000000000000,1918588.599999999860302,2017983.850000000093132,11845670.359999999403954
FS( 54 ),2082889.800000000046566,1853057.679999999934807,1897286.410000000149012,2032197.899999999906868,1935092.800000000046566,1980875.650000000139698,11781404.240000002086163
FS( 55 ),2133354.240000000223517,1855713.520000000018626,1905211.510000000009313,2079305.599999999860302,1956890.800000000046566,2001043.150000000139698,11931522.820000000298023
FS( 56 ),2129041.040000000037253,1853299.120000000111759,1908381.549999999813735,2091827.899999999906868,1948171.600000000093132,2006690.050000000046566,11937415.259999999776483
FS( 57 ),2129688.020000000018626,1900379.919999999692664,1913929.119999999878928,2078113.000000000000000,1957824.999999999767169,2021210.650000000139698,12001149.709999999031425
FS( 58 ),2112003.900000000372529,1924041.039999999804422,1907589.040000000037253,2063801.800000000046566,1939452.399999999906868,2022420.699999999953434,11969312.879999998956919
FS( 59 ),2151254.020000000018626,1905208.719999999739230,1906004.020000000018626,2036372.000000000000000,1941943.599999999860302,2032907.800000000046566,11973694.160000000149012
FS( 60 ),2156645.520000000018626,1907140.239999999757856,1895701.390000000130385,2043527.600000000093132,1932601.600000000093132,2047831.750000000232831,11983452.099999999627471
