代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11345911.679999999701977
真實報酬,1345911.679999999701977

夏普值報酬,0.125891168000000
夏普值風險,0.042407556311828
夏普值,2.968602271593010

二次趨勢線,-903.100883468757274 x^2 + 77577.563208254112396 x + 10000000.000000000000000
二次平均預期報酬,21585.308433191148652
風險,95140.905936604816816
二次平均趨勢值,0.226877263998033
一次趨勢線,35924.788314609642839 x + 10000000.000000000000000
一次預期報酬,35924.788314609642839
一次風險,394978.932810516154859
一次趨勢值,0.090953682159661
找到最佳解世代,2567
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](1),DIS[6](9),HD[9](6),MRK[17](2),VZ[26](22),
Stock#,BA[2](1),DIS[6](9),HD[9](6),MRK[17](2),VZ[26](22),
張數,41433,72966,79808,63979,72727,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,29.089999999850988,1.939999999944121,11.520000000018626,16.459999999962747,7.500000000000000,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1992956.389999999897555,2015322.860000000102445,1995211.520000000018626,1962252.390000000130385,1976727.359999999869615,9942470.519999999552965
FS( 3 ),1991713.399999999906868,2045238.919999999925494,1992019.200000000186265,2088291.020000000018626,1978909.170000000158325,10096171.709999999031425
FS( 4 ),2062149.500000000000000,2116015.939999999944121,2045490.559999999823049,2092769.550000000046566,1992727.299999999813735,10309152.849999999627471
FS( 5 ),2058420.529999999795109,2083910.899999999906868,2081404.159999999916181,2085092.070000000065193,2010181.780000000027940,10319009.439999999478459
FS( 6 ),2127613.640000000130385,2116015.939999999944121,2139664.000000000000000,2138834.430000000167638,2051636.170000000158325,10573764.179999999701977
FS( 7 ),2084937.649999999906868,2124771.859999999869615,2140462.080000000074506,2150350.649999999906868,2061090.679999999934807,10561612.919999999925494
FS( 8 ),2099853.529999999795109,2137176.080000000074506,2179568.000000000000000,2125398.839999999850988,2063999.760000000009313,10605996.209999999031425
FS( 9 ),2083280.329999999841675,2119664.240000000223517,2173981.439999999944121,2110043.879999999888241,2050908.899999999906868,10537878.790000000968575
FS( 10 ),2099853.529999999795109,2221086.979999999981374,2181962.240000000223517,2117721.359999999869615,2048727.090000000083819,10669351.199999999254942
FS( 11 ),2174432.929999999701977,2240058.139999999664724,2206702.719999999739230,2163146.450000000186265,2062545.219999999972060,10846885.459999999031425
FS( 12 ),2176504.580000000074506,2252462.359999999869615,2154029.439999999944121,2193856.370000000111759,2084363.320000000065193,10861216.070000000298023
FS( 13 ),2155373.750000000000000,2237869.160000000149012,2177971.839999999850988,2248238.520000000018626,2085090.590000000083819,10904543.859999999403954
FS( 14 ),2130928.279999999795109,2204304.799999999813735,2163606.399999999906868,2260394.529999999795109,2074908.810000000055879,10834142.820000000298023
FS( 15 ),2142115.189999999944121,2189711.600000000093132,2169192.959999999962747,2332690.799999999813735,2069090.649999999906868,10902801.200000001117587
FS( 16 ),2180647.879999999888241,2224005.620000000111759,2195529.600000000093132,2330131.640000000130385,2130181.330000000074506,11060496.070000000298023
FS( 17 ),2153302.099999999627471,2205764.120000000111759,2199520.000000000000000,2317335.839999999850988,2167272.100000000093132,11043194.159999998286366
FS( 18 ),2193077.779999999795109,2233491.199999999720603,2222664.320000000298023,2339728.489999999757856,2178181.149999999906868,11167142.939999999478459
FS( 19 ),2173189.939999999944121,2214520.040000000037253,2203510.399999999906868,2321814.370000000111759,2150544.890000000130385,11063579.640000000596046
FS( 20 ),2171532.619999999646097,2205034.459999999962747,2183558.399999999906868,2316696.049999999813735,2138908.569999999832362,11015730.100000001490116
FS( 21 ),2225809.849999999627471,2242247.120000000111759,2234635.520000000018626,2359561.979999999981374,2199271.979999999981374,11261526.450000001117587
FS( 22 ),2228295.830000000074506,2246625.080000000074506,2260972.159999999683350,2354443.659999999683350,2220362.810000000055879,11310699.540000000968575
FS( 23 ),2227881.500000000000000,2213060.719999999739230,2229048.959999999962747,2352524.290000000037253,2222544.620000000111759,11245060.089999999850988
FS( 24 ),2265585.529999999795109,2250273.379999999888241,2241020.159999999683350,2348045.760000000242144,2223271.890000000130385,11328196.720000000670552
FS( 25 ),2312819.149999999906868,2261947.939999999944121,2252193.279999999795109,2348045.760000000242144,2261089.930000000167638,11436096.059999998658895
FS( 26 ),2306189.869999999646097,2238598.819999999832362,2208298.880000000353903,2325653.109999999869615,2270544.439999999944121,11349285.119999999180436
FS( 27 ),2298317.599999999627471,2240058.139999999664724,2198721.919999999925494,2376836.310000000055879,2263999.009999999776483,11377932.979999998584390
FS( 28 ),2279258.419999999925494,2283837.740000000223517,2233837.439999999944121,2401788.120000000111759,2288726.189999999944121,11487447.909999998286366
FS( 29 ),2303703.890000000130385,2313024.139999999664724,2273741.439999999944121,2371717.989999999757856,2293817.080000000074506,11556004.539999999105930
FS( 30 ),2322348.739999999757856,2322509.719999999739230,2304068.479999999981374,2416503.290000000037253,2281453.490000000223517,11646883.720000000670552
FS( 31 ),2306604.199999999720603,2348047.819999999832362,2316039.680000000167638,2431218.459999999962747,2244362.719999999739230,11646272.879999998956919
FS( 32 ),2284230.379999999888241,2366289.319999999832362,2311251.200000000186265,2415223.709999999962747,2223999.159999999683350,11600993.769999999552965
FS( 33 ),2256884.599999999627471,2329806.319999999832362,2298481.919999999925494,2385153.580000000074506,2231271.859999999869615,11501598.279999999329448
FS( 34 ),2214208.609999999869615,2331265.639999999664724,2286510.719999999739230,2392831.060000000055879,2230544.590000000316650,11455360.619999999180436
FS( 35 ),2249840.989999999757856,2364100.339999999850988,2311251.200000000186265,2411384.969999999739230,2245089.990000000223517,11581667.490000000223517
FS( 36 ),2282987.390000000130385,2357533.399999999906868,2337587.839999999850988,2415223.709999999962747,2257453.580000000074506,11650785.919999999925494
FS( 37 ),2277186.770000000018626,2366289.319999999832362,2314443.520000000018626,2383234.209999999962747,2259635.390000000130385,11600789.210000000894070
FS( 38 ),2298731.929999999701977,2356074.080000000074506,2328010.880000000353903,2366599.669999999925494,2268362.629999999888241,11617779.190000001341105
FS( 39 ),2284644.709999999962747,2328347.000000000000000,2328808.959999999962747,2385793.370000000111759,2277089.870000000111759,11604683.910000000149012
FS( 40 ),2287545.020000000018626,2362641.020000000018626,2335991.680000000167638,2373637.359999999869615,2272726.250000000000000,11632541.330000000074506
FS( 41 ),2277186.770000000018626,2355344.419999999925494,2324818.560000000055879,2371078.200000000186265,2272726.250000000000000,11601154.199999999254942
FS( 42 ),2242797.379999999888241,2353155.439999999944121,2308856.959999999962747,2337809.120000000111759,2252362.689999999944121,11494981.589999999850988
FS( 43 ),2327735.029999999795109,2340021.560000000055879,2288106.880000000353903,2367879.250000000000000,2262544.469999999739230,11586287.190000001341105
FS( 44 ),2403971.750000000000000,2334184.279999999795109,2304866.560000000055879,2377476.099999999627471,2266908.090000000316650,11687406.779999999329448
FS( 45 ),2476893.830000000074506,2321780.060000000055879,2296885.760000000242144,2409465.599999999627471,2170181.180000000167638,11675206.429999999701977
FS( 46 ),2577161.689999999944121,2322509.719999999739230,2324020.479999999981374,2413304.339999999850988,2157817.590000000316650,11794813.820000000298023
FS( 47 ),2552301.890000000130385,2326158.020000000018626,2312847.359999999869615,2412024.760000000242144,2158544.859999999869615,11761876.889999998733401
FS( 48 ),2522055.799999999813735,2288215.699999999720603,2247404.799999999813735,2421621.609999999869615,2167999.370000000111759,11647297.280000001192093
FS( 49 ),2503825.279999999795109,2248814.060000000055879,2233039.359999999869615,2402427.909999999683350,2169453.909999999683350,11557560.519999999552965
FS( 50 ),2534071.369999999646097,2283108.080000000074506,2245010.560000000055879,2490718.930000000167638,2167272.100000000093132,11720181.039999999105930
FS( 51 ),2550644.569999999832362,2263407.259999999776483,2258577.919999999925494,2558536.669999999925494,2122908.629999999888241,11754075.050000000745058
FS( 52 ),2519984.149999999906868,2232761.540000000037253,2280126.080000000074506,2525267.589999999850988,2079272.429999999934807,11637411.789999999105930
FS( 53 ),2512940.539999999571592,2262677.600000000093132,2304866.560000000055879,2598843.439999999944121,2123635.899999999906868,11802964.039999999105930
FS( 54 ),2494295.689999999944121,2275811.479999999981374,2287308.799999999813735,2625074.830000000074506,2087999.670000000158325,11770490.470000000670552
FS( 55 ),2452862.689999999944121,2233491.199999999720603,2272943.359999999869615,2564294.779999999795109,2082908.780000000027940,11606500.809999998658895
FS( 56 ),2393613.500000000000000,2187522.620000000111759,2212289.279999999795109,2486880.189999999944121,2063272.489999999990687,11343578.080000000074506
FS( 57 ),2394027.830000000074506,2183144.660000000149012,2204308.479999999981374,2479842.500000000000000,2085817.859999999869615,11347141.330000000074506
FS( 58 ),2391127.520000000018626,2164173.500000000000000,2213087.359999999869615,2468326.279999999795109,2051636.170000000158325,11288350.829999998211861
FS( 59 ),2565974.779999999795109,2139365.060000000055879,2221866.240000000223517,2472165.020000000018626,2031272.609999999869615,11430643.709999999031425
FS( 60 ),2592077.569999999832362,2141554.040000000037253,2181962.240000000223517,2429299.089999999850988,1994181.840000000083819,11339074.779999999329448
FS( 61 ),2510868.890000000130385,2156147.240000000223517,2235433.600000000093132,2442734.680000000167638,2000727.270000000018626,11345911.679999999701977
